field	value
started_utc	2026-08-08T15:03:49.609+00:00
game_directory	C:\Users\X\Desktop\swd3
host_platform	Windows-10-10.0.26200-SP0
host_machine	AMD64
python_version	3.8.10
python_encoding	cp1252
frida_version	16.5.1
target_pid	7888
agent_sha256	fa045bc4b6621fcd6ae792d1cb89c72a134d59d5c9bdff17572a1db28db1a1f6
glyph_entry	0x004368D0
glyph_return	0x00436974
capture_method	frida_attach_interceptor_on_enter_on_leave
runtime_file.swd3_nodvd.exe.present	True
runtime_file.swd3_nodvd.exe.size	1122304
runtime_file.swd3_nodvd.exe.sha256	78ddd0acf752dde32bbc4ea5a12256954878342899309c33516efd6dace0508a
runtime_file.binkw32.dll.present	True
runtime_file.binkw32.dll.size	261120
runtime_file.binkw32.dll.sha256	545f402be018bc905c03305322072e194d77b1a5ec20b62c34cdbc4c81c961fa
runtime_file.Mss32.dll.present	True
runtime_file.Mss32.dll.size	352256
runtime_file.Mss32.dll.sha256	9e41e1bd3b38d7ac43354bb83310210dd9e105b228b57e07af305cd160b7bf8f
runtime_file.Mp3dec.asi.present	True
runtime_file.Mp3dec.asi.size	126976
runtime_file.Mp3dec.asi.sha256	f059d7d8b2bc6f732a6e44938726311415c1e1e0cf4fb17a6137403841085e89
runtime_file.Env.dat.present	True
runtime_file.Env.dat.size	74
runtime_file.Env.dat.sha256	ca1dd7c8ceb659bfcf33b0508985c5b1d46e4fd6f390608e413e694816eb53e0
font_candidate.mingliub.ttc.size	37112128
font_candidate.mingliub.ttc.sha256	8f8afdb3ec7047118f6dc51b29d395e697ee6770d0afd0cd407457e2ad6e93cb
