index	renderer	cache_key	raw_bytes	consumed_bytes	width	height	row_bytes	mask_bytes	sha256	mask_file
1	0x4c9a28	0x0032	320000	1	16	16	2	32	be245a919bcca0021eefa32136ca3ef05bc3a9ea3e3ef7aa5fb1fb0cd011cbc8	masks/glyph-000001-16x16-key-0032.bin
2	0x4c9a28	0x0030	300000	1	16	16	2	32	c8b2f2fe598580fe40f002e7e84d9e5885653968551f22e60b4d0e472b73a802	masks/glyph-000002-16x16-key-0030.bin
3	0x4c9a28	0x0031	310000	1	16	16	2	32	b75d6a4342a08f2054f2e311792fe1c204c2e5caa5e4f4a74b2a840482d857c7	masks/glyph-000003-16x16-key-0031.bin
4	0x4c9a28	0x002f	2f0000	1	16	16	2	32	4dba96bb50546c7cbe3728ddd07ddb6577ec165f6b631c014c3543b9522edfcb	masks/glyph-000004-16x16-key-002F.bin
5	0x4c9a28	0x0035	350000	1	16	16	2	32	dbf64169c039f4a2ee8cb06e652fa2e28ebf22a4b7b03f6a3483f0951bc58a1b	masks/glyph-000005-16x16-key-0035.bin
6	0x4c9a28	0x0036	360000	1	16	16	2	32	0b020da86fab47c9d07947cfdd4eb90c6344c96ca126076be653f4c34e3d6d38	masks/glyph-000006-16x16-key-0036.bin
7	0x4c9a28	0x0020	200000	1	16	16	2	32	66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925	masks/glyph-000007-16x16-key-0020.bin
8	0x4c9a28	0x0033	330000	1	16	16	2	32	5a3ab97c08b76c1f4d40495918ae837356c876189d2f96f0b7f68d65b5cfbcf3	masks/glyph-000008-16x16-key-0033.bin
9	0x4c9a28	0x003a	3a0000	1	16	16	2	32	addd94db1d15202cbe3b64ac93c5a6ac5f910257c42b3fcd22c21a756ac85f57	masks/glyph-000009-16x16-key-003A.bin
10	0x4c9a28	0x0038	380000	1	16	16	2	32	2b41b79e234abf133327b38ea742be692359a063b2be095446737e6b8c08deb1	masks/glyph-000010-16x16-key-0038.bin
11	0x4a9ed0	0xc2ab	abc200	2	12	12	2	24	cb559a43bfa99c7ab4b31aa88eaadc3e7e28b136752ff1508edcccdfab6d7dfa	masks/glyph-000011-12x12-key-C2AB.bin
12	0x4a9ed0	0xa7a5	a5a700	2	12	12	2	24	fa3dad0a83991c0879ab44feac8b6b6e2fa3da09a0802637c8db190daa6c04a1	masks/glyph-000012-12x12-key-A7A5.bin
13	0x4a9ed0	0xb5b4	b4b500	2	12	12	2	24	924748fa9de8d258c7c75bdf940fb805ae7d374ed6e0708476c0854c7e57ce19	masks/glyph-000013-12x12-key-B5B4.bin
14	0x4a9ed0	0x0020	200000	1	12	12	2	24	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	masks/glyph-000014-12x12-key-0020.bin
15	0x4a9ed0	0xd0b1	b1d000	2	12	12	2	24	e75e3b4cee6ea83859560164e52f8f2c708e6354157ab4c97f0b2f6e94da3e0a	masks/glyph-000015-12x12-key-D0B1.bin
16	0x4a9ed0	0xf3b0	b0f300	2	12	12	2	24	7e56b44c90423213a9d0fad2a263f29b579ffde293621cd656efc0e63ecb3a5a	masks/glyph-000016-12x12-key-F3B0.bin
17	0x4a9ed0	0x61a6	a66100	2	12	12	2	24	ae63f1dc4e3bd7bc5191c245d039ee640e608b8d876f8b689db0973bee30a426	masks/glyph-000017-12x12-key-61A6.bin
18	0x4a9ed0	0x63a8	a86300	2	12	12	2	24	9bf2d6115694589c45a01c5a4e6e10d869f105c0794bd364561ebab5eff4bac1	masks/glyph-000018-12x12-key-63A8.bin
19	0x4c9a28	0xc5af	afc500	2	16	16	2	32	b5d5511abb457cbfe68693689070e0e5d64ac2e30d61b50ca6194429d4c0935c	masks/glyph-000019-16x16-key-C5AF.bin
20	0x4c9a28	0xc9ae	aec900	2	16	16	2	32	ff10517bdb24e8c0af15819dcc628074b3715530ff1ed34ba209ea8030334ae1	masks/glyph-000020-16x16-key-C9AE.bin
21	0x4c9a28	0x0034	340000	1	16	16	2	32	cb43f8c8698afd52987697cad806e73d2c0b91326763f088b67b470a2de9897e	masks/glyph-000021-16x16-key-0034.bin
22	0x4c9a28	0xc0a4	a4c000	2	16	16	2	32	09b9cc3821ee9aeb62321ec03cd3bfa6e8c7f71cfab09657fd6c528e2c771424	masks/glyph-000022-16x16-key-C0A4.bin
23	0x4c9a28	0xedac	aced00	2	16	16	2	32	2498c6bf8dccba33dc0c304b88ce19fb9b2574680e865275d955f29a7a532748	masks/glyph-000023-16x16-key-EDAC.bin
24	0x4a9ed0	0x0030	300000	1	12	12	2	24	ccf7e212d48e966572b615d38cd2f3bdeaf30d1d3bbf0d58dc794371fc9b4eff	masks/glyph-000024-12x12-key-0030.bin
25	0x4c9a28	0x0037	370000	1	16	16	2	32	11fdea7252f17c54be9326fd4955ff31f8e04ed2c76d430162f1718928684273	masks/glyph-000025-16x16-key-0037.bin
26	0x4a9ed0	0xbaa4	a4ba00	2	12	12	2	24	b32853578ffd83bb5ac9be5a28abc7fc3033ef612d0adf004543a7b4d82c802a	masks/glyph-000026-12x12-key-BAA4.bin
27	0x4a9ed0	0x0031	310000	1	12	12	2	24	b7485c1d01b24f6be5f56d982454512f755f1dd1222088a5557c0879c2b2922e	masks/glyph-000027-12x12-key-0031.bin
28	0x4c9a28	0x53a8	a85300	2	16	16	2	32	8797058298aaa3e7f9b72157ec59f55e14d656aba92b665a7f9bdd47bc02318f	masks/glyph-000028-16x16-key-53A8.bin
29	0x4c9a28	0xb3a6	a6b300	2	16	16	2	32	0d0535be7569b1d20821397b808e5a354acc9c6e655c91fe453bf724ae5322e0	masks/glyph-000029-16x16-key-B3A6.bin
30	0x4c9a28	0x73a6	a67300	2	16	16	2	32	05f12a9d1363c94132dd593870d5a0dd01ffce68b145c8a55b26a2689056cb91	masks/glyph-000030-16x16-key-73A6.bin
31	0x4c9a28	0xc9c0	c0c900	2	16	16	2	32	65fdd6abe3af008dba2d60e483b2a96f1e86239dd27a229250c3fba62e90b189	masks/glyph-000031-16x16-key-C9C0.bin
32	0x4c9a28	0xeab8	b8ea00	2	16	16	2	32	47f6838369ccfef960918cb7ade55fd4ef61da48c888d2f353585e1ea6e6498e	masks/glyph-000032-16x16-key-EAB8.bin
33	0x4c9a28	0x54b0	b05400	2	16	16	2	32	89b9a7335d5756bb3d5ec2bc1c8515e5ac3894f85a89a286fbdac7854816c8f3	masks/glyph-000033-16x16-key-54B0.bin
34	0x4a9ed0	0x0032	320000	1	12	12	2	24	415fbbe6afb095370edde9707c44ec32478b9268c4e4ec77c8f7a27236361014	masks/glyph-000034-12x12-key-0032.bin
35	0x4a9ed0	0x0033	330000	1	12	12	2	24	aea40bf0a49caec80d4ec641efacba53786eff802d30960d6110d1b0a465c983	masks/glyph-000035-12x12-key-0033.bin
36	0x4a9ed0	0x0034	340000	1	12	12	2	24	592413a8f5ff610ba5f80e18da15a544810051d3d17e9b28af814a161eb3e2dc	masks/glyph-000036-12x12-key-0034.bin
37	0x4a9ed0	0x0035	350000	1	12	12	2	24	b228a780c0a6110783f782fb757bd83525abae633b047fb37a3b525ca6df944b	masks/glyph-000037-12x12-key-0035.bin
38	0x4c9a28	0x6aa5	a56a00	2	16	16	2	32	3ac85b88ad5efd9326073947b4ad0362c113f20c35624c265662212c24e8fc75	masks/glyph-000038-16x16-key-6AA5.bin
39	0x4c9a28	0xeba4	a4eb00	2	16	16	2	32	a1a618e5e1fdb2815d5b266be9f1036e2db9124a733c9131460a919f9bf21538	masks/glyph-000039-16x16-key-EBA4.bin
40	0x4c9a28	0x74b8	b87400	2	16	16	2	32	b1cf804147907ea545b9b064f2f15688f0a54e6eb2972f3f21dd8ab3a7ab42f4	masks/glyph-000040-16x16-key-74B8.bin
41	0x4c9a28	0x0039	390000	1	16	16	2	32	9d736b4c82ea997e654430fe2d81294818cb999ecffb27ec4f17c4370b0e64ac	masks/glyph-000041-16x16-key-0039.bin
42	0x4a9ed0	0x0037	370000	1	12	12	2	24	9919a93292fa51f6271dfb5359847a4d65cb836f9b150357b8f03831aabd130c	masks/glyph-000042-12x12-key-0037.bin
43	0x4a9ed0	0x002f	2f0000	1	12	12	2	24	6b0f788d4a1bbdcdd3dd79ae061014f552b8c2ef7337e672c256d9fe8e5f3c15	masks/glyph-000043-12x12-key-002F.bin
44	0x4c9a28	0xaac5	c5aa00	2	16	16	2	32	b9af67bba72cd27e3d8c1bfd587bd3310309efd2a4c5edb9d1424e2b6e3b9fc2	masks/glyph-000044-16x16-key-AAC5.bin
45	0x4c9a28	0xfaa8	a8fa00	2	16	16	2	32	f467b4dad5d2c4ac478f28225634179ebe048efe0a2d480303bc27cf5e96be6e	masks/glyph-000045-16x16-key-FAA8.bin
46	0x4c9a28	0x4fb0	b04f00	2	16	16	2	32	726a473dabe04fbf100b1fcd95fe0050bbebe9b5f74fa99876002289933ee0ae	masks/glyph-000046-16x16-key-4FB0.bin
47	0x4c9a28	0xfcb8	b8fc00	2	16	16	2	32	477fe261259fd204c0223be93223e61277ed4ff2c3d89c99d46b7d26f20f8c8c	masks/glyph-000047-16x16-key-FCB8.bin
48	0x4c9a28	0x5db3	b35d00	2	16	16	2	32	ee460302fe763d4641ba9335d6bac15f08776993960af1cd88ac11fce9575838	masks/glyph-000048-16x16-key-5DB3.bin
49	0x4c9a28	0x77a9	a97700	2	16	16	2	32	72f60bea66f08c726e905ababd31e3757b17e6211617c00a54373cde96c13cfd	masks/glyph-000049-16x16-key-77A9.bin
50	0x4c9a28	0xf7c2	c2f700	2	16	16	2	32	abc7456bf05e5fbfb55ea220725e30e8e810b8be8323bf7f584dc2d3faa88316	masks/glyph-000050-16x16-key-F7C2.bin
51	0x4c9a28	0x7db6	b67d00	2	16	16	2	32	a33edd79574ac350ef6356582d2ad89295db632c3cd76e5c22a4b78cb760b829	masks/glyph-000051-16x16-key-7DB6.bin
52	0x4ab998	0xb3ae	aeb300	2	20	20	3	60	49dcf45a115b7a3acf22dcd8082c7c024069a49659e43a0640e8351216f8e7a3	masks/glyph-000052-20x20-key-B3AE.bin
53	0x4ab998	0xf4a4	a4f400	2	20	20	3	60	41d152491f7207cc385e601746fe662c29cbd813a9557f99546b3a3497ddf374	masks/glyph-000053-20x20-key-F4A4.bin
54	0x4ab998	0xb9b5	b5b900	2	20	20	3	60	6e381ffe6a90b2085117e16f29bbe791250019260635549bce5e3d5a17696f67	masks/glyph-000054-20x20-key-B9B5.bin
55	0x4ab998	0xd1a6	a6d100	2	20	20	3	60	fd584020abc83aa4e3f0066b6d50f2847588086417bcdf0d26c7111d0ec5379f	masks/glyph-000055-20x20-key-D1A6.bin
56	0x4ab998	0x48a4	a44800	2	20	20	3	60	8703dd378cc287ad47e9fb6eb3bbf50118cc568c5e7a250f48c5b2c8b8cf7c35	masks/glyph-000056-20x20-key-48A4.bin
57	0x4ab998	0xdcb3	b3dc00	2	20	20	3	60	3a5b2df4affd603cf4e5688735ac955365550f17b7576929da516f17b9320404	masks/glyph-000057-20x20-key-DCB3.bin
58	0x4ab998	0xb5ad	adb500	2	20	20	3	60	b178b3761261ef38738dcc18eaf4cb796e40f9bcf3354ff9892f654d7b24571c	masks/glyph-000058-20x20-key-B5AD.bin
59	0x4ab998	0xc4ae	aec400	2	20	20	3	60	2aea749173adab8783576337407fa5583ec7ae25a0cfdd53d8d0c8a7dcaa64ed	masks/glyph-000059-20x20-key-C4AE.bin
60	0x4ab998	0xd6bc	bcd600	2	20	20	3	60	90c5b1fe43db268458a6cb2ca74a00a863183629f6e305c20a69b721e836b178	masks/glyph-000060-20x20-key-D6BC.bin
61	0x4ab998	0x6db8	b86d00	2	20	20	3	60	5664ce1381e9ce689975d1e1c67b8873d45e894c0b22f50599993224827704b4	masks/glyph-000061-20x20-key-6DB8.bin
62	0x4ab998	0xabb4	b4ab00	2	20	20	3	60	6d6cf481835ec2dd8a7aabe4f5869737fc0da5312d78d2c918d8ade2030abd66	masks/glyph-000062-20x20-key-ABB4.bin
63	0x4ab998	0xc5aa	aac500	2	20	20	3	60	e9de06ac9ae6ab186b0bcfcddd5ba968de4bc77805f955a4a89553c91631443d	masks/glyph-000063-20x20-key-C5AA.bin
64	0x4ab998	0xa1b6	b6a100	2	20	20	3	60	b63320fc02193edc4b19747704ee699e45be2cec368c962da44d4092729fa11b	masks/glyph-000064-20x20-key-A1B6.bin
65	0x4ab998	0x61a6	a66100	2	20	20	3	60	1b1eba7315ce7820f71198930ee5573870bb543e4d3c52493b7bfec57073c12d	masks/glyph-000065-20x20-key-61A6.bin
66	0x4ab998	0xcfb9	b9cf00	2	20	20	3	60	47d1c5a821877ffc593832ff4345977de3036a483f79e79f7ceed8b4538e31d1	masks/glyph-000066-20x20-key-CFB9.bin
67	0x4ab998	0x47aa	aa4700	2	20	20	3	60	17031269f888c61bf191e2b007ad2ef8208938c916ce06ee56b50b3eb5af539a	masks/glyph-000067-20x20-key-47AA.bin
68	0x4ab998	0xe5a4	a4e500	2	20	20	3	60	66bf2ca338d86d8d87ce72247bca0464bb44f708828358ffc788c3148a7d88ab	masks/glyph-000068-20x20-key-E5A4.bin
69	0x4ab998	0x72a6	a67200	2	20	20	3	60	5d8c84b17aa5a2a0ed46fcd53f2f88cc3ec597020ab2cadd12d3ec6c6b1818f9	masks/glyph-000069-20x20-key-72A6.bin
70	0x4ab998	0x74b3	b37400	2	20	20	3	60	96793a72c51b0076808d14b52e13cbf3beb4e7f25f26d10f1deadfeeec68fa4f	masks/glyph-000070-20x20-key-74B3.bin
71	0x4ab998	0xd7ab	abd700	2	20	20	3	60	4571611b50a08d206fe430098b16df31e44e74b4188e0b6b4655920276147bdc	masks/glyph-000071-20x20-key-D7AB.bin
72	0x4ab998	0xd4be	bed400	2	20	20	3	60	39f0ea85e1957b87ec0b83b18b2ba7a805bee43f4720dc0a87e9c981dbe09f4c	masks/glyph-000072-20x20-key-D4BE.bin
73	0x4ab998	0xabb0	b0ab00	2	20	20	3	60	60ed42f22558c901d7f85b6f5ca698af43e0ee2cec4c899a3fcda3f36788965c	masks/glyph-000073-20x20-key-ABB0.bin
74	0x4ab998	0xf6ab	abf600	2	20	20	3	60	30ffd57e85d06196cdde31490e1d9976d1a0882e40326f8e6523e4b056db9703	masks/glyph-000074-20x20-key-F6AB.bin
75	0x4ab998	0xe4c1	c1e400	2	20	20	3	60	f5fc80b6a35747c12852b58fb87a3ac0ec81f4a0a2d2a82043ec799b03013993	masks/glyph-000075-20x20-key-E4C1.bin
76	0x4ab998	0x5db3	b35d00	2	20	20	3	60	14e60086900e1e2ea8c0cad8b63c29ea94312b072e268ac7ae11fd86aa8a7d5c	masks/glyph-000076-20x20-key-5DB3.bin
77	0x4ab998	0x77a9	a97700	2	20	20	3	60	20a5d3200b74f2305a311b49d9024975da0ad4f479adc1a642e39c92ef819c99	masks/glyph-000077-20x20-key-77A9.bin
78	0x4c9a28	0x0076	760000	1	16	16	2	32	a80a2304875b2078fbb492e600bb286c9e6d9f85d59e44da3372caa775ac0628	masks/glyph-000078-16x16-key-0076.bin
79	0x4c9a28	0x002e	2e0000	1	16	16	2	32	2c6675e16c586e3af3203cc6f38a48e050cfb56b6f063962c0d1e21d799f3a76	masks/glyph-000079-16x16-key-002E.bin
80	0x4c9a28	0x0044	440000	1	16	16	2	32	9732fe804ea9b7d96ce233ec178fb465a3ced1e7d7db76ef9f6bfbc4df971f42	masks/glyph-000080-16x16-key-0044.bin
81	0x4c9a28	0x0056	560000	1	16	16	2	32	345cc217a24ebf0d8e6aa2ba840413d406fdf1217030d398206afc4a138a2853	masks/glyph-000081-16x16-key-0056.bin
82	0x4c9a28	0x0043	430000	1	16	16	2	32	26dd66c97dd2a1a96e7c7c02d2ae9f94a8ad20a6abdf2a831724164251a53880	masks/glyph-000082-16x16-key-0043.bin
