index	renderer	cache_key	raw_bytes	consumed_bytes	width	height	row_bytes	mask_bytes	sha256	mask_file
1	0x4c9a28	0x0032	320000	1	16	16	2	32	913788a87ad05b00ec3b7d7c1ad47cb702ac4d95aaca54bc5c40b2da509b700d	masks/glyph-000001-16x16-key-0032.bin
2	0x4c9a28	0x0030	300000	1	16	16	2	32	ee3c234e91f07cabcadce7bccf27e3dae7fbf873124dbeb8f27f6371cba56f5f	masks/glyph-000002-16x16-key-0030.bin
3	0x4c9a28	0x0031	310000	1	16	16	2	32	ccc3699d8380244c2fa40ff5fb8b7e35e12583242aae2864f316b0413b0eaf9f	masks/glyph-000003-16x16-key-0031.bin
4	0x4c9a28	0x002f	2f0000	1	16	16	2	32	c4f76d955e5603849d5114a339cbea38fb0451455d2edf3ea025e171d5363524	masks/glyph-000004-16x16-key-002F.bin
5	0x4c9a28	0x0035	350000	1	16	16	2	32	fcc215eae5d03c998b18e738e4a6b53461dac168584aaed08382cc74be81ea04	masks/glyph-000005-16x16-key-0035.bin
6	0x4c9a28	0x0036	360000	1	16	16	2	32	4caf113f072a460f1f4afc4d1e2c74854ae47a2e47d918d797dce3c603b492bb	masks/glyph-000006-16x16-key-0036.bin
7	0x4c9a28	0x0020	200000	1	16	16	2	32	66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925	masks/glyph-000007-16x16-key-0020.bin
8	0x4c9a28	0x0033	330000	1	16	16	2	32	88420e45ea862c072156b2ba833712488f30d648bd5e0e4a2652f16a93038625	masks/glyph-000008-16x16-key-0033.bin
9	0x4c9a28	0x003a	3a0000	1	16	16	2	32	85dc259f3f7de036d4ccc68f8286b225fa8616ba30e91f4cb904c77c54f95b05	masks/glyph-000009-16x16-key-003A.bin
10	0x4c9a28	0x0038	380000	1	16	16	2	32	df68bd294449031b936a7e16c8c8e5c3f6e0b57b776e4272ab7e8929f268d596	masks/glyph-000010-16x16-key-0038.bin
11	0x4a9ed0	0xc2ab	abc200	2	12	12	2	24	c80802c00e99f103fda3dfbc2e5a678d558b9ade8c8e7a6ceae0cacb7d78d1aa	masks/glyph-000011-12x12-key-C2AB.bin
12	0x4a9ed0	0xa7a5	a5a700	2	12	12	2	24	b4f77e5c6b5943ade889b865560c5551a2a88d6f12647cdfe55ae84c9fba66b3	masks/glyph-000012-12x12-key-A7A5.bin
13	0x4a9ed0	0xb5b4	b4b500	2	12	12	2	24	055ecf45f1b2993add525f4cb23ad5aa2853ac575d8a4165834f42533a3fd2bb	masks/glyph-000013-12x12-key-B5B4.bin
14	0x4a9ed0	0x0020	200000	1	12	12	2	24	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	masks/glyph-000014-12x12-key-0020.bin
15	0x4a9ed0	0xd0b1	b1d000	2	12	12	2	24	9dbbdba2518eb77884a341e1d7f4f28e50912fa7817a4c5bbf7364909bb208a0	masks/glyph-000015-12x12-key-D0B1.bin
16	0x4a9ed0	0xf3b0	b0f300	2	12	12	2	24	31267e5c0c97d827492d8c730f510fb4e52cbfc849a4942f94b5fe15c93121b8	masks/glyph-000016-12x12-key-F3B0.bin
17	0x4a9ed0	0x61a6	a66100	2	12	12	2	24	4d58a70e7265354b95ff25e2ceb5a2198bc7b1d3abe2600c5d11b3af7de6b056	masks/glyph-000017-12x12-key-61A6.bin
18	0x4a9ed0	0x63a8	a86300	2	12	12	2	24	877895a261c9e63653f420d7b73b6704220e24b4d16ef159d02085ce82921f79	masks/glyph-000018-12x12-key-63A8.bin
19	0x4c9a28	0xc5af	afc500	2	16	16	2	32	f2e82c4942680c845a3be04e6b2d0249b71ac96a9cc115c49ec1203757f34f8b	masks/glyph-000019-16x16-key-C5AF.bin
20	0x4c9a28	0xc9ae	aec900	2	16	16	2	32	87c628cb2eb8affe48afbf04ad898ffddc64f89d117ee1643e868732ba6bcbd0	masks/glyph-000020-16x16-key-C9AE.bin
21	0x4c9a28	0x0034	340000	1	16	16	2	32	94d9ad19afb14124275991966f53937a26c8f617b39191e001d77c716d7b27eb	masks/glyph-000021-16x16-key-0034.bin
22	0x4c9a28	0xc0a4	a4c000	2	16	16	2	32	6bc336d283d4cf1fd3096278b2d84b0048faddba613089962b3ae036e5a21700	masks/glyph-000022-16x16-key-C0A4.bin
23	0x4c9a28	0xedac	aced00	2	16	16	2	32	a855637a47b1b4914ac038ef74d397d3564ae38cbbb76d58bb5ce8283fc1b914	masks/glyph-000023-16x16-key-EDAC.bin
24	0x4a9ed0	0x0030	300000	1	12	12	2	24	945a47899957f81ee51970dbcc23f28dc009716b8440d9e81fe5c4b74597f4d9	masks/glyph-000024-12x12-key-0030.bin
25	0x4c9a28	0x0037	370000	1	16	16	2	32	249e4f580def13c3fb95086edf66fb6dc2084af7f432641338e80e0d85375a70	masks/glyph-000025-16x16-key-0037.bin
26	0x4a9ed0	0xbaa4	a4ba00	2	12	12	2	24	f6d6b4b1cd2c0e1c648cc82a7234d01608241189ed182e7bf5112628ac02d576	masks/glyph-000026-12x12-key-BAA4.bin
27	0x4a9ed0	0x0031	310000	1	12	12	2	24	702d798271fcc06f09c9f0f5c503b93e4115f9a81c2b9c2c9d12a623d1a657b8	masks/glyph-000027-12x12-key-0031.bin
28	0x4c9a28	0x53a8	a85300	2	16	16	2	32	7180fa2b9aee2c09a64a5464f1c2f7604ef41892407f8aa09b02686c9131a750	masks/glyph-000028-16x16-key-53A8.bin
29	0x4c9a28	0xb3a6	a6b300	2	16	16	2	32	d7da79888fe949ee8284ed52abb3ff4da1eeacc3f3a047645a50335858c780a0	masks/glyph-000029-16x16-key-B3A6.bin
30	0x4c9a28	0x73a6	a67300	2	16	16	2	32	5477933a7bfc8f25ca8f545c08af8e4bed5305eead2beb8f17a4b4bfb5439129	masks/glyph-000030-16x16-key-73A6.bin
31	0x4c9a28	0xc9c0	c0c900	2	16	16	2	32	ae6c333b4950fccab4802481441f4f6b916825118ca349aa7b072a8a8b341c22	masks/glyph-000031-16x16-key-C9C0.bin
32	0x4c9a28	0xeab8	b8ea00	2	16	16	2	32	9e73ea2c775305a438eb3b7022057a0786de68719fd02d7879ec9ff002f9546b	masks/glyph-000032-16x16-key-EAB8.bin
33	0x4c9a28	0x54b0	b05400	2	16	16	2	32	f4e0cb6a10be8616cd34529980977e92791cd3de5e36de1fd2de05d86c3134b7	masks/glyph-000033-16x16-key-54B0.bin
34	0x4a9ed0	0x0032	320000	1	12	12	2	24	639e5806fbb6f665f083501ac2419f19e4d6a1d4612670d2ad0c4d6ca2246d25	masks/glyph-000034-12x12-key-0032.bin
35	0x4c9a28	0x6aa5	a56a00	2	16	16	2	32	82cbd28c7218ad0f646885726c64bec8b3920490dd85985099c51f5e0dbbff89	masks/glyph-000035-16x16-key-6AA5.bin
36	0x4c9a28	0xeba4	a4eb00	2	16	16	2	32	00baa0686f3d9df901f30eeb5cac58cb940d3053fa1566b77d01b076de9cf6e5	masks/glyph-000036-16x16-key-EBA4.bin
