archive	group_index	record_ordinal	lookup_action_id	stored_action_id	name_bytes_hex	name_text_best_effort	index_record_offset_hex	block_offset_hex	block_size_bytes	variant_slots	nonempty_variants	reserved_0_hex	reserved_1_hex	reserved_2_hex
all_char.act	0	1	1	1	303031C1C9AF5300000000000000000000000000	001賽特	0000001C	00075230	5962	80	78	00000000	00000000	00000000
all_char.act	0	2	2	2	303032A967A56900000000000000000000000000	002妮可	00000048	00076E68	5876	76	66	00000000	00000000	00000000
all_char.act	0	3	3	3	303033C1A8B94600000000000000000000000000	003薇達	00000074	00056810	3064	73	49	00000000	00000000	00000000
all_char.act	0	4	4	4	303034B3C1BAB8B4B50000000000000000000000	004麥爾斯	000000A0	0007C40A	5202	77	66	00000000	00000000	00000000
all_char.act	0	5	5	5	303035B2FABDAC00000000000000000000000000	005莉蓮	000000CC	0007AB14	2758	80	47	00000000	00000000	00000000
all_char.act	0	6	6	6	303036A969B4B5A4F1BAB8000000000000000000	006姆斯比爾	000000F8	00049EEE	2658	80	21	00000000	00000000	00000000
all_char.act	0	7	7	7	303037B164A8BAA8BDA468310000000000000000	007康那里士1	00000124	0005ED9C	2604	69	36	00000000	00000000	00000000
all_char.act	0	8	8	8	303038A564BABF00000000000000000000000000	008卡瑪	00000150	000911FE	4074	76	42	00000000	00000000	00000000
all_char.act	0	9	9	9	303039AAD6AD7D00000000000000000000000000	009肯迪	0000017C	000400F0	1522	54	26	00000000	00000000	00000000
all_char.act	0	10	10	10	303130BC7AABDB00000000000000000000000000	010慧彥	000001A8	00078F44	3202	80	50	00000000	00000000	00000000
all_char.act	0	11	11	11	303131A677A56400000000000000000000000000	011安卡	000001D4	0004AB74	2104	62	19	00000000	00000000	00000000
all_char.act	0	12	12	12	303132AEA3C4DFA4A7A4FD000000000000000000	012恐懼之王	00000200	0006A856	1118	69	5	00000000	00000000	00000000
all_char.act	0	13	13	13	303133C2C5C55DAFAB0000000000000000000000	013藍魔神	0000022C	0006ACB4	3290	69	41	00000000	00000000	00000000
all_char.act	0	14	14	14	303134B6C0B97000000000000000000000000000	014黃雷	00000258	0006611C	2452	80	37	00000000	00000000	00000000
all_char.act	0	15	15	15	303135BBB7AEA6A4FDA46C000000000000000000	015遠恩王子	00000284	00042930	2296	64	36	00000000	00000000	00000000
all_char.act	0	16	16	16	303136B8C2BCD3A4FD0000000000000000000000	016蜃樓王	000002B0	0006C108	2808	69	35	00000000	00000000	00000000
all_char.act	0	17	17	17	303137A7F5B97400000000000000000000000000	017李靖	000002DC	00094654	3992	80	54	00000000	00000000	00000000
all_char.act	0	18	18	18	303138B0ADB55500000000000000000000000000	018鬼猴	00000308	0006739E	1080	69	9	00000000	00000000	00000000
all_char.act	0	19	19	19	303139B2BEB0CAAE71A6CCB67DBAB8B9B3000000	019移動島米開爾像	00000334	0002A0D6	716	32	11	00000000	00000000	00000000
all_char.act	0	20	20	20	303230B2BEB0CAAE71A448ADB1B7E0A8ADB9B300	020移動島人面獅身像	00000360	0002A3A2	472	30	10	00000000	00000000	00000000
all_char.act	0	21	21	21	303231B2BEB0CAAE71B6AEA8E5AE52B9B3000000	021移動島雅典娜像	0000038C	0002A57A	472	30	10	00000000	00000000	00000000
all_char.act	0	22	22	22	303232B2BEB0CAAE71AA69A6E8B979B9B3000000	022移動島波西頓像	000003B8	0003AD4A	1318	56	22	00000000	00000000	00000000
all_char.act	0	23	23	23	303233B0AAA550AADB0000000000000000000000	023高仙芝	000003E4	00047C4A	1950	63	27	00000000	00000000	00000000
all_char.act	0	24	24	24	303234AC71A871B9EA0000000000000000000000	024段秀實	00000410	00044EA2	2108	61	33	00000000	00000000	00000000
all_char.act	0	25	25	25	303235B3C1BAB8A4A60000000000000000000000	025麥爾丹	0000043C	000406E2	1574	56	26	00000000	00000000	00000000
all_char.act	0	26	26	0	0000000000000000000000000000000000000000		00000468	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	27	27	27	303237B061C1D5BC43A550000000000000000000	027軒轅劍仙	00000494	0005475A	1660	69	29	00000000	00000000	00000000
all_char.act	0	28	28	28	303238BCBBA5B900000000000000000000000000	028撒旦	000004C0	0008F08C	2280	69	10	00000000	00000000	00000000
all_char.act	0	29	29	29	303239C2C4A6E800000000000000000000000000	029薩西	000004EC	000398BE	1212	57	21	00000000	00000000	00000000
all_char.act	0	30	30	30	303330AA69BAB800000000000000000000000000	030波爾	00000518	0006F89C	1696	77	30	00000000	00000000	00000000
all_char.act	0	31	31	31	303331A5D5B373BBF60000000000000000000000	031白連儀	00000544	00057408	1706	69	34	00000000	00000000	00000000
all_char.act	0	32	32	32	303332AB42A4A6A46C0000000000000000000000	032雨丹子	00000570	000800D4	2178	69	31	00000000	00000000	00000000
all_char.act	0	33	33	33	303333B169ABC800000000000000000000000000	033張客	0000059C	0007F82A	2218	69	36	00000000	00000000	00000000
all_char.act	0	34	34	34	303334BC7ABA6100000000000000000000000000	034慧榮	000005C8	00086C40	2768	80	46	00000000	00000000	00000000
all_char.act	0	35	35	35	303335B061C1D5BC43B5A3000000000000000000	035軒轅劍童	000005F4	0005622A	1510	69	27	00000000	00000000	00000000
all_char.act	0	36	36	36	303336AA4CA9FA00000000000000000000000000	036林明	00000620	00060850	2130	61	35	00000000	00000000	00000000
all_char.act	0	37	37	37	303337AA4CA9FA28A95DA6E6B8CB290000000000	037林明(夜行裝)	0000064C	0008199A	2048	69	39	00000000	00000000	00000000
all_char.act	0	38	38	38	303338C2EDA8B800000000000000000000000000	038鎮邪	00000678	0006CC00	2714	69	41	00000000	00000000	00000000
all_char.act	0	39	39	39	303339A4FDABE4A4EB0000000000000000000000	039王思月	000006A4	00080BBA	3038	80	46	00000000	00000000	00000000
all_char.act	0	40	40	40	303430AEA9BD7400000000000000000000000000	040悟緣	000006D0	000964D0	2532	69	41	00000000	00000000	00000000
all_char.act	0	41	41	41	303431ADF0A5C8A9760000000000000000000000	041唐玄宗	000006FC	0006A2BC	1434	54	26	00000000	00000000	00000000
all_char.act	0	42	42	42	303432A677B84CA4730000000000000000000000	042安碌山	00000728	0005A0BE	982	61	19	00000000	00000000	00000000
all_char.act	0	43	43	43	303433B7A8B651A66D0000000000000000000000	043楊貴妃	00000754	00068FAC	1478	54	26	00000000	00000000	00000000
all_char.act	0	44	44	44	303434B7A8B0EAA9BE0000000000000000000000	044楊國忠	00000780	00069E7A	1090	55	20	00000000	00000000	00000000
all_char.act	0	45	45	45	303435B0AAA44FA4680000000000000000000000	045高力士	000007AC	00062472	754	16	16	00000000	00000000	00000000
all_char.act	0	46	46	46	303436B045A4D700000000000000000000000000	046蚩尤	000007D8	00090D32	1228	69	5	00000000	00000000	00000000
all_char.act	0	47	47	47	303437C3C9BAEBC55DBEF7000000000000000000	047蟹精魔機	00000804	00083838	2046	69	38	00000000	00000000	00000000
all_char.act	0	48	48	48	303438BEF7C3F6A454C55DC37E28A5FE29000000	048機關三魔獸(全)	00000830	0006D69A	1212	69	15	00000000	00000000	00000000
all_char.act	0	49	49	49	303439BD7EA7D4A4DBBEF7000000000000000000	049羯忍幻機	0000085C	0008BDEE	864	69	6	00000000	00000000	00000000
all_char.act	0	50	50	50	303530BC76A7D4A7AFBEF7626F73730000000000	050影忍妖機boss	00000888	0006DB56	1046	69	5	00000000	00000000	00000000
