source_command_word_hex	source_file_bytes_ascii	reprocessed_word_hex	reprocessed_file_bytes_ascii	all_char.act_occurrences	all_item.act_occurrences	all_magic.act_occurrences	all_sys.act_occurrences	all_map1.act_occurrences	all_map2.act_occurrences	total_occurrences	runtime_dispatch	runtime_effect_if_recognized
4342	BC	0000	..	1	0	107	0	0	0	108	default-path	
4347	GC	0000	..	1	0	103	0	0	0	104	default-path	
4352	RC	0000	..	1	0	106	0	0	0	107	default-path	
5748	HW	0001	..	3952	0	115	227	146	0	4440	default-path	
5748	HW	0002	..	33	0	0	0	0	0	33	default-path	
5748	HW	0003	..	1	0	0	0	4	0	5	default-path	
5748	HW	0004	..	2	0	0	0	1	0	3	default-path	
5748	HW	0005	..	2	0	0	0	3	0	5	default-path	
5748	HW	0006	..	4	0	0	0	0	0	4	default-path	
5859	YX	0000	..	0	0	0	11	0	0	11	default-path	
5859	YX	0001	..	0	0	0	3	0	0	3	default-path	
5859	YX	0002	..	0	0	0	3	0	0	3	default-path	
5859	YX	0003	..	2	0	0	1	0	0	3	default-path	
5859	YX	0004	..	0	0	0	2	0	0	2	default-path	
5859	YX	0005	..	0	0	0	2	0	0	2	default-path	
5859	YX	0006	..	0	0	0	2	0	0	2	default-path	
5859	YX	0007	..	0	0	0	2	0	0	2	default-path	
5859	YX	0008	..	3	0	0	3	0	0	6	default-path	
5859	YX	0009	..	0	0	0	4	3	0	7	default-path	
5859	YX	000A	..	4	0	0	5	0	0	9	default-path	
5859	YX	000B	..	3	0	0	1	0	0	4	default-path	
5859	YX	0010	..	6	0	0	21	0	0	27	default-path	
5859	YX	0012	..	0	0	0	1	1	0	2	default-path	
5859	YX	0014	..	1	0	0	0	0	0	1	default-path	
5859	YX	0015	..	6	0	0	2	0	0	8	default-path	
5859	YX	0016	..	0	0	0	4	0	0	4	default-path	
5859	YX	0017	..	1	0	0	4	0	0	5	default-path	
5859	YX	0018	..	0	0	0	2	0	0	2	default-path	
5859	YX	001A	..	4	0	0	1	1	0	6	default-path	
5859	YX	001B	..	0	0	0	4	1	0	5	default-path	
5859	YX	001C	..	4	0	0	2	0	0	6	default-path	
5859	YX	001D	..	0	0	0	1	0	0	1	default-path	
5859	YX	001E	..	0	0	0	2	0	0	2	default-path	
5859	YX	001F	..	14	0	4	1	0	0	19	default-path	
5859	YX	0020	 .	6	0	2	0	2	0	10	default-path	
5859	YX	0022	"""."	0	0	0	0	1	0	1	default-path	
5859	YX	0024	$.	6	0	0	0	0	0	6	default-path	
5859	YX	0025	%.	4	0	0	0	0	0	4	default-path	
5859	YX	002A	*.	12	0	0	0	0	0	12	default-path	
5859	YX	002B	+.	11	0	0	0	0	0	11	default-path	
5859	YX	002C	,.	2	0	0	0	0	0	2	default-path	
5859	YX	002D	-.	5	0	0	0	0	0	5	default-path	
5859	YX	002E	..	11	0	0	0	1	0	12	default-path	
5859	YX	002F	/.	7	0	0	0	0	0	7	default-path	
5859	YX	0030	0.	5	0	1	2	6	0	14	default-path	
5859	YX	0032	2.	1	0	0	40	2	0	43	default-path	
5859	YX	0033	3.	1	0	0	0	0	0	1	default-path	
5859	YX	0034	4.	11	0	0	0	0	0	11	default-path	
5859	YX	0035	5.	1	0	0	0	0	0	1	default-path	
5859	YX	0036	6.	2	0	0	0	0	0	2	default-path	
5859	YX	0037	7.	4	0	0	0	0	0	4	default-path	
5859	YX	0038	8.	4	0	0	0	0	0	4	default-path	
5859	YX	0039	9.	11	0	0	0	0	0	11	default-path	
5859	YX	003A	:.	6	0	0	0	0	0	6	default-path	
5859	YX	003B	;.	9	0	0	0	0	0	9	default-path	
5859	YX	003C	<.	16	0	0	0	0	0	16	default-path	
5859	YX	003D	=.	12	0	0	0	0	0	12	default-path	
5859	YX	003E	>.	6	0	0	0	0	0	6	default-path	
5859	YX	003F	?.	16	0	0	0	0	0	16	default-path	
5859	YX	0040	@.	49	0	0	4	20	0	73	default-path	
5859	YX	0041	A.	39	0	0	0	0	0	39	default-path	
5859	YX	0042	B.	101	0	0	0	0	0	101	default-path	
5859	YX	0043	C.	104	0	0	0	0	0	104	default-path	
5859	YX	0044	D.	189	0	0	0	0	0	189	default-path	
5859	YX	0045	E.	173	0	0	0	0	0	173	default-path	
5859	YX	0046	F.	291	0	0	0	0	0	291	default-path	
5859	YX	0047	G.	200	0	0	0	0	0	200	default-path	
5859	YX	0048	H.	474	0	0	0	0	0	474	default-path	
5859	YX	0049	I.	222	0	0	0	0	0	222	default-path	
5859	YX	004A	J.	51	0	0	0	0	0	51	default-path	
5859	YX	004B	K.	113	0	0	0	0	0	113	default-path	
5859	YX	004C	L.	28	0	0	0	0	0	28	default-path	
5859	YX	004D	M.	19	0	0	0	0	0	19	default-path	
5859	YX	004E	N.	22	0	0	0	0	0	22	default-path	
5859	YX	004F	O.	7	0	0	0	0	0	7	default-path	
5859	YX	0050	P.	33	0	0	0	10	0	43	default-path	
5859	YX	0051	Q.	2	0	0	0	0	0	2	default-path	
5859	YX	0052	R.	6	0	0	0	0	0	6	default-path	
5859	YX	0053	S.	9	0	0	0	0	0	9	default-path	
5859	YX	0054	T.	8	0	0	0	0	0	8	default-path	
5859	YX	0055	U.	7	0	0	0	0	0	7	default-path	
5859	YX	0056	V.	15	0	0	0	0	0	15	default-path	
5859	YX	0057	W.	17	0	0	0	0	0	17	default-path	
5859	YX	0059	Y.	1	0	0	0	0	0	1	default-path	
5859	YX	005A	Z.	5	0	0	0	4	0	9	default-path	
5859	YX	005B	[.	2	0	0	0	0	0	2	default-path	
5859	YX	005C	\.	13	0	0	0	0	0	13	default-path	
5859	YX	005D	].	1	0	0	0	0	0	1	default-path	
5859	YX	005E	^.	2	0	0	0	0	0	2	default-path	
5859	YX	005F	_.	4	0	0	0	2	0	6	default-path	
5859	YX	0060	`.	16	0	2	2	16	0	36	default-path	
5859	YX	0061	a.	5	0	0	0	0	0	5	default-path	
5859	YX	0062	b.	9	0	0	0	0	0	9	default-path	
5859	YX	0063	c.	9	0	0	0	0	0	9	default-path	
5859	YX	0064	d.	9	0	0	0	0	0	9	default-path	
5859	YX	0065	e.	6	0	0	0	0	0	6	default-path	
5859	YX	0066	f.	2	0	0	0	0	0	2	default-path	
5859	YX	0067	g.	5	0	0	0	0	0	5	default-path	
5859	YX	0068	h.	9	0	0	0	0	0	9	default-path	
5859	YX	0069	i.	5	0	0	0	0	0	5	default-path	
5859	YX	006A	j.	2	0	0	0	0	0	2	default-path	
5859	YX	006B	k.	4	0	0	0	0	0	4	default-path	
5859	YX	006C	l.	9	0	0	0	0	0	9	default-path	
5859	YX	006D	m.	1	0	0	1	2	0	4	default-path	
5859	YX	006E	n.	9	0	0	1	2	0	12	default-path	
5859	YX	006F	o.	1	0	0	0	0	0	1	default-path	
5859	YX	0070	p.	49	0	0	4	16	0	69	default-path	
5859	YX	0071	q.	16	0	0	0	1	0	17	default-path	
5859	YX	0072	r.	42	0	0	0	0	0	42	default-path	
5859	YX	0073	s.	1	0	0	0	0	0	1	default-path	
5859	YX	0074	t.	5	0	0	0	0	0	5	default-path	
5859	YX	0075	u.	1	0	0	0	0	0	1	default-path	
5859	YX	0076	v.	3	0	0	0	0	0	3	default-path	
5859	YX	0077	w.	4	0	0	0	0	0	4	default-path	
5859	YX	0078	x.	3	0	0	0	0	0	3	default-path	
5859	YX	0079	y.	2	0	0	2	0	0	4	default-path	
5859	YX	007A	z.	18	0	1	0	0	0	19	default-path	
5859	YX	007B	{.	1	0	1	0	0	0	2	default-path	
5859	YX	007C	|.	2	0	0	0	0	0	2	default-path	
5859	YX	007D	}.	2	0	0	0	0	0	2	default-path	
5859	YX	007E	~.	3	0	0	0	0	0	3	default-path	
5859	YX	007F	..	4	0	3	0	0	0	7	default-path	
5859	YX	0080	..	24	0	2	1	13	0	40	default-path	
5859	YX	0081	..	4	0	0	0	1	0	5	default-path	
5859	YX	0082	..	3	0	0	0	0	0	3	default-path	
5859	YX	0083	..	4	0	0	0	0	0	4	default-path	
5859	YX	0084	..	2	0	0	0	0	0	2	default-path	
5859	YX	0085	..	11	0	0	0	0	0	11	default-path	
5859	YX	0086	..	5	0	0	0	0	0	5	default-path	
5859	YX	0087	..	1	0	0	0	0	0	1	default-path	
5859	YX	0088	..	5	0	0	0	0	0	5	default-path	
5859	YX	008A	..	4	0	0	0	0	0	4	default-path	
5859	YX	008B	..	4	0	0	0	0	0	4	default-path	
5859	YX	008C	..	4	0	0	0	0	0	4	default-path	
5859	YX	008D	..	6	0	0	0	0	0	6	default-path	
5859	YX	008E	..	4	0	0	0	0	0	4	default-path	
5859	YX	008F	..	5	0	0	0	0	0	5	default-path	
5859	YX	0090	..	85	0	0	0	7	0	92	default-path	
5859	YX	0091	..	11	0	0	0	0	0	11	default-path	
5859	YX	0092	..	7	0	0	0	0	0	7	default-path	
5859	YX	0093	..	10	0	0	0	0	0	10	default-path	
5859	YX	0094	..	16	0	0	0	0	0	16	default-path	
5859	YX	0095	..	6	0	1	0	0	0	7	default-path	
5859	YX	0096	..	4	0	0	0	0	0	4	default-path	
