action_offset_hex	access_width_bytes	access_kind	instruction_address	owner_function	base_register	proof_anchor	proof_note	assembly_instruction
00	4	read	0040EC08	0040EBF0:sub_40EBF0	ESI	0040EBF1	函数参数已由全调用点目录确认是 ActionRecord*；ESI 到函数结束前未改写	0040EC08                 mov     edx, [esi]
00	4	read	0040ECD8	0040ECC0:sub_40ECC0	ESI	0040ECC1	函数参数已由全调用点目录确认是 ActionRecord*；ESI 到函数结束前未改写	0040ECD8                 mov     edx, [esi]
00	4	read	0040F83A	0040F6D0:sub_40F6D0	EDI	0040F805	EDI 由 0x004BABE8 加角色索引乘 0xD8 形成角色内嵌 ActionRecord 基址	0040F83A                 mov     eax, [edi]
00	4	read	0043B098	0043B080:sub_43B080	ESI	0043B081	函数参数已由全调用点目录确认是 ActionRecord*；ESI 到函数结束前未改写	0043B098                 mov     edx, [esi]
00	4	read	00449C4B	00449C30:sub_449C30	EDI	00449C34	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00449C4B                 mov     edx, [edi]
00	4	write	0045145D	00451420:sub_451420	EDI	00451436	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；EDI 保持对象起点，扫描严格截断于 0x98	0045145D                 mov     [edi], eax
00	4	write	0045150F	00451420:sub_451420	EDI	00451436	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；EDI 保持对象起点，扫描严格截断于 0x98	0045150F                 mov     [edi], ecx
00	4	write	00451559	00451540:sub_451540	ESI	00451541	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；ESI 保持对象起点，扫描严格截断于 0x98	00451559                 mov     [esi], eax
00	4	write	00451627	004515E0:sub_4515E0	ESI	004515E9	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；ESI 保持对象起点，扫描严格截断于 0x98	00451627                 mov     [esi], ecx
00	4	write	004516EA	004515E0:sub_4515E0	ESI	004515E9	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；ESI 保持对象起点，扫描严格截断于 0x98	004516EA                 mov     [esi], edx
00	4	write	0047F95A	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047F95A                 mov     [ebp+0], ecx
08	4	read	0040EC05	0040EBF0:sub_40EBF0	ESI	0040EBF1	函数参数已由全调用点目录确认是 ActionRecord*；ESI 到函数结束前未改写	0040EC05                 mov     ecx, [esi+8]
08	4	read	0040ECD5	0040ECC0:sub_40ECC0	ESI	0040ECC1	函数参数已由全调用点目录确认是 ActionRecord*；ESI 到函数结束前未改写	0040ECD5                 mov     ecx, [esi+8]
08	4	write	0040F814	0040F6D0:sub_40F6D0	EDI	0040F805	EDI 由 0x004BABE8 加角色索引乘 0xD8 形成角色内嵌 ActionRecord 基址	0040F814                 mov     [edi+8], eax
08	4	read	0040F837	0040F6D0:sub_40F6D0	EDI	0040F805	EDI 由 0x004BABE8 加角色索引乘 0xD8 形成角色内嵌 ActionRecord 基址	0040F837                 mov     edx, [edi+8]
08	4	read	0043B095	0043B080:sub_43B080	ESI	0043B081	函数参数已由全调用点目录确认是 ActionRecord*；ESI 到函数结束前未改写	0043B095                 mov     ecx, [esi+8]
08	4	read	00449C48	00449C30:sub_449C30	EDI	00449C34	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00449C48                 mov     ecx, [edi+8]
08	4	write	0045145F	00451420:sub_451420	EDI	00451436	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；EDI 保持对象起点，扫描严格截断于 0x98	0045145F                 mov     dword ptr [edi+8], 0
08	4	write	00451508	00451420:sub_451420	EDI	00451436	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；EDI 保持对象起点，扫描严格截断于 0x98	00451508                 mov     dword ptr [edi+8], 0
08	4	write	0045155B	00451540:sub_451540	ESI	00451541	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；ESI 保持对象起点，扫描严格截断于 0x98	0045155B                 mov     dword ptr [esi+8], 0
08	4	write	0045161D	004515E0:sub_4515E0	ESI	004515E9	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；ESI 保持对象起点，扫描严格截断于 0x98	0045161D                 mov     [esi+8], ebp
08	4	write	004516E7	004515E0:sub_4515E0	ESI	004515E9	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；ESI 保持对象起点，扫描严格截断于 0x98	004516E7                 mov     [esi+8], ebp
08	4	write	0047F95D	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047F95D                 mov     [ebp+8], eax
10	4	read	0040EC66	0040EBF0:sub_40EBF0	ESI	0040EBF1	函数参数已由全调用点目录确认是 ActionRecord*；ESI 到函数结束前未改写	0040EC66                 mov     eax, [esi+10h]
10	4	read	0040ED44	0040ECC0:sub_40ECC0	ESI	0040ECC1	函数参数已由全调用点目录确认是 ActionRecord*；ESI 到函数结束前未改写	0040ED44                 mov     eax, [esi+10h]
10	4	read	0043B0FD	0043B080:sub_43B080	ESI	0043B081	函数参数已由全调用点目录确认是 ActionRecord*；ESI 到函数结束前未改写	0043B0FD                 mov     eax, [esi+10h]
10	4	read	00449CB3	00449C30:sub_449C30	EDI	00449C34	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00449CB3                 mov     ecx, [edi+10h]
10	4	read	00449D07	00449C30:sub_449C30	EDI	00449C34	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00449D07                 mov     edx, [edi+10h]
10	4	read	00449D53	00449C30:sub_449C30	EDI	00449C34	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00449D53                 mov     eax, [edi+10h]
10	4	read	004515B8	00451540:sub_451540	ESI	00451541	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；ESI 保持对象起点，扫描严格截断于 0x98	004515B8                 mov     eax, [esi+10h]
10	4	read	004516C1	004515E0:sub_4515E0	ESI	004515E9	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；ESI 保持对象起点，扫描严格截断于 0x98	004516C1                 mov     eax, [esi+10h]
10	2	read	0047F9B7	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047F9B7                 mov     di, [ebp+10h]
10	4	read	0047F9ED	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047F9ED                 cmp     dword ptr [ebp+10h], 0
10	2	read	0047FA01	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047FA01                 sub     di, [ebp+10h]
10	4	read	0047FA4E	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047FA4E                 mov     ecx, [ebp+10h]
10	2	read	0047FA58	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047FA58                 sub     di, [ebp+10h]
10	2	read	0048320E	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	0048320E                 mov     cx, [edi+10h]
10	2	read	00483271	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483271                 sub     cx, [edi+10h]
10	2	read	004832DD	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	004832DD                 sub     cx, [edi+10h]
10	2	read	0048393F	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	0048393F                 mov     cx, [edi+10h]
10	4	read	0048398C	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	0048398C                 mov     eax, [edi+10h]
10	2	read	0048399D	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	0048399D                 sub     dx, [edi+10h]
10	4	read	004839EF	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	004839EF                 mov     eax, [edi+10h]
10	2	read	00483A00	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483A00                 sub     cx, [edi+10h]
10	2	read	00483BA2	00483B30:sub_483B30	EDI	00483B33	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483BA2                 mov     cx, [edi+10h]
10	4	read	00483BE5	00483B30:sub_483B30	EDI	00483B33	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483BE5                 mov     eax, [edi+10h]
