action_offset_hex	role_offset_hex	access_width_bytes	read_instruction_addresses	write_instruction_addresses	read_write_instruction_addresses	instruction_reference_count
0000	0040	4	00432203,00432365,0043241B,0043242E			4
0004	0044	4	00432367	00432390		2
0008	0048	4	004322B7,00432418,0043242B			3
000C	004C	4	004322BA	004322E8		2
0010	0050	4		00432231,004322DC,00432384,0043297E		4
0014	0054	4		00432234,004322DF,00432387,00432995		4
0018	0058	4	00432228,004322EB,00432393,0043250C,00432520,00432534,004326E5,00432713	004322AE,0043235C,00432404,00432518,0043252C,00432540,004326F5,00432725	004326DC,004328EA	18
0024	0064	4		0043222B,004322D6,0043237E,0043256B		4
0028	0068	4		0043222E,004322D9,00432381,00432825		4
002C	006C	4		00432237,004322E2,0043238A,0043293F		4
0030	0070	4		0043223A,004322E5,0043238D,00432956		4
0034	0074	4	0043220B,00432415,00432428			3
0038	0078	4	0043220E	00432219		2
0040	0080	2	00432797	004327C3,004327D4,00432915,0043292A		5
0042	0082	2	004321F9,00432464,0043254A,00432563,00432579,00432590,004325A5,004325F5,00432632,0043265E,004326E8,00432718,0043273A,00432793,004327DD,004327FB,0043281D,0043284C,0043287C,0043289A,004328F2,00432911,00432937,00432946,00432976,00432985,0043299F	00432224,004322D2,0043237A,00432475,004325B6,00432606,00432643,004326B7,0043270A,0043274B,004327A8,004327EE,0043280C,0043288D,004328AB,00432902,00432926,004329BE,004329D2,004329DC,004329EF,00432A00	00432556,0043256E,00432585,0043259C,00432731,00432828,00432858,00432942,00432981,004329AB	59
0044	0084	2	00432450,004329E7	0043221C,004322CA,00432372,0043249E,004324BB,00432863,00432873,00432A0C		10
0046	0086	2	0043249A,0043285C	00432220,004322CE,00432376,00432854		6
0048	0088	2	004324A2			1
004A	008A	2		004328AF		1
004C	008C	2		004327AC		1
004E	008E	2		00432891		1
0050	0090	2		00432460,0043274F		2
0054	0094	4	0043245D	0043243E		2
0058	0098	2		0043223D,004322EE,00432396,004329A7		4
005A	009A	2		00432241,004322F2,0043239A,00432552		4
005E	009E	2		00432810		1
0060	00A0	2		004327F2		1
0062	00A2	2		00432264,00432312,004323BA,00432706		4
0064	00A4	2		00432268,00432316,004323BE,00432610		4
0066	00A6	2		0043226C,0043231A,004323C2,0043264D		4
0068	00A8	2		00432270,0043231E,004323C6,004325C0		4
0070	00B0	2		00432618,00432621		2
0072	00B2	2		00432625,00432655		2
0074	00B4	2		004325C8,00432629		2
0076	00B6	2		00432245,004322F6,0043239E,00432581		4
0078	00B8	2		00432249,004322FA,004323A2,00432598		4
007A	00BA	2		00432274,00432322,004323CA,00432671		4
007C	00BC	2		00432278,00432326,004323CE,0043267A		4
007E	00BE	2		0043227C,0043232A,004323D2,00432683		4
0080	00C0	2		00432280,0043232E,004323D6,0043268C		4
0082	00C2	2		00432287,00432335,004323DD,00432698		4
0084	00C4	2		0043228E,0043233C,004323E4,004326A4		4
0086	00C6	2		00432295,00432343,004323EB,004326B0		4
0088	00C8	1		00432258,00432306,004323AE,00432906		4
0089	00C9	1		0043225E,0043230C,004323B4		3
008A	00CA	1		00432252,00432300,004323A8,0043272B		4
008C	00CC	4		0043229C,0043234A,004323F2,004329FA		4
0090	00D0	4	004321EE,004329B4,004329C8	004322A2,00432350,004323F8		6
0094	00D4	4		004322A8,00432356,004323FE,004328B8		4
