call_address	owner_function_address	owner_function_name	argument_push_address	argument_expression	register_origin_address	register_origin_instruction	syntactic_origin_class
0040378C	00402F80	sub_402F80	0040377E	edi	00403744	lea edi, dword_4BABE8[esi]	confirmed_role_action_base
004037E4	00402F80	sub_402F80	004037D6	ebx	004037D1	lea ebx, [edi+40h]	confirmed_role_parent_plus_40
00403CB5	00402F80	sub_402F80	00403CA4	esi	00403C64	lea esi, dword_4BABE8[eax]	confirmed_role_action_base
00403D0F	00402F80	sub_402F80	00403CFF	esi	00403C64	lea esi, dword_4BABE8[eax]	confirmed_role_action_base
0040548B	00405430	sub_405430	0040548A	edi	00405487	lea edi, [esi+30h]	confirmed_role_shifted_parent
0040561F	00405500	sub_405500	0040561E	edi	0040561B	lea edi, [ebp+40h]	confirmed_role_parent_plus_40
00405ED9	00405500	sub_405500	00405ECE	esi	00405EC5	lea esi, [ebp+40h]	confirmed_role_parent_plus_40
00405F32	00405500	sub_405500	00405F27	esi	00405F1E	lea esi, [ebp+40h]	confirmed_role_parent_plus_40
00405FB5	00405500	sub_405500	00405FB4	esi	00405FB1	lea esi, [ebp+40h]	confirmed_role_parent_plus_40
0040606A	00405500	sub_405500	00406039	esi	00406032	lea esi, [ebp+40h]	confirmed_role_parent_plus_40
00406153	00405500	sub_405500	0040614B	esi	00406142	lea esi, [ebp+40h]	confirmed_role_parent_plus_40
00408F8D	00408E70	sub_408E70	00408F88	offset dword_4FC5B0			static_action_object
0040941D	00408E70	sub_408E70	00409418	offset dword_4ACD18			static_action_object
0040B30B	0040AFF0	sub_40AFF0	0040B307	eax	0040B301	lea eax, dword_4CAA78[esi]	confirmed_dialog_action_pool
0040B362	0040AFF0	sub_40AFF0	0040B361	ecx	0040B35E	mov ecx, [ebp+4]	confirmed_dialog_action_pool
0040E329	0040E0B0	sub_40E0B0	0040E324	offset dword_4ACD18			static_action_object
0040E3C5	0040E0B0	sub_40E0B0	0040E394	offset dword_4C9708			static_action_object
0040E409	0040E0B0	sub_40E0B0	0040E404	offset dword_4CADE0			static_action_object
0040EBF6	0040EBF0	sub_40EBF0	0040EBF5	esi	0040EBF1	mov esi, [esp+4+arg_0]	confirmed_action_pointer_parameter
0040ECC6	0040ECC0	sub_40ECC0	0040ECC5	esi	0040ECC1	mov esi, [esp+4+arg_0]	confirmed_action_pointer_parameter
0040F291	0040F280	sub_40F280	0040F290	edi	0040F286	lea edi, [esi+40h]	confirmed_role_parent_plus_40
0040F828	0040F6D0	sub_40F6D0	0040F821	edi	0040F805	lea edi, dword_4BABE8[esi]	confirmed_role_action_base
004120C2	004120B0	sub_4120B0	004120C1	esi	004120B7	mov esi, offset unk_4BA390	static_action_object
00412477	004120B0	sub_4120B0	00412476	edi	00412473	lea edi, [esi+40h]	confirmed_role_parent_plus_40
00412618	004120B0	sub_4120B0	00412617	edi	00412614	lea edi, [esi+40h]	confirmed_role_parent_plus_40
00412663	004120B0	sub_4120B0	00412662	ecx	0041265B	lea ecx, ds:4BABE8h[eax*8]	confirmed_role_action_base
0041284F	004120B0	sub_4120B0	0041284E	esi	0041284B	lea esi, [ebx+40h]	confirmed_role_parent_plus_40
004147FB	004147E0	sub_4147E0	004147FA	edi	004147F7	lea edi, [esi+8]	confirmed_picture_action_list_node
00414AB1	004149B0	sub_4149B0	00414AA7	offset dword_4ACD18			static_action_object
00414BA3	00414B60	sub_414B60	00414BA0	esi	00414B63	mov esi, dword_4AD3E8	confirmed_picpaint_action_list_node
00414CF7	00414CE0	sub_414CE0	00414CF6	esi	00414CE2	mov esi, dword_4BA6E0	confirmed_picpaint_action_list_node
00415CD0	00415B70	sub_415B70	00415CBC	offset dword_4ACAF8			static_action_object
00415F56	00415EE0	sub_415EE0	00415F39	offset dword_4ACAF8			static_action_object
00416325	004161C0	sub_4161C0	00416324	edx	00416321	lea edx, [edi-8]	confirmed_shifted_static_action_pool
00416B5D	00416B30	sub_416B30	00416B44	offset dword_4AD3F0			static_action_object
00416BE9	00416B30	sub_416B30	00416BDA	offset dword_4AD3F0			static_action_object
0042756F	00427300	sub_427300	00427568	ebp	00427562	lea ebp, [edi+40h]	confirmed_role_parent_plus_40
004275C1	00427300	sub_427300	004275B3	ebx	004275B0	lea ebx, [esi+40h]	confirmed_role_parent_plus_40
004277B4	00427300	sub_427300	004277A6	edi	0042779F	lea edi, [esi+40h]	confirmed_role_parent_plus_40
00427AD8	00427920	sub_427920	00427AD7	ecx	00427AD0	lea ecx, ds:4BABE8h[eax*8]	confirmed_role_action_base
00427F4D	00427920	sub_427920	00427F4C	eax	00427F45	lea eax, ds:4BABE8h[edx*8]	confirmed_role_action_base
00428053	00427920	sub_427920	00428052	esi	00428029	lea esi, ds:4BABE8h[ecx*8]	confirmed_role_action_base
00428D52	00427920	sub_427920	00428D51	edx	00428D41	lea edx, dword_4BABE8[eax]	confirmed_role_action_base
00428DFA	00427920	sub_427920	00428DEF	esi	00428DE8	lea esi, ds:4BABE8h[edx*8]	confirmed_role_action_base
00428ED9	00427920	sub_427920	00428ED8	esi	00428EB6	lea esi, ds:4BABE8h[ecx*8]	confirmed_role_action_base
0042900E	00427920	sub_427920	0042900D	esi	00428F97	lea esi, ds:4BABE8h[eax*8]	confirmed_role_action_base
0042950E	00427920	sub_427920	0042950D	eax	00429507	lea eax, dword_4BABE8[eax]	confirmed_role_action_base
00429585	00427920	sub_427920	00429584	eax	0042957E	lea eax, dword_4BABE8[eax]	confirmed_role_action_base
00429F0A	00427920	sub_427920	00429F09	edx	00429F03	lea edx, dword_4BABE8[ecx]	confirmed_role_action_base
0042A00C	00427920	sub_427920	0042A00B	eax	0042A005	lea eax, dword_4BABE8[eax]	confirmed_role_action_base
0042BB54	00427920	sub_427920	0042BB53	eax	0042BB4D	lea eax, dword_4BABE8[eax]	confirmed_role_action_base
0042D2FD	00427920	sub_427920	0042D2F6	edi	0042D2CA	lea edi, dword_4BABE8[eax]	confirmed_role_action_base
0042FAEE	0042ED40	sub_42ED40	0042FAED	edx	0042FAE7	lea edx, dword_4BABE8[eax]	confirmed_role_action_base
004300D8	0042ED40	sub_42ED40	004300D3	offset dword_4C9708			static_action_object
0043011F	0042ED40	sub_42ED40	0043011A	offset dword_4CADE0			static_action_object
00430985	004308C0	sub_4308C0	0043097A	offset dword_4A9A30			static_action_object
004309F6	004308C0	sub_4308C0	004309D3	offset dword_4A9A30			static_action_object
00430A49	004308C0	sub_4308C0	00430A34	offset dword_4A9A30			static_action_object
00430AB8	004308C0	sub_4308C0	00430A9F	offset dword_4A9A30			static_action_object
00430B11	004308C0	sub_4308C0	00430AFF	offset dword_4A9A30			static_action_object
0043A9FC	0043A880	sub_43A880	0043A9F7	offset dword_4FBEE0			static_action_object
0043AE93	0043AE40	sub_43AE40	0043AE86	offset dword_4FC328			static_action_object
0043AF62	0043AE40	sub_43AE40	0043AF5D	offset dword_4FC6E8			static_action_object
0043B086	0043B080	sub_43B080	0043B085	esi	0043B081	mov esi, [esp+4+arg_0]	confirmed_action_pointer_parameter
0043BB06	0043BAB0	sub_43BAB0	0043BAED	offset dword_4FC5B0			static_action_object
0043FE70	0043FDE0	sub_43FDE0	0043FE51	offset dword_4FC650			static_action_object
0043FF10	0043FDE0	sub_43FDE0	0043FEF9	offset dword_4FC650			static_action_object
0043FF98	0043FDE0	sub_43FDE0	0043FF82	offset dword_4FC650			static_action_object
00440021	0043FDE0	sub_43FDE0	0044000B	offset dword_4FC650			static_action_object
004417E2	00441680	sub_441680	004417D5	offset dword_4FC5B0			static_action_object
004419C2	00441680	sub_441680	004419B2	offset dword_4FC5B0			static_action_object
0044286D	004425C0	sub_4425C0	00442854	offset dword_4FC650			static_action_object
00444446	004442B0	sub_4442B0	0044443D	offset dword_4FC5B0			static_action_object
00447220	00447100	sub_447100	0044721B	offset dword_4FC5B0			static_action_object
00447867	00447100	sub_447100	0044785D	offset dword_4FC5B0			static_action_object
00447B64	00447100	sub_447100	00447B5F	offset dword_4FC650			static_action_object
00448F4D	00448EE0	sub_448EE0	00448F48	offset dword_4FC5B0			static_action_object
