metric	value
ani_file_count	19
ani_file_bytes	135040876
frame_count	5312
compressed_payload_bytes	134962084
decompressed_command_bytes	226892398
span_count	6057767
indexed_pixel_count	178426082
unconsumed_command_bytes	4180
compressed_frame_count	4623
zero_payload_frame_count	689
first_load_return_zero_count	4623
first_load_skip_count	689
cached_reload_return_minus_8_count	4623
cached_reload_stale_scratch_path_count	689
lzo_comparison_version	2.10
concatenated_frame_output_sha256	dc22a98cf8ae4b1e1bd66c54a5c23edbbac61ca866158d1d67d7ac773accc1fd
assembly_branch_rows_hit	13
branch_end_marker_hits	4623
branch_initial_literal_4_plus_hits	23
branch_literal_run_extended_hits	449186
branch_literal_run_short_hits	4434282
branch_match_10_to_1f_extended_hits	103652
branch_match_10_to_1f_short_hits	2295152
branch_match_20_to_3f_extended_hits	75798
branch_match_20_to_3f_short_hits	7133614
branch_match_40_to_ff_hits	18950247
branch_trailing_literal_0_hits	17887931
branch_trailing_literal_1_hits	6263597
branch_trailing_literal_2_hits	3101235
branch_trailing_literal_3_hits	1301077
