file	file_size	file_sha256	frame_count	storage_bpp	canvas_width	canvas_height	display_width	display_height	flags_12_hex	palette_event_count	header_u16_16	initial_declared_total_size	initial_span_count	initial_record_size	compressed_payload_bytes	decompressed_command_bytes	span_count	indexed_pixel_count	unconsumed_command_bytes	maximum_target_end	initial_palette_bytes	final_record_palette_overlap_bytes	initial_palette_sha256	concatenated_frame_output_sha256
Bd2Dh2.Ani	2986670	ced23b11065ad3559a7a37049e20630bc1d512ad986331a59ded518d1fe85c5b	329	8	640	480	640	480	0x0101	0	1024	307220	1	226347	2981930	4687871	395494	1523919	0	614400	768	12	8772ca008e0befd254bb13d753f682e91d4a69f2bd6d5c81203a06410836d58c	9e849b061f49a6e085dce2aeb6a7278d358a88e15564acc37e8c0c5085e23f10
BigArmy.Ani	5378416	941b2c850742ed413cc474ef579c2d9b909a614dbf2fefded056c61e276bb3a2	176	8	640	480	640	480	0x0101	0	1024	307220	1	216071	5375512	8306832	262355	6207992	0	614400	768	12	56568206e8fafc088f950049d46798fc489137131f4ed05efbe2ab8a67248e07	b56a2b3e7dc3a1fa0e39a80ac10453e720f52d893a051e8ef9794139f1906d2f
ChaosWar.Ani	2476485	260a7a7b02f5c5e91aafd5d31bd05586c446a45cc8b3a954e0e500010d4aaeea	31	8	640	480	640	480	0x0101	0	1024	307220	1	250455	2475321	3535537	214647	1818361	0	614400	768	12	56568206e8fafc088f950049d46798fc489137131f4ed05efbe2ab8a67248e07	34e38c189779f1e65da0afd800a8d4243e6d101ea24b2622761d670203ce2eb1
GetSword.Ani	10207875	271a8feb939fcb3b42b93509af8e6c91734640ce74c84971f012580442ac7479	301	8	640	480	640	480	0x0101	0	1024	307220	1	136300	10203471	15289259	647186	10111771	0	614400	768	12	1471a05e6c159d115b03517f4d4a2d8975d109a94ec40eebcf7024d26d4fbb1c	26b8db2ab38de2ba92c535d2b85033b4419e96411c217528ae813b5e41739f00
LiliaDie.Ani	4536391	0a98b9e913e7448f96c46366006e39ca78205108b7766fe029425938eed4c71b	403	8	640	480	640	480	0x0101	0	1024	307220	1	190399	4530763	7379347	135723	6293563	0	614400	768	12	fd59d86f177d234f2b640b87465c334ca7bb0f1c0c27314d9c143587f5f7687a	898fefbbc28ded6f28b12b0d2aeb1ad9bfaadf7c80c5faec55bc551fab229b8c
MonkDie.Ani	4288552	8c7f9d6adb55ad068aa3945bf8079d7dfddee23f44c1f0d60ebd52e8105ce94c	205	8	640	480	640	480	0x0101	0	1024	307220	1	195359	4285300	6344917	95882	5577861	0	614400	768	12	56568206e8fafc088f950049d46798fc489137131f4ed05efbe2ab8a67248e07	08e59d0b2ded23c1c9d4ba8c867775fe54899cab7b58389ec783b90f8ae3a9a2
Withdraw.Ani	4706736	bd4714966d2986e429626c58b4f277bc5164a2038dd67825aa7eeebce6032f30	109	8	640	480	640	480	0x0101	0	1024	307220	1	264097	4704636	6899161	304080	4466521	0	614400	768	12	56568206e8fafc088f950049d46798fc489137131f4ed05efbe2ab8a67248e07	c9b8e90585df7d5a5156b90f1666149ab70a95b863e1b40e64822dd7922cc22c
attack-1.Ani	4197601	480e1189249041fb168d6c0bbd39fa6a8ff6c9e23f0e94379d825ab03ceafb43	89	8	640	480	640	480	0x0101	0	1024	307220	1	269338	4195741	6356065	170090	4995345	0	614400	768	12	56568206e8fafc088f950049d46798fc489137131f4ed05efbe2ab8a67248e07	279eac9fcec372c5e181c822f45d6ffa70a66acaf8b04ce59e398a98a3c9a3bc
bd2dh.Ani	544178	927ff442b9055ae598b0ad7e23a3fed7bd9352e58f6afa846079d1b05b82c555	233	8	640	480	640	480	0x0101	0	1024	307220	1	226378	540590	717465	33772	447289	0	614400	768	12	8772ca008e0befd254bb13d753f682e91d4a69f2bd6d5c81203a06410836d58c	5bfea09e5f0a3caa1fa7483b302adff2f386793a5c9f6303ef919b6a6602445b
combat01.Ani	5976042	2a526694d46661ff1425d0cd97de4b3359c004adbbea064e56a3fa9cef6bbf3c	154	8	640	480	640	480	0x0101	0	1024	307220	1	243255	5973402	9186951	396697	6013375	0	614400	768	12	56568206e8fafc088f950049d46798fc489137131f4ed05efbe2ab8a67248e07	2c96a096cce1ec155af9eaba1401bb69dadd42ec9afbc668d12ae80f9d085ccb
dh2ch3.Ani	753925	6ce1b41fa01cd3942dac45ee0b0d46d770d4e48d15c0178e69ac343775012169	280	8	640	480	640	480	0x0101	0	1024	307220	1	224614	749773	989662	55992	541726	0	614400	768	12	8772ca008e0befd254bb13d753f682e91d4a69f2bd6d5c81203a06410836d58c	f6dd2712e701c20a86b89c03a96f51af63773a83f2b5fd7094f0fb62d88a10e9
dm2bd.Ani	446551	e9365968a289557cb8b3d91dba030d91261ca1332531543612d0fbc854b7c0f5	170	8	640	480	640	480	0x0101	0	1024	307220	1	226294	443719	598793	25627	393777	0	614400	768	12	8772ca008e0befd254bb13d753f682e91d4a69f2bd6d5c81203a06410836d58c	62f4b4103e071e74437c37416b360c799cfff64f134c0fe3c783a57ea52185d2
expv.Ani	12922405	aeff975afc92f722a61defa27d106c5d6c8712fa527a7d2dc8d3e46e33d91ddf	127	8	640	480	640	480	0x0101	0	1024	307220	1	169000	12920089	23993426	529978	19749422	4180	614400	768	12	1a01ee48425ac434d7e6b5ee379e358a0596509c011568ccaa0876ddba257579	48072e4ba44c476b13fcdc4417a016c34f9a70f03d0d83daed594c22b1f51f0e
fogg.Ani	5419295	2969ea21f508fbf8dae8cff6bc06fb0dbe540d8365e34f6315bab3b1b7c1464b	77	8	640	480	640	480	0x0101	0	1024	307220	1	212328	5417579	10321293	362411	7422005	0	614400	768	12	9c93711c42bfe56d2e8f49b164fea5a6f6da93e96d66f2f0b2b3c2d91e5d9030	5e186ca1ef86a1df365032043a27bc7ec9bdf99b132f00005799183ca15a5f29
kungfu.Ani	33158974	1b9fe99e14af2db05855b670d40a922a0be55cafbeabc422eea37e617e07907b	846	8	640	480	640	480	0x0101	0	1024	307220	1	1229	33148030	49992570	638002	44888554	0	614400	768	12	9686b00b189b8d17bc5d3902a4ea507abeb67c26b821444bf9cf0370a203fe8f	9f3c99d013a355b587b2a05b489941b090e03699a1248ad68d6529800098286f
memory.Ani	18956736	8457bb4e0d46f671778cea870983519b2f931b79d1b3153e215faef4c315cb1b	507	8	640	480	640	480	0x0101	0	0	307220	1	118650	18949860	43952381	1013710	35842701	0	614400	768	12	94a2e4bc6e7d33336dffa94967e31e36c79c780b6a63be21df8bdc6b97f9e5ad	8c3b8109af021b4f7951275a756058d4c048a7b803e69d39c539edcb773118d4
monk.Ani	8624353	33832c527cfe773f70d8bf59d2784dab8d801d907fd9e2b8e800ab848aaf4d53	330	8	640	480	640	480	0x0101	0	1024	307220	1	213621	8619601	13518340	580901	8871132	0	614400	768	12	56568206e8fafc088f950049d46798fc489137131f4ed05efbe2ab8a67248e07	052af834897843bdaff3951c30758e1b26495f1aea267da1b58579594a5f3d21
nicole.Ani	9012744	12d9cf8cee001e2f7c77200170ab1d68ddba9f4054355d5edb7119b642f0bed8	790	8	640	480	640	480	0x0101	0	1024	307220	1	187005	9002472	14247583	176517	12835447	0	614400	768	12	88b7f68a93fcc87ee64e525da35f7ff159be9e1b3806ed44fafd390f60a8e201	f703b11ba3c28abfd064a564f118ffe4564f4265fcb06a2f2499c780b20308b5
ve2dm.Ani	446947	d5c65c0b0bdbf923e40c48fee61337f88bc418926a54f0d002c6689d8f8aec49	155	8	640	480	640	480	0x0101	0	1024	307220	1	225331	444295	574945	18703	425321	0	614400	768	12	2bb40d26c272692118dd1774b88f5dcad23082e66db13b6930c4ba5891c5b99c	d3c213566bad85093a68a9e0adef166f802d819edd70eeb36f8720fde32b0b2e
