address	group	disposition	implementation_mapping	evidence	remaining
0x0040CDD0	world_music	implemented_core	legacy_world_music.cpp:service_legacy_world_music	legacy-world-music-media-0040cdd0-00411c8b.md	original_diff
0x0040CF10	audio_maintenance	implemented_core	legacy_audio_coordination.cpp:maintain_legacy_audio	legacy-sequence-queue-00484dd0-004855ea.md	original_diff
0x0040CF40	world_music	implemented_core	legacy_world_music.cpp:update_legacy_world_music_request	legacy-world-music-media-0040cdd0-00411c8b.md	original_diff
0x0040EB60	world_music	implemented_core	legacy_world_music.cpp:build_legacy_music_path	legacy-world-music-media-0040cdd0-00411c8b.md	original_diff
0x004118B0	media_acquisition	platform_adapted	legacy_media_acquisition.cpp:resolve_configured_legacy_media	legacy-world-music-media-0040cdd0-00411c8b.md	original_diff
0x00484550	video_setup	platform_adapted	PlatformBackendInitializationPorts::configure_video_audio+LegacyVideoPixelFormat	legacy-video-00484550-00484da0.md	libffmpeg
0x004845A0	video	implemented_core_deferred_backend	LegacyVideoPlayer::begin	legacy-video-00484550-00484da0.md	libffmpeg+original_diff
0x00484620	video	implemented_core	LegacyVideoPlayer::close	legacy-video-00484550-00484da0.md	original_diff
0x00484650	video	implemented_core_deferred_backend	LegacyVideoPlayer::step	legacy-video-00484550-00484da0.md	libffmpeg+original_diff
0x004846F0	video	implemented_core_deferred_backend	LegacyVideoPlayer::step(wait gate)	legacy-video-00484550-00484da0.md	libffmpeg+original_diff
0x00484710	video	implemented_core	LegacyVideoPlayer::summary(width)	legacy-video-00484550-00484da0.md	original_diff
0x00484720	video	implemented_core	LegacyVideoPlayer::summary(height)	legacy-video-00484550-00484da0.md	original_diff
0x00484730	video_request	implemented_split_deferred_backend	legacy_bink_filename+build_legacy_video_path+LegacyVideoPlayer::begin	legacy-video-00484550-00484da0.md	story_callsite+libffmpeg+original_diff
0x00484920	video	implemented_core	LegacyVideoPlayer::close+WindowEventPorts	legacy-video-00484550-00484da0.md	original_diff
0x00484950	video	implemented_core_deferred_backend	LegacyVideoPlayer::step+SdlSmokeIdlePorts	legacy-video-00484550-00484da0.md	libffmpeg+original_diff
0x00484DA0	video	implemented_core	LegacyVideoPlayer::legacy_progress	legacy-video-00484550-00484da0.md	original_diff
0x00484DD0	sequence	implemented_core_deferred_backend	LegacySequenceManager::initialize_output	legacy-sequence-queue-00484dd0-004855ea.md	libffmpeg+original_diff
0x00484F60	sequence	implemented_core_deferred_backend	LegacySequenceManager::play	legacy-sequence-queue-00484dd0-004855ea.md	libffmpeg+original_diff
0x00485180	sequence	implemented_core_deferred_backend	LegacySequenceManager::service	legacy-sequence-queue-00484dd0-004855ea.md	libffmpeg+original_diff
0x00485290	sequence	implemented_core	LegacySequenceManager::sequence_absent	legacy-sequence-queue-00484dd0-004855ea.md	original_diff
0x004852C0	sequence	implemented_core	LegacySequenceManager::push_free_node	legacy-sequence-queue-00484dd0-004855ea.md	original_diff
0x004852F0	sequence	implemented_core_deferred_backend	LegacySequenceManager::find_active_node	legacy-sequence-queue-00484dd0-004855ea.md	libffmpeg+original_diff
0x00485330	audio_maintenance	external_service_port	LegacyAudioMaintenancePorts	legacy-sequence-queue-00484dd0-004855ea.md	libffmpeg
0x00485360	audio_startup	platform_adapted	PlatformBackendInitializationPorts::start_audio_service	legacy-sequence-queue-00484dd0-004855ea.md	libffmpeg
0x00485460	audio_queue	implemented_core	LegacyAudioQueueCoordinator::clear_commands	legacy-sequence-queue-00484dd0-004855ea.md	original_diff
0x004854B0	audio_queue	implemented_core_deferred_backend	LegacyAudioQueueCoordinator::service	legacy-sequence-queue-00484dd0-004855ea.md	libffmpeg+original_diff
0x00485610	sample_command	implemented_core	play_legacy_sample	legacy-sample-commands-00485610-00485828.md	original_diff
0x00485650	sample_command	implemented_core	set_legacy_sample_pan	legacy-sample-commands-00485610-00485828.md	original_diff
0x00485670	sample_command	implemented_core	play_legacy_sample_u16_level	legacy-sample-commands-00485610-00485828.md	original_diff
0x004856C0	stream_command	implemented_core_deferred_backend	play_legacy_stream	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x00485710	stream_command	implemented_core_deferred_backend	stop_legacy_stream	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x00485720	sample_command	implemented_core	stop_legacy_sample	legacy-sample-commands-00485610-00485828.md	original_diff
0x00485740	sample_command	implemented_core	stop_all_legacy_samples	legacy-sample-commands-00485610-00485828.md	original_diff
0x00485750	sample_command	implemented_core	play_legacy_spatial_sample	legacy-sample-commands-00485610-00485828.md	original_diff
0x00485830	stream_command	implemented_core_deferred_backend	legacy_stream_absent	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x00485850	stream_command	implemented_core_deferred_backend	set_legacy_stream_volume	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x00485880	stream_command	implemented_core_deferred_backend	apply_legacy_stream_transition	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x004858D0	stream_command	implemented_core_deferred_backend	poll_legacy_stream_transition	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x00485910	stream_command	implemented_core	configure_legacy_stream_transition	legacy-stream-manager-004865b0-00486a70.md	original_diff
0x00485960	sample_manager	implemented_core	LegacySampleManager::~LegacySampleManager	legacy-sample-manager-004859b0-00486430.md	original_diff
