audit_order	address	navigation_name	entry_family	candidate_confidence_navigation	direct_callers_navigation	direct_callees_navigation	prior_review_navigation	closure_status	closure_evidence	closure_rule
1	0x00433AA0	sub_433AA0	transferred_action_and_asset_helpers	confirmed_boundary	0x0045FC60:3		manual_reviewed_current_assembly	platform_adapted	evidence/battle-image-point-query-00433aa0.md	ownership and call-graph fields are navigation only; close from full LST body and external chunks
2	0x00433C40	sub_433C40	transferred_action_and_asset_helpers	confirmed_boundary		0x00433E20:1;0x00433E90:1;0x004342E0:1;0x00489654:1	manual_reviewed_current_assembly	platform_adapted	evidence/battle-render-geometry-initialization-00433c40.md	ownership and call-graph fields are navigation only; close from full LST body and external chunks
3	0x00433D70	sub_433D70	transferred_action_and_asset_helpers	confirmed_boundary	0x0045B630:1;0x0045EA30:1	0x00433F00:1;0x004885A0:2	manual_reviewed_current_assembly	platform_adapted	evidence/battle-render-resource-cleanup-00433d70.md	ownership and call-graph fields are navigation only; close from full LST body and external chunks
4	0x00433DC0	sub_433DC0	transferred_action_and_asset_helpers	confirmed_boundary	0x00451B10:1	0x00433E20:1;0x00433E90:1;0x004342E0:1;0x00437E90:1	manual_reviewed_current_assembly	platform_adapted	evidence/battle-render-surface-rebuild-00433dc0-00437e90.md	ownership and call-graph fields are navigation only; close from full LST body and external chunks
5	0x00433E20	sub_433E20	transferred_action_and_asset_helpers	confirmed_boundary	0x00433C40:1;0x00433DC0:1	0x00487C10:1;0x004885A0:1	manual_reviewed_current_assembly	platform_adapted	evidence/battle-primary-row-offsets-00433e20.md	ownership and call-graph fields are navigation only; close from full LST body and external chunks
6	0x00433E90	sub_433E90	transferred_action_and_asset_helpers	confirmed_boundary	0x00433C40:1;0x00433DC0:1;0x00433F30:1	0x00487C10:1;0x004885A0:1	manual_reviewed_current_assembly	platform_adapted	evidence/battle-surface-row-offsets-00433e90.md	ownership and call-graph fields are navigation only; close from full LST body and external chunks
7	0x00433F00	sub_433F00	transferred_action_and_asset_helpers	confirmed_boundary	0x00433D70:1	0x004885A0:1	manual_reviewed_current_assembly	platform_adapted	evidence/battle-render-auxiliary-buffer-release-00433f00.md	ownership and call-graph fields are navigation only; close from full LST body and external chunks
8	0x00433F30	sub_433F30	transferred_action_and_asset_helpers	confirmed_boundary	0x004710D0:1;0x00479850:3;0x00484020:1	0x00433E90:1;0x004342E0:1	manual_reviewed_current_assembly	assembly_exact	evidence/battle-host-surface-setup-00433f30.md	ownership and call-graph fields are navigation only; close from full LST body and external chunks
9	0x00433F70	sub_433F70	transferred_action_and_asset_helpers	confirmed_boundary	0x00451420:1;0x004515E0:1;0x00451940:1;0x00453580:2	0x00487C10:4;0x004885A0:4	manual_reviewed_current_assembly	platform_adapted	evidence/battle-literal-image-cyclic-rotation-00433f70.md	ownership and call-graph fields are navigation only; close from full LST body and external chunks
10	0x004342E0	sub_4342E0	transferred_action_and_asset_helpers	confirmed_boundary	0x00433C40:1;0x00433DC0:1;0x00433F30:1		manual_reviewed_current_assembly	assembly_exact	evidence/battle-render-rectangle-004342e0.md	ownership and call-graph fields are navigation only; close from full LST body and external chunks
