caller	call_address	first_argument_push	push_span_bytes	arg_0_x	arg_4_y	arg_8_width	arg_C_height	arg_10_flags	arg_14_auxiliary	flags_immediate	low_flags	mode	flip_bits	family_selection
sub_40EBF0	0x0040EC6C	0x0040EC6B	35	ecx	eax	edx	ecx	edx	0					runtime/unresolved
sub_40EC80	0x0040ECB3	0x0040ECB2	20	ecx	eax	edx	ecx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_40ECC0	0x0040ED4A	0x0040ED49	37	ecx	eax	edx	ecx	edx	0					runtime/unresolved
sub_411700	0x0041174F	0x0041174E	20	eax	edx	ecx	edx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4117F0	0x00411850	0x0041184F	44	edi	ebx	ecx	edx	14h	0	0x00000014	0x0014	0x14	0	source header selects RLE/span or raw/+0x80
sub_4117F0	0x004118A0	0x0041189F	14	edi	ebp	ecx	edx	14h	0	0x00000014	0x0014	0x14	0	source header selects RLE/span or raw/+0x80
sub_412D30	0x00412F3F	0x00412F3E	9	esi	ecx	10h	10h	eax	0					runtime/unresolved
sub_412D30	0x00412F8E	0x00412F8D	11	esi	ecx	10h	10h	eax	0					runtime/unresolved
sub_412D30	0x00413082	0x00413081	16	eax	edx	10h	10h	eax	0					runtime/unresolved
sub_412D30	0x004130DB	0x004130DA	20	eax	eax	10h	10h	eax	0					runtime/unresolved
sub_413370	0x00413587	0x00413586	9	esi	ecx	10h	10h	eax	0					runtime/unresolved
sub_413370	0x004135D9	0x004135D8	11	esi	ecx	10h	10h	eax	0					runtime/unresolved
sub_413370	0x004136D0	0x004136CF	16	eax	edx	10h	10h	eax	0					runtime/unresolved
sub_413370	0x0041372C	0x0041372B	20	eax	eax	10h	10h	eax	0					runtime/unresolved
sub_413910	0x00413A91	0x00413A90	46	ecx	eax	edx	ecx	ebx	eax					runtime/unresolved
sub_413910	0x00413B7F	0x00413B7E	61	edx	ecx	eax	edx	ebx	ecx					runtime/unresolved
sub_413910	0x00413BEF	0x00413BEE	70	eax	edx	edx	edx	edx	0					runtime/unresolved
sub_413F00	0x00413FCB	0x00413FCA	42	eax	edx	edx	ecx	edi	0					runtime/unresolved
sub_4145F0	0x004146D6	0x004146D5	29	eax	ecx	edx	edx	esi	0					runtime/unresolved
sub_4147E0	0x00414874	0x00414873	63	ecx	eax	edx	ecx	edx	0					runtime/unresolved
sub_4149B0	0x00414B50	0x00414B4F	45	eax	edx	ecx	edx	ecx	edx					runtime/unresolved
sub_414B60	0x00414C2D	0x00414C2C	28	edi	ebx	ecx	edx	ecx	edx					runtime/unresolved
sub_414CE0	0x00414D73	0x00414D72	66	ecx	eax	edx	ecx	edx	0					runtime/unresolved
sub_4151F0	0x00415397	0x00415396	16	ebp	edi	edx	ecx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_415B70	0x00415D6A	0x00415D69	91	eax	edx	ecx	edx	edx	ebp					runtime/unresolved
sub_415EE0	0x0041617F	0x0041617E	61	eax	edx	ecx	eax	edx	0					runtime/unresolved
