mode	caller	mask_address	mask_instruction	build_address	build_instruction	call_address	flag_contract	possible_low_slots	slot_status	scale_contract
0x0C	sub_4145F0	0x0041461F	and esi, 8000000Fh	0x0041462A	or esi, 0Ch	0x004146D6	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_4721F0	0x004723A0	and eax, 8000000Fh	0x004723A5	or al, 0Ch	0x004723E3	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_4724D0	0x00472634	and eax, 8000000Fh	0x0047263A	or al, 0Ch	0x00472676	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_4728E0	0x00472AB5	and eax, 8000000Fh	0x00472ABA	or al, 0Ch	0x00472AFC	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_472CE0	0x00472E51	and eax, 8000000Fh	0x00472E58	or al, 0Ch	0x00472E91	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_4731A0	0x0047333B	and eax, 8000000Fh	0x00473340	or al, 0Ch	0x00473383	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_4735B0	0x00473754	and eax, 8000000Fh	0x0047375C	or al, 0Ch	0x0047379C	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_4751C0	0x00475354	and eax, 8000000Fh	0x0047535B	or al, 0Ch	0x0047539B	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_478B60	0x0047926C	and eax, 8000000Fh	0x00479272	or al, 0Ch	0x004792A9	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_47BA80	0x0047BED4	and eax, 8000000Fh	0x0047BEDA	or al, 0Ch	0x0047BF00	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_47F710	0x0047F81F	and eax, 8000000Fh	0x0047F826	or al, 0Ch	0x0047F860	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_482310	0x0048275C	and eax, 8000000Fh	0x00482762	or al, 0Ch	0x004827A4	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_482840	0x00482C74	and eax, 8000000Fh	0x00482C7A	or al, 0Ch	0x00482CBC	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_4831C0	0x004834BB	and eax, 8000000Fh	0x004834C1	or al, 0Ch	0x00483508	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x0C	sub_484230	0x0048441D	and ecx, 8000000Fh	0x00484425	or ecx, 0Ch	0x0048446C	(runtime_flags & 0x8000000F) | 0x0C	0x0C,0x0D,0x0E,0x0F	all four assigned	target height and initial per-row X displacement are written before call
0x20	sub_4527E0			0x00452B67	push 20h	0x00452B95	immediate 0x20	0x20	assigned	target height = 0x280 + odd transition counter; source rectangle is 640x480
0x20	sub_479850	0x00479A98	and eax, 80000023h	0x00479A9F	or al, 20h	0x00479AEC	((runtime_flags & 0x80000003) & 0x80000023) | 0x20	0x20,0x21,0x22,0x23	0x20/0x21 assigned; normal initialized sources prove retained bit1 zero, so 0x22/0x23 are malformed-state only	target height = source height + transition counter
