address	semantic_name	subsystem	entry_or_call_form	logical_parameters	logical_parameter_widths_bits	observed_callsite_stack_bytes	callee_cleanup_bytes	register_inputs	machine_return_contract	caller_return_policy	status	evidence
0x0048A740	crt_pe_process_entry	startup	pe_entry_no_normal_caller	CRT-established process state	register_and_process_stack	NA	no_return	CRT/OS entry state	WinMain result forwarded to _exit	terminates_process	confirmed	evidence/entry-point-0048a740.md
0x00409EC0	winmain_message_pump	startup_platform	win32_stdcall	HINSTANCE,HINSTANCE,LPSTR,int	32,32,32,32	16	16	none	EAX=msg.wParam/process exit code	consumed_by_CRT_exit	confirmed	evidence/winmain-00409ec0.md
0x0040A0D0	main_window_procedure	platform_messages	win32_callback_stdcall	HWND,UINT,WPARAM,LPARAM	32,32,32,32	16	16	none	EAX=LRESULT	consumed_by_Windows	confirmed	evidence/wndproc-0040a0d0.md
0x0040A570	single_frame_dispatch	frame_coordinator	internal_zero_stack_argument			0	0	none	no_stable_return_contract	WinMain_does_not_read	confirmed-caller-policy	evidence/main-frame-0040a570.md
0x00406E30	high_priority_mode_dispatch	mode_render	internal_zero_stack_argument			0	0	none	path-dependent_incidental_or_tail-result	main_frame_does_not_read	confirmed-caller-policy	evidence/high-priority-mode-00406e30.md
0x0040AB50	display_deactivate_restore	platform_lifecycle	internal_cdecl	active_or_restore_selector	32	4	0	none	EAX=0_on_all_returns	all_four_call_sites_ignore	confirmed	evidence/presentation-lifecycle.md
0x0040CDD0	world_music_state_coordinator	audio	internal_zero_stack_argument			0	0	none	AL=1_upper_EAX_not_contract	main_frame_does_not_read	confirmed	evidence/audio-frame-0040cdd0.md
0x0040CF10	miles_object_maintenance	audio	internal_zero_stack_argument			0	0	none	AL=1_upper_EAX_not_contract	all_eleven_direct_call_sites_ignore	confirmed	evidence/presentation-lifecycle.md
0x00402F80	world_player_control	world_input	internal_zero_stack_argument			0	0	none	no_unified_return_contract	main_frame_does_not_read	confirmed-caller-policy	evidence/world-player-control-00402f80.md
0x00411FA0	pause_overlay_present	pause_render	internal_zero_stack_argument			0	0	none	EAX=final_DirectDraw_Blt_HRESULT	WinMain_does_not_read	confirmed	evidence/presentation-lifecycle.md
0x00427300	world_mouse_interaction	world_input_story	internal_zero_stack_argument			0	0	none	no_unified_return_contract	main_frame_does_not_read	confirmed-caller-policy	evidence/world-interaction-00427300.md
0x00427920	story_scene_vm	story_vm	internal_cdecl	story_execution_state_pointer	32	4	0	none	EAX_in_{0,1}	main_frame_does_not_read	confirmed-top-level-contract	story-vm-entry.md
0x00439FD0	special_mode_frame_driver	menu_modes	internal_zero_stack_argument			0	0	none	no_reliable_unified_return_contract	main_frame_does_not_read	confirmed-caller-policy	evidence/special-menu-modes-00439fd0.md
0x0044EA60	shop_frame_driver	shop	internal_zero_stack_argument			0	0	none	no_reliable_unified_return_contract	main_frame_does_not_read	confirmed-caller-policy	evidence/shop-mode-0044ea60.md
0x00437AE0	display_restore_blt_flip_loop	platform_graphics	internal_thiscall	unused_HWND_stack_slot	32	4	4	ECX=display_wrapper_object	EAX=1_on_return	sole_caller_does_not_read	confirmed-unused-argument-and-cleanup	evidence/presentation-lifecycle.md
0x00437DF0	display_surface_selector	platform_graphics	internal_thiscall	surface_selector	32	4	4	ECX=display_wrapper_object	EAX=selected_surface_pointer_or_0	all_27_direct_call_sites_consume	confirmed	evidence/presentation-lifecycle.md
0x004399E0	common_lzo_style_decompressor	resource_decompression	internal_cdecl_with_extra_unread_push	source,source_size,destination,actual_output_size_pointer	32,32,32,32	20	0	none	EAX_in_{0,-4,-8}	all_four_direct_call_sites_do_not_branch_on_EAX	confirmed-extra-fifth-zero-unread	evidence/common-decompressor-004399e0.md
0x004321E0	action_record_update	action_runtime	internal_cdecl	action_record_pointer	32	4	0	none	EAX_in_{0,1}	118_of_161_direct_sites_consume_in_mechanical_window;exact_sites_in_specialized_matrix	confirmed-function-contract	evidence/action-subrecord-004321e0.md
0x00451B10	battle_instance_setup	battle_setup	internal_cdecl	battle_number_slot	low16_logic_in_32bit_stack_slot	4	0	none	no_reliable_unified_return_contract	all_three_direct_call_sites_ignore	confirmed-caller-policy	evidence/battle-setup-00451b10.md
0x00453200	battle_frame_and_present_core	battle_render	internal_zero_stack_argument			0	0	none	EAX_in_{0,1,2,3}	mixed_internal_consumption;opcode_1_path_propagates	confirmed-numeric-contract-business-names-pending	battle-entry.md
0x00469D20	battle_command_frame_entry	battle_vm	internal_zero_stack_argument			0	0	none	EAX_in_{0,1,2,3}	main_frame_immediately_consumes	confirmed-numeric-contract-business-names-pending	battle-entry.md
0x00484950	bink_video_frame_present	video_render	internal_zero_stack_argument			0	0	none	no_logical_return_contract	WinMain_does_not_read	confirmed-caller-policy	evidence/presentation-lifecycle.md
0x00409600	save_slot_preview_loader	save	internal_cdecl	preview_record_pointer,save_slot_number	32,32	8	0	none	EAX=0_on_all_normal_returns	all_21_direct_call_sites_ignore;success_or_missing_is_record_status_side_effect	confirmed-side-effect-status-contract	evidence/save-entry-abi.md
0x004070A0	save_menu_read_write_aggregate	save	internal_zero_stack_argument			0	0	none	no_stable_return_contract;common_exit_leaves_cleanup_incidental_EAX	sole_caller_overwrites_without_observation	confirmed-caller-policy	evidence/save-entry-abi.md
0x004380B0	file_object_open	resource_file	internal_thiscall	file_name,creation_disposition,desired_access	32,32,32	12	12	ECX=file_object	EAX_in_{0,1}	33_of_35_direct_sites_consume;0x004240EE_and_0x00426BB2_ignore	confirmed	evidence/resource-entry-abi.md
0x004315D0	tsw_runtime_frame_lookup	resource_tsw	internal_cdecl	resource_id,variant_index	low16_logic_in_32bit_slot,low16_logic_in_32bit_slot	8	0	none	EAX=runtime_frame_record_pointer_or_0	all_144_direct_sites_eventually_consume;many_dereference_without_null_check	confirmed-low16-contract	evidence/resource-entry-abi.md
0x00432A50	act_selected_stream_lookup	resource_act	internal_cdecl	action_id,variant_index	32,32	8	0	none	EAX=selected_command_stream_pointer_or_0	sole_direct_caller_stores_and_checks_nonzero	confirmed	evidence/resource-entry-abi.md
0x004050E0	frame_input_normalizer	input	internal_zero_stack_argument			0	0	none	no_stable_return_contract	sole_main_frame_caller_overwrites_without_observation	confirmed-caller-policy	evidence/input-entry-abi.md
0x00436FB0	directinput5_initialize	input_platform	internal_thiscall	HINSTANCE,HWND	32,32	8	8	ECX=input_wrapper	EAX_in_{0,1};zero_includes_success_and_two_late_failure_paths	sole_caller_treats_nonzero_as_failure	confirmed-nonuniform-failure-contract	evidence/input-entry-abi.md
0x004372B0	directinput_keyboard_state_read	input_platform	internal_thiscall			0	0	ECX=input_wrapper	EAX=1_after_ignoring_device_HRESULT	both_direct_callers_ignore	confirmed	evidence/input-entry-abi.md
0x004120B0	world_update_render_present	world_render	internal_zero_stack_argument			0	0	none	no_stable_return_contract	sole_main_frame_caller_overwrites_without_observation	confirmed-caller-policy	evidence/map-entry-abi.md
0x00425BE0	lmf_map_load	map	internal_cdecl	map_number,map_runtime_state_pointer	zero_extended_low16_source_in_32bit_slot,32	8	0	none	EAX_in_{0,1}	sole_direct_caller_branches_on_zero	confirmed-with-failure-cleanup-bug	evidence/map-entry-abi.md
0x00426840	cm_cache_get_or_build	map_cache	internal_cdecl_with_forwarded_unread_fourth_slot	map_number,lmf_source_offset,map_span,forwarded_scratch_pointer	32,32,32,32_no_observed_downstream_effect	16	0	none	EAX=mapped_cm_view_pointer_or_0	sole_caller_stores_to_map_state_plus_0x20_without_null_branch	confirmed-extra-forwarded-slot	evidence/map-entry-abi.md
0x004859B0	miles_snd_initialize	audio_platform	internal_thiscall	asset_base_path_pointer	32	4	4	ECX=audio_manager_object	AL_in_{0,1};upper_EAX_not_contract;sample_handle_allocation_failure_returns_1	sole_direct_caller_ignores_and_continues_with_driver_handle	confirmed-nonuniform-failure-contract	evidence/audio-video-entry-abi.md
0x004862B0	snd_archive_open_and_index	audio_resource	internal_thiscall	asset_base_path_pointer	32	4	4	ECX=audio_file_manager_object	AL_in_{0,1};upper_EAX_not_contract	sole_direct_caller_tests_AL	confirmed	evidence/audio-video-entry-abi.md
0x00486490	snd_sample_buffer_lookup	audio_resource	internal_thiscall	one_based_sound_id	32_no_range_check	4	4	ECX=audio_file_manager_object	EAX=allocated_sample_buffer_pointer_or_0	sole_direct_caller_tests_and_consumes_pointer	confirmed-one-based-contract	evidence/audio-video-entry-abi.md
0x00485CE0	miles_sample_play_submit	audio_playback	internal_thiscall	optional_existing_buffer,one_based_sound_id,volume_argument,pan_argument,loop_count,named_sample_aux_argument	32,32,32,32,32,32	24	24	ECX=audio_manager_object	EAX=0_on_all_returns	one_of_four_direct_sites_tail_propagates_constant_zero;three_ignore_or_overwrite	confirmed-constant-zero-return	evidence/audio-video-entry-abi.md
0x00484550	bink_sound_and_surface_backend_config	video_platform	internal_cdecl	directdraw_surface_pointer,backend_selector,audio_driver_argument	32,low8_logic_in_32bit_slot,32	12	0	none	EAX=BinkDDSurfaceType_result_and_same_value_stored_to_0x0053D06C	sole_direct_caller_ignores_return_and_uses_global_side_effect	confirmed-low8-and-global-side-effect-contract	evidence/audio-video-entry-abi.md
0x004846F0	bink_wait_query	video_decode	internal_thiscall			0	0	ECX=bink_video_object	EAX_in_{0,1};nonzero_BinkWait_normalized_to_1	sole_direct_caller_compares_AL_with_1_and_skips_frame_when_equal	confirmed	evidence/audio-video-entry-abi.md
