file	record_kind	logical_index_or_field	file_offset_hex	size_bytes	value_hex_or_hash	value_text_or_integer	assembly_use
Env.dat	environment_field	marked_layout_marker	00000000	4	FFFFFFFF		0xFFFFFFFF selects marked layout
Env.dat	environment_field	sixteen_global_bytes	00000004	16	C8D0CBCD391C9D01CF36131E223BC9D1		copied to/from sixteen byte globals
Env.dat	environment_field	integer_parameter	00000014	4	64000000		32-bit caller parameter
Env.dat	environment_field	six_option_bytes	00000018	6	06063C00020A		six byte-sized caller parameters
Env.dat	environment_field	preserved_or_migration_area	0000001E	16	00F8E0071F0000000000000000000000		zeroed only during unmarked-layout migration
Env.dat	environment_field	string_1	0000002E	14	453A5C47616D655C737764335C00	E:\Game\swd3\	first NUL-terminated string
Env.dat	environment_field	string_2	0000003C	1	00		second NUL-terminated string
Env.dat	environment_field	trailing_mode	0000003D	1	02	2	read by sub_423FB0 into byte_4C97F4
Env.dat	environment_field	cache_session_marker	0000003E	1	01	1	written active by sub_4259B0, written clean by sub_4258E0, nonzero invalidates CM cache in sub_425570
Fame.dat	fame_u16_slot	0	00000000	2	0000	0	outside sub_409CE0/sub_409DD0 id loop
Fame.dat	fame_u16_slot	1	00000002	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	2	00000004	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	3	00000006	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	4	00000008	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	5	0000000A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	6	0000000C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	7	0000000E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	8	00000010	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	9	00000012	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	10	00000014	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	11	00000016	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	12	00000018	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	13	0000001A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	14	0000001C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	15	0000001E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	16	00000020	2	0000	0	fame id 1..500 raw u16 value
