call_address	caller	six_push_addresses_oldest_to_newest	destination_operand	x_operand	y_operand	string_operand	color_operand	style_operand	static_style_value	selected_style	foreground_row_delta	intervening_call_count
0x00408DE4	sub_408D70	0x00408DDD,0x00408DDF,0x00408DE0,0x00408DE1,0x00408DE2,0x00408DE3	eax	ebx	ebp	edx	edi	1	0x1	0x01	0	0
0x00408E35	sub_408D70	0x00408E26,0x00408E28,0x00408E29,0x00408E2D,0x00408E2E,0x00408E2F	edx	ecx	ebp	eax	edi	1	0x1	0x01	0	0
0x00408FC3	sub_408E70	0x00408FB0,0x00408FB5,0x00408FB6,0x00408FB7,0x00408FB8,0x00408FBD	ecx	0C8h	esi	eax	edx	4	0x4	0x04	0	0
0x0040908C	sub_408E70	0x00409070,0x00409072,0x00409073,0x0040907A,0x00409085,0x00409086	edx	ecx	eax	edx	ecx	1	0x1	0x01	0	0
0x00409129	sub_408E70	0x004090FD,0x004090FE,0x00409103,0x00409104,0x00409127,0x00409128	eax	edx	offset ExistingFileName	edi	offset ExistingFileName	edx		runtime	runtime	1
0x0040917C	sub_408E70	0x0040915B,0x0040915C,0x0040915D,0x0040915E,0x00409175,0x00409176	ecx	eax	eax	edi	eax	ecx		runtime	runtime	1
0x004091BF	sub_408E70	0x004091A5,0x004091A7,0x004091AE,0x004091B3,0x004091B4,0x004091B9	ecx	1FCh	eax	offset ExistingFileName	edx	4	0x4	0x04	0	0
0x0040924F	sub_408E70	0x0040923E,0x00409240,0x00409241,0x00409246,0x00409247,0x00409249	edx	14h	ebp	offset ExistingFileName	ecx	4	0x4	0x04	0	0
0x004092F9	sub_408E70	0x004092E5,0x004092E7,0x004092E8,0x004092ED,0x004092EE,0x004092F3	ecx	190h	edi	offset unk_49FA60	ebx	8	0x8	0x08	0	0
0x00409343	sub_408E70	0x00409334,0x00409336,0x00409337,0x0040933C,0x0040933D,0x00409342	edx	190h	esi	offset asc_49FA54	ebx	8	0x8	0x08	0	0
0x004117B7	sub_411700	0x00411799,0x004117AE,0x004117AF,0x004117B4,0x004117B5,0x004117B6	edx	ebx	ebp	offset CmdLine	eax	15h	0x15	0x01	0	1
0x00411A88	sub_4118B0	0x00411A56,0x00411A68,0x00411A75,0x00411A81,0x00411A86,0x00411A87	eax	edx	0D3h	offset CmdLine	eax	15h	0x15	0x01	0	1
0x00411ADC	sub_4118B0	0x00411AA9,0x00411ABB,0x00411AC9,0x00411AD0,0x00411AD5,0x00411AD6	edx	ecx	10Fh	offset CmdLine	eax	15h	0x15	0x01	0	1
0x00411BD9	sub_4118B0	0x00411BA9,0x00411BB8,0x00411BC6,0x00411BCD,0x00411BD2,0x00411BD3	edx	ecx	0E7h	offset CmdLine	eax	15h	0x15	0x01	0	1
0x00412017	sub_411FA0	0x00411FFA,0x00412009,0x0041200F,0x00412010,0x00412015,0x00412016	eax	edi	0E5h	esi	eax	19h	0x19	0x01	0	1
0x00413C85	sub_413910	0x00413C4D,0x00413C65,0x00413C69,0x00413C7D,0x00413C7E,0x00413C7F	eax	edx	ecx	edx	ecx	4	0x4	0x04	0	0
0x0041545E	sub_4153D0	0x0041543E,0x0041543F,0x00415440,0x00415441,0x00415457,0x00415458	edx	ecx	eax	edi	eax	ecx		runtime	runtime	1
