call_address	caller	target	count_operand	physical_scope	argument_contract	return_contract
0x004147D6	sub_4146F0	sub_420490	0x4B000	full 640x480 logical frame (307200 u16 pixels)	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x0041564A	sub_4154A0	sub_420490	0x4B000	full 640x480 logical frame (307200 u16 pixels)	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x00416723	sub_416590	sub_420490	1	single u16 pixel	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x004169CA	sub_4167B0	sub_420490	1	single u16 pixel	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x004169E1	sub_4167B0	sub_420490	1	single u16 pixel	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x004169F7	sub_4167B0	sub_420490	1	single u16 pixel	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x00416A1B	sub_4167B0	sub_420490	1	single u16 pixel	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x00416A36	sub_4167B0	sub_420490	1	single u16 pixel	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x00416A4E	sub_4167B0	sub_420490	1	single u16 pixel	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x00416A60	sub_4167B0	sub_420490	1	single u16 pixel	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x00416A72	sub_4167B0	sub_420490	1	single u16 pixel	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x00416A81	sub_4167B0	sub_420490	1	single u16 pixel	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
0x004346F7	sub_4344E0	sub_4207E0	1	single u16 pixel	source,destination,count; destination is overwritten	direct cdecl call; caller does not branch on a return value
0x00434942	sub_434790	sub_4207E0	1	single u16 pixel	source,destination,count; destination is overwritten	direct cdecl call; caller does not branch on a return value
0x00434A29	sub_434790	sub_4207E0	1	single u16 pixel	source,destination,count; destination is overwritten	direct cdecl call; caller does not branch on a return value
0x00434B79	sub_434790	sub_4207E0	1	single u16 pixel	source,destination,count; destination is overwritten	direct cdecl call; caller does not branch on a return value
0x00434BA8	sub_434790	sub_4207E0	1	single u16 pixel	source,destination,count; destination is overwritten	direct cdecl call; caller does not branch on a return value
0x00434C1E	sub_434790	sub_4207E0	1	single u16 pixel	source,destination,count; destination is overwritten	direct cdecl call; caller does not branch on a return value
0x00434C53	sub_434790	sub_4207E0	1	single u16 pixel	source,destination,count; destination is overwritten	direct cdecl call; caller does not branch on a return value
0x0043A81E	sub_43A610	sub_420490	0x4B000	full 640x480 logical frame (307200 u16 pixels)	buffer,count,red_delta,green_delta,blue_delta	direct cdecl call; caller does not branch on a return value
