format	red_mask	green_mask	blue_mask	case	input_or_source	second_operand	output	rule
R7C00_G03E0_B001F	0x7C00	0x03E0	0x001F	offset_plus_3	0x1154	delta=(3,3,3)	0x1DB7	sub_420490 normal-domain signed addition
R7C00_G03E0_B001F	0x7C00	0x03E0	0x001F	offset_minus_7	0x1154	delta=(-7,-7,-7)	0x006D	red underflows to zero; green/blue retain exact field subtraction
R7C00_G03E0_B001F	0x7C00	0x03E0	0x001F	offset_mixed_saturation	0x783F	delta=(5,-5,1)	0x7C1F	positive overflow chooses channel mask; negative underflow chooses zero
R7C00_G03E0_B001F	0x7C00	0x03E0	0x001F	combine_below_32	0x14EB	destination=0x0DB1	0x229C	sub_4207E0 retains each channel scalar sum below 32
R7C00_G03E0_B001F	0x7C00	0x03E0	0x001F	combine_sum_32	0x50FF	destination=0x3321	0x0000	all three sums are 32 and therefore index the zero-filled table half
R7C00_G03E0_B001F	0x7C00	0x03E0	0x001F	quarter_sum_grayscale	0x7DE0	no second operand	0x2D6B	sub_421FB0 uses (31+15+0)>>2 = 11, not division by three
RF800_G07E0_B003F_narrow_B003E	0xF800	0x07E0	0x003E	offset_plus_3	0x22A8	delta=(3,3,3)	0x3B6E	sub_420490 normal-domain signed addition
RF800_G07E0_B003F_narrow_B003E	0xF800	0x07E0	0x003E	offset_minus_7	0x22A8	delta=(-7,-7,-7)	0x00FA	red underflows to zero; green/blue retain exact field subtraction
RF800_G07E0_B003F_narrow_B003E	0xF800	0x07E0	0x003E	offset_mixed_saturation	0xF07E	delta=(5,-5,1)	0xF83E	positive overflow chooses channel mask; negative underflow chooses zero
RF800_G07E0_B003F_narrow_B003E	0xF800	0x07E0	0x003E	combine_below_32	0x29D6	destination=0x1B62	0x4538	sub_4207E0 retains each channel scalar sum below 32
RF800_G07E0_B003F_narrow_B003E	0xF800	0x07E0	0x003E	combine_sum_32	0xA1FE	destination=0x6642	0x0000	all three sums are 32 and therefore index the zero-filled table half
RF800_G07E0_B003F_narrow_B003E	0xF800	0x07E0	0x003E	quarter_sum_grayscale	0xFBC0	no second operand	0x5AD6	sub_421FB0 uses (31+15+0)>>2 = 11, not division by three
RF800_G07E0_B001F_narrow_G07C0	0xF800	0x07C0	0x001F	offset_plus_3	0x2294	delta=(3,3,3)	0x3B57	sub_420490 normal-domain signed addition
RF800_G07E0_B001F_narrow_G07C0	0xF800	0x07C0	0x001F	offset_minus_7	0x2294	delta=(-7,-7,-7)	0x00CD	red underflows to zero; green/blue retain exact field subtraction
RF800_G07E0_B001F_narrow_G07C0	0xF800	0x07C0	0x001F	offset_mixed_saturation	0xF05F	delta=(5,-5,1)	0xF81F	positive overflow chooses channel mask; negative underflow chooses zero
RF800_G07E0_B001F_narrow_G07C0	0xF800	0x07C0	0x001F	combine_below_32	0x29CB	destination=0x1B51	0x451C	sub_4207E0 retains each channel scalar sum below 32
RF800_G07E0_B001F_narrow_G07C0	0xF800	0x07C0	0x001F	combine_sum_32	0xA1DF	destination=0x6641	0x0000	all three sums are 32 and therefore index the zero-filled table half
RF800_G07E0_B001F_narrow_G07C0	0xF800	0x07C0	0x001F	quarter_sum_grayscale	0xFBC0	no second operand	0x5ACB	sub_421FB0 uses (31+15+0)>>2 = 11, not division by three
RFC00_G03E0_B001F_narrow_R_F800	0xF800	0x03E0	0x001F	offset_plus_3	0x2154	delta=(3,3,3)	0x39B7	sub_420490 normal-domain signed addition
RFC00_G03E0_B001F_narrow_R_F800	0xF800	0x03E0	0x001F	offset_minus_7	0x2154	delta=(-7,-7,-7)	0x006D	red underflows to zero; green/blue retain exact field subtraction
RFC00_G03E0_B001F_narrow_R_F800	0xF800	0x03E0	0x001F	offset_mixed_saturation	0xF03F	delta=(5,-5,1)	0xF81F	positive overflow chooses channel mask; negative underflow chooses zero
RFC00_G03E0_B001F_narrow_R_F800	0xF800	0x03E0	0x001F	combine_below_32	0x28EB	destination=0x19B1	0x429C	sub_4207E0 retains each channel scalar sum below 32
RFC00_G03E0_B001F_narrow_R_F800	0xF800	0x03E0	0x001F	combine_sum_32	0xA0FF	destination=0x6321	0x0000	all three sums are 32 and therefore index the zero-filled table half
RFC00_G03E0_B001F_narrow_R_F800	0xF800	0x03E0	0x001F	quarter_sum_grayscale	0xF9E0	no second operand	0x596B	sub_421FB0 uses (31+15+0)>>2 = 11, not division by three
