address	ida_name	export_status	asm_body_status	proc_name	ida_prototype_hint_navigation_only	positive_stack_argument_hint_count	maximum_positive_stack_offset_hex	argument_hints_navigation_only	retn_exit_count_primary_body	retn_pop_values_hex	assembly_cleanup_class	function_chunk_count	direct_internal_callsite_count	eax_consumed_before_clobber_heuristic	eax_overwritten_or_clobbered_heuristic	eax_unresolved_heuristic	review_status
0x00401010	unknown_libname_1	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401050	unknown_libname_3	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401090	unknown_libname_5	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x004010D0	unknown_libname_7	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401110	unknown_libname_9	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401150	unknown_libname_11	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401190	sub_401190	decompile	expanded_proc_body	sub_401190	int sub_401190()	0			1	0x0	plain_retn_caller_or_register_abi	0	1	0	0	1	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x004011C0	unknown_libname_13	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x004011D0	sub_4011D0	decompile	expanded_proc_body	sub_4011D0	int sub_4011D0()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x004011E0	unknown_libname_14	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401200	unknown_libname_15	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401210	sub_401210	decompile	expanded_proc_body	sub_401210	int sub_401210()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00401220	unknown_libname_16	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401240	unknown_libname_17	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401250	sub_401250	decompile	expanded_proc_body	sub_401250	int sub_401250()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00401260	unknown_libname_18	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401280	unknown_libname_19	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401290	sub_401290	decompile	expanded_proc_body	sub_401290	int sub_401290()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x004012A0	unknown_libname_20	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x004012C0	unknown_libname_21	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x004012D0	sub_4012D0	decompile	expanded_proc_body	sub_4012D0	int sub_4012D0()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x004012E0	unknown_libname_22	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401300	unknown_libname_23	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401310	sub_401310	decompile	expanded_proc_body	sub_401310	int sub_401310()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00401320	unknown_libname_24	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401340	unknown_libname_25	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401350	sub_401350	decompile	expanded_proc_body	sub_401350	int sub_401350()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00401360	unknown_libname_26	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401380	unknown_libname_27	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401390	sub_401390	decompile	expanded_proc_body	sub_401390	int sub_401390()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x004013A0	unknown_libname_28	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x004013C0	unknown_libname_29	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x004013D0	sub_4013D0	decompile	expanded_proc_body	sub_4013D0	int sub_4013D0()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x004013E0	unknown_libname_30	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401400	unknown_libname_31	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401410	sub_401410	decompile	expanded_proc_body	sub_401410	int sub_401410()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00401420	unknown_libname_32	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401440	unknown_libname_33	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401450	sub_401450	decompile	expanded_proc_body	sub_401450	int sub_401450()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00401460	unknown_libname_34	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401480	unknown_libname_35	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x00401490	j_unknown_libname_36	decompile	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x004014A0	unknown_libname_36	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x004014B0	sub_4014B0	decompile	expanded_proc_body	sub_4014B0	int sub_4014B0()	0			0		no_retn_in_primary_body_chunks_present	1	0	0	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x004014C0	unknown_libname_37	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x004014E0	unknown_libname_38	skipped	collapsed_or_no_proc_body			0			0		body_unavailable	0	0	0	0	0	manual_or_library_boundary_review_required
0x004014F0	sub_4014F0	decompile	expanded_proc_body	sub_4014F0	void *__cdecl sub_4014F0(__int16 *, unsigned int *, unsigned int, int, int)	5	0x14	arg_0@+0x4:dword ptr:refs=14;arg_4@+0x8:dword ptr:refs=7;arg_8@+0xC:dword ptr:refs=17;arg_C@+0x10:dword ptr:refs=22;arg_10@+0x14:dword ptr:refs=8	2	0x0	plain_retn_caller_or_register_abi	0	2	2	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x004019A0	sub_4019A0	decompile	expanded_proc_body	sub_4019A0	_WORD *__cdecl sub_4019A0(unsigned __int16 *, _DWORD *, _DWORD *, int *)	4	0x10	arg_0@+0x4:dword ptr:refs=1;arg_4@+0x8:dword ptr:refs=1;arg_8@+0xC:dword ptr:refs=1;arg_C@+0x10:dword ptr:refs=1	4	0x0	plain_retn_caller_or_register_abi	0	10	10	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00401B70	sub_401B70	decompile	expanded_proc_body	sub_401B70	int __cdecl sub_401B70(unsigned __int16 *, _WORD *, _WORD *, _WORD *)	4	0x10	arg_0@+0x4:dword ptr:refs=6;arg_4@+0x8:dword ptr:refs=1;arg_8@+0xC:dword ptr:refs=1;arg_C@+0x10:dword ptr:refs=1	3	0x0	plain_retn_caller_or_register_abi	0	3	0	2	1	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00401C70	sub_401C70	decompile	expanded_proc_body	sub_401C70	int __cdecl sub_401C70(unsigned __int16 **)	1	0x4	arg_0@+0x4:dword ptr:refs=3	2	0x0	plain_retn_caller_or_register_abi	0	3	0	3	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00401E50	sub_401E50	decompile	expanded_proc_body	sub_401E50	int __cdecl sub_401E50(_DWORD *, size_t *)	2	0x8	arg_0@+0x4:dword ptr:refs=3;arg_4@+0x8:dword ptr:refs=1	1	0x0	plain_retn_caller_or_register_abi	0	1	0	1	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00402030	sub_402030	decompile	expanded_proc_body	sub_402030	int sub_402030()	0			1	0x0	plain_retn_caller_or_register_abi	0	1	0	1	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x004020C0	sub_4020C0	decompile	expanded_proc_body	sub_4020C0	bool sub_4020C0()	0			1	0x0	plain_retn_caller_or_register_abi	0	1	0	1	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00402120	sub_402120	decompile	expanded_proc_body	sub_402120	_DWORD *sub_402120()	0			1	0x0	plain_retn_caller_or_register_abi	0	4	4	0	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x004021A0	sub_4021A0	decompile	expanded_proc_body	sub_4021A0	int __cdecl sub_4021A0(int)	1	0x4	arg_0@+0x4:dword ptr:refs=1	1	0x0	plain_retn_caller_or_register_abi	0	2	0	1	1	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x004021D0	sub_4021D0	decompile	expanded_proc_body	sub_4021D0	_DWORD *__thiscall sub_4021D0(_DWORD *this)	0			1	0x0	plain_retn_caller_or_register_abi	0	4	0	4	0	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
0x00402200	sub_402200	decompile	expanded_proc_body	sub_402200	int __thiscall sub_402200(_DWORD *this)	0			1	0x0	plain_retn_caller_or_register_abi	0	6	0	4	2	assembly_cleanup_extracted_arguments_and_eax_use_need_manual_review
