metric	value
export_manifest_unique_addresses	1486
assembly_proc_markers	1215
manifest_and_proc_intersection	1191
assembly_proc_only_addresses	24
manifest_only_addresses	295
manifest_only_skipped_library_addresses	284
manifest_only_exported_alias_thin_or_null_addresses	11
union_abi_candidate_addresses	1510
expanded_proc_bodies	1215
union_without_proc_body	295
expanded_with_function_chunks	63
expanded_without_retn_in_primary_body	44
expanded_plain_retn_only	893
expanded_callee_pop_single_value	278
expanded_mixed_retn_pop_values	0
direct_internal_calls_to_expanded_bodies	7159
retn_pop_pattern_none	44
retn_pop_pattern_0x0	893
retn_pop_pattern_0x4	139
retn_pop_pattern_0x8	80
retn_pop_pattern_0xC	15
retn_pop_pattern_0x10	20
retn_pop_pattern_0x14	6
retn_pop_pattern_0x18	15
retn_pop_pattern_0x1C	1
retn_pop_pattern_0x20	1
retn_pop_pattern_0x24	1
eax_use_heuristic_branch_before_observation	502
eax_use_heuristic_clobbered_by_later_call	1696
eax_use_heuristic_consumed_before_clobber	1949
eax_use_heuristic_not_observed_before_control_transfer	834
eax_use_heuristic_not_observed_in_12_instruction_window	8
eax_use_heuristic_overwritten_before_use	2170
