address	ida_name	export_status	exported_file	fallback_or_skip_reason	ida_called_by_count	ida_call_count
0x00401010	unknown_libname_1	skipped		library function	0	0
0x00401050	unknown_libname_3	skipped		library function	0	0
0x00401090	unknown_libname_5	skipped		library function	0	0
0x004010D0	unknown_libname_7	skipped		library function	0	0
0x00401110	unknown_libname_9	skipped		library function	0	0
0x00401150	unknown_libname_11	skipped		library function	0	0
0x00401190	sub_401190	decompile	decompile/401190.c		0	1
0x004011C0	unknown_libname_13	skipped		library function	0	0
0x004011D0	sub_4011D0	decompile	decompile/4011D0.c		0	1
0x004011E0	unknown_libname_14	skipped		library function	0	0
0x00401200	unknown_libname_15	skipped		library function	0	0
0x00401210	sub_401210	decompile	decompile/401210.c		0	1
0x00401220	unknown_libname_16	skipped		library function	0	0
0x00401240	unknown_libname_17	skipped		library function	0	0
0x00401250	sub_401250	decompile	decompile/401250.c		0	1
0x00401260	unknown_libname_18	skipped		library function	0	0
0x00401280	unknown_libname_19	skipped		library function	0	0
0x00401290	sub_401290	decompile	decompile/401290.c		0	1
0x004012A0	unknown_libname_20	skipped		library function	0	0
0x004012C0	unknown_libname_21	skipped		library function	0	0
0x004012D0	sub_4012D0	decompile	decompile/4012D0.c		0	1
0x004012E0	unknown_libname_22	skipped		library function	0	0
0x00401300	unknown_libname_23	skipped		library function	0	0
0x00401310	sub_401310	decompile	decompile/401310.c		0	1
0x00401320	unknown_libname_24	skipped		library function	0	0
0x00401340	unknown_libname_25	skipped		library function	0	0
0x00401350	sub_401350	decompile	decompile/401350.c		0	1
0x00401360	unknown_libname_26	skipped		library function	0	0
0x00401380	unknown_libname_27	skipped		library function	0	0
0x00401390	sub_401390	decompile	decompile/401390.c		0	1
0x004013A0	unknown_libname_28	skipped		library function	0	0
0x004013C0	unknown_libname_29	skipped		library function	0	0
0x004013D0	sub_4013D0	decompile	decompile/4013D0.c		0	1
0x004013E0	unknown_libname_30	skipped		library function	0	0
0x00401400	unknown_libname_31	skipped		library function	0	0
0x00401410	sub_401410	decompile	decompile/401410.c		0	1
0x00401420	unknown_libname_32	skipped		library function	0	0
0x00401440	unknown_libname_33	skipped		library function	0	0
0x00401450	sub_401450	decompile	decompile/401450.c		0	1
0x00401460	unknown_libname_34	skipped		library function	0	0
0x00401480	unknown_libname_35	skipped		library function	0	0
0x00401490	j_unknown_libname_36	decompile	decompile/401490.c		0	0
0x004014A0	unknown_libname_36	skipped		library function	0	0
0x004014B0	sub_4014B0	decompile	decompile/4014B0.c		0	1
0x004014C0	unknown_libname_37	skipped		library function	0	0
0x004014E0	unknown_libname_38	skipped		library function	0	0
0x004014F0	sub_4014F0	decompile	decompile/4014F0.c		1	2
0x004019A0	sub_4019A0	decompile	decompile/4019A0.c		4	1
0x00401B70	sub_401B70	decompile	decompile/401B70.c		3	1
0x00401C70	sub_401C70	decompile	decompile/401C70.c		3	4
0x00401E50	sub_401E50	decompile	decompile/401E50.c		1	3
0x00402030	sub_402030	decompile	decompile/402030.c		1	1
0x004020C0	sub_4020C0	decompile	decompile/4020C0.c		1	1
0x00402120	sub_402120	decompile	decompile/402120.c		2	1
0x004021A0	sub_4021A0	decompile	decompile/4021A0.c		1	0
0x004021D0	sub_4021D0	decompile	decompile/4021D0.c		4	1
0x00402200	sub_402200	decompile	decompile/402200.c		4	2
0x00402230	sub_402230	decompile	decompile/402230.c		4	5
0x00402390	sub_402390	decompile	decompile/402390.c		1	0
0x004023C0	sub_4023C0	decompile	decompile/4023C0.c		3	0
0x004023E0	sub_4023E0	decompile	decompile/4023E0.c		1	0
0x00402410	sub_402410	decompile	decompile/402410.c		2	1
0x00402450	sub_402450	decompile	decompile/402450.c		1	4
0x00402520	sub_402520	decompile	decompile/402520.c		1	1
0x00402560	sub_402560	decompile	decompile/402560.c		1	2
0x00402690	sub_402690	decompile	decompile/402690.c		1	6
0x00402940	sub_402940	decompile	decompile/402940.c		1	0
0x00402960	sub_402960	decompile	decompile/402960.c		1	0
0x00402980	sub_402980	decompile	decompile/402980.c		1	0
0x004029C0	sub_4029C0	decompile	decompile/4029C0.c		1	2
