address	size_bytes	semantic_name	coordinator	writers	readers	status
004CC2AC	4	frame_execution_gate	00409EC0	00402F80,00409EC0,0040A0D0,0040F890,00427920	00409EC0,0040A0D0,0040A570	confirmed-direct-xrefs
004A94AC	4	battle_request_value	0040A570	00402F80,0040A570,00427920	00402F80,0040A570	confirmed-direct-xrefs
004CAEB4	4	battle_active_gate	0040A570	00402F80,0040A570	00402F80,0040A570,0040AB50	confirmed-direct-xrefs
004B8740	4	special_mode_request_and_active_state	0040A570	00402F80,004070A0,00409540,0040A0D0,0040A570,004149B0,00424B90,00427920,00439FD0,0043E770,00441590,00443BD0,004441A0,004453F0,00446700,004490C0,0044A250,0044C160,0044E4A0,0044E9D0,0044EA60	00402F80,0040A570,004149B0,00439FD0,0043A610,0044EA60	confirmed-direct-xrefs
004B72A0	216	talk_and_story_execution_state	00427920	00402F80,004070A0,0040A570,0040F160,004120B0,00425B50,00427300,00427920,0042ED40,0043BFC0,00446700	00402F80,0040A570,0040AFF0,0040C130,004120B0,00412930,00413910,00413FE0,004149B0,00427300,00427920	confirmed-direct-symbol-xrefs-aliases-pending
004AB378	4	controlled_role_index	0040C130	0040C130	00402F80,00405430,00406960,004070A0,0040C0D0,0040D0C0,0040D200,0040DA60,0040E030,0040F6D0,004120B0,00413CA0,00413FE0,004163C0,00427300,00427920,0042DAF0,0042E280,0042E5A0,0042E790,0043BFC0,00446700,00448360,00485750	confirmed-direct-xrefs
004BABA8	55296	role_records_256_by_216	0040C130	0040C130,00425B50	00402F80,004120B0,00427300,00427920	stride-and-capacity-confirmed-primary-base-users-more-field-aliases-pending
004B7518	4	world_camera_and_player_x_component	004120B0	00402F80,004120B0,0042DAF0,0042E280,0042E5A0,0042E790	00402F80,004120B0,004149B0,00415B70,0042DAF0,0042E5A0	confirmed-world-context
004B7920	4	world_camera_and_player_y_component	004120B0	00402F80,004120B0,0042DAF0,0042E280,0042E5A0,0042E790	00402F80,004120B0,004149B0,00415B70,0042DAF0,0042E5A0	confirmed-world-context
004A9488	4	world_player_only_x_component	004120B0	00402F80,004120B0,0042DAF0,0042E280,0042E5A0,0042E790	00402F80,004120B0,0042DAF0,0042E5A0	confirmed-world-context
004A948C	4	world_player_only_y_component	004120B0	00402F80,004120B0,0042DAF0,0042E280,0042E5A0,0042E790	00402F80,004120B0,0042DAF0,0042E5A0	confirmed-world-context-00477400-biased-alias-does-not-touch-address
004A9490	16	party_item_sentinel_heads_4	0040E0B0/0040F410	0040E0B0,0040F410,00477400,00477BD0	004070A0,0040E0B0,0040F410,0040F890,00410730,00427920,00444E80,00451B10,0045D180,00467C50,00477BD0	confirmed-range-lifecycle-and-biased-one-based-alias
004AB2D0	4	world_movement_step	0040DD10	0040DD10	004120B0,00413FE0,00415B70	confirmed-direct-xrefs
004AB384	1024	global_state_bitset_8192	0040DC50/0040DC80/0040DCB0	00405500,004070A0,0040DC80,0040DCB0,0040E0B0	00405500,004070A0,0040DC50,00427920	confirmed-size-and-accessors-alias-load-store
004ACBD0	256	global_integer_variables_64_element0_money	00427920	00402F80,00405500,004070A0,0040E0B0,0040F890,00427920,00449D80,0044E4A0,00467710,0047F150	00402F80,00405500,004070A0,00410730,00412930,00427920,0043A610,0044E330,0044E4A0,0044EA60,00467710,00478B60,0047F150	confirmed-array-element0-money-alias-accesses
004B7A9C	4	process_lifecycle_flags	00409EC0	00402F80,004118B0,004154A0,00424EF0,00425BE0,00427920,004490C0,0044C160,00484730,00484920,00484950	00402F80,00409EC0,0040A0D0,0040A570,004118B0,004154A0,00424EF0,00425BE0,00427920,004490C0,0044C160,00484730,00484920,00484950	confirmed-known-bits-01-02-04-10-20
004BABA4	4	platform_or_async_transition_frame_suppression	00409EC0	00402F80,0040AB50,00424B90,00427920,0044C160	00409EC0,0040A570	confirmed-direct-xrefs
004B7CAC	4	display_active_and_restored_state	0040AB50	0040AB50,00424EF0	00409EC0,0040A0D0,0040A570	confirmed-direct-xrefs-alias-boundary-use-excluded
004ACBA0	4	directdraw_common_source_surface	00424EF0	00424EF0	004070A0,00408CF0,0040AB50,0040ED60,004118B0,00411FA0,004120B0,00424B90,004251B0,00427920,0043A610,0043BFC0,00446700,0044D920,0044EA60,004527E0,00453200,00453580,0045AF90,0045E7D0,00484950	confirmed-single-direct-writer-many-mode-consumers
004CACD8	4	optional_text_input_object_pointer	004490C0	00448EE0,004490C0	0040A0D0,004490C0	confirmed-business-xrefs-boundary-address-uses-excluded
004C8450	1664	miles_audio_manager_object	00424EF0	00424EF0,00485610,00485650,00485670,00485720,00485740,00485750	004010B0,0040CF10,00413CA0,00424EF0,00485610,00485650,00485670,00485720,00485740,00485750	confirmed-size-and-base-reference-entry-points-fields-pending
