call_address	owner	key_operand	instruction
0x00402FCA	sub_402F80	9Dh	call sub_4372D0
0x00402FDA	sub_402F80	36h	call sub_4372D0
0x00402FED	sub_402F80	0C7h	call sub_4372D0
0x00403000	sub_402F80	0CFh	call sub_4372D0
0x00403031	sub_402F80	58h	call sub_4372D0
0x00403089	sub_402F80	1Dh	call sub_4372D0
0x0040309C	sub_402F80	9Dh	call sub_4372D0
0x004030B0	sub_402F80	43h	call sub_4372D0
0x0040311F	sub_402F80	10h	call sub_4372D0
0x00403164	sub_402F80	1Fh	call sub_4372D0
0x004031BC	sub_402F80	26h	call sub_4372D0
0x00403218	sub_402F80	3Bh	call sub_4372D0
0x0040323C	sub_402F80	3Ch	call sub_4372D0
0x0040327B	sub_402F80	3Dh	call sub_4372D0
0x004032DE	sub_402F80	0Fh	call sub_4372D0
0x004032EE	sub_402F80	4Eh	call sub_4372D0
0x0040331E	sub_402F80	0Fh	call sub_4372D0
0x0040332E	sub_402F80	4Ah	call sub_4372D0
0x00403359	sub_402F80	3Eh	call sub_4372D0
0x004033AF	sub_402F80	41h	call sub_4372D0
0x004033DC	sub_402F80	40h	call sub_4372D0
0x004034CD	sub_402F80	eax	call sub_4372D0
0x0040510D	sub_4050E0	ecx	call sub_4372D0
0x0040512C	sub_4050E0	edx	call sub_4372D0
0x0040514A	sub_4050E0	eax	call sub_4372D0
0x00405169	sub_4050E0	ecx	call sub_4372D0
0x00405188	sub_4050E0	edx	call sub_4372D0
0x004051A6	sub_4050E0	eax	call sub_4372D0
0x004051C5	sub_4050E0	ecx	call sub_4372D0
0x004051E4	sub_4050E0	edx	call sub_4372D0
0x00405202	sub_4050E0	eax	call sub_4372D0
0x00405221	sub_4050E0	ecx	call sub_4372D0
0x00405240	sub_4050E0	edx	call sub_4372D0
0x0040525E	sub_4050E0	eax	call sub_4372D0
0x0040527D	sub_4050E0	ecx	call sub_4372D0
0x0040529C	sub_4050E0	edx	call sub_4372D0
0x004052BA	sub_4050E0	eax	call sub_4372D0
0x004052D9	sub_4050E0	ecx	call sub_4372D0
0x00406ED6	sub_406EB0	3Bh	call sub_4372D0
0x00406F06	sub_406EB0	3Ch	call sub_4372D0
0x00406F30	sub_406EB0	1	call sub_4372D0
0x00406F41	sub_406EB0	1Dh	call sub_4372D0
0x00406F54	sub_406EB0	9Dh	call sub_4372D0
0x00411B3A	sub_4118B0	10h	call sub_4372D0
0x00412BBB	sub_412930	2Eh	call sub_4372D0
0x004149B7	sub_4149B0	2Eh	call sub_4372D0
0x004416E5	sub_441680	eax	call sub_4372D0
0x004443F4	sub_4442B0	eax	call sub_4372D0
0x004471D4	sub_447100	eax	call sub_4372D0
0x0044CDDC	sub_44C160	0Eh	call sub_4372D0
0x0045D90D	sub_45D8F0	1Dh	call sub_4372D0
0x0045D922	sub_45D8F0	9Dh	call sub_4372D0
0x0045D936	sub_45D8F0	3Dh	call sub_4372D0
0x0045D94B	sub_45D8F0	3Bh	call sub_4372D0
0x0045D97A	sub_45D8F0	2Dh	call sub_4372D0
0x0045D9A3	sub_45D8F0	25h	call sub_4372D0
0x0045D9D9	sub_45D8F0	2Ch	call sub_4372D0
0x0045DA57	sub_45D8F0	20h	call sub_4372D0
0x0045DAAA	sub_45D8F0	21h	call sub_4372D0
0x0045DAFD	sub_45D8F0	2Fh	call sub_4372D0
0x0045DB3F	sub_45D8F0	43h	call sub_4372D0
0x0045DB70	sub_45D8F0	12h	call sub_4372D0
0x0045DB87	sub_45D8F0	2Eh	call sub_4372D0
0x0045DC6B	sub_45D8F0	3Fh	call sub_4372D0
0x0045DC8E	sub_45D8F0	3Ch	call sub_4372D0
0x0045DCEE	sub_45D8F0	11h	call sub_4372D0
0x0045DDD5	sub_45D8F0	23h	call sub_4372D0
0x0045DE43	sub_45D8F0	24h	call sub_4372D0
0x0045DEB1	sub_45D8F0	19h	call sub_4372D0
0x0045F2F5	sub_45F2A0	esi	call sub_4372D0
0x0045F348	sub_45F2A0	3	call sub_4372D0
0x0045F39A	sub_45F2A0	edi	call sub_4372D0
0x0045F3F5	sub_45F2A0	esi	call sub_4372D0
0x0045F448	sub_45F2A0	6	call sub_4372D0
0x0045F4A4	sub_45F2A0	7	call sub_4372D0
0x0045F4F6	sub_45F2A0	8	call sub_4372D0
0x0045F54D	sub_45F2A0	9	call sub_4372D0
