instruction_address	owner	symbol	record_index	field_offset	field_role	access	instruction
0x00403646	sub_402F80	dword_4B7CCC	1	0x0C	continuous_down_count	read	mov ecx, dword_4B7CCC
0x00403661	sub_402F80	dword_4B7CC0	1	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7CC0
0x0040367F	sub_402F80	dword_4B7D7C	12	0x0C	continuous_down_count	read	mov edi, dword_4B7D7C
0x00403687	sub_402F80	dword_4B7D70	12	0x00	rapid_press_multiplicity	read	mov esi, dword_4B7D70
0x00403890	sub_402F80	dword_4B7D7C	12	0x0C	continuous_down_count	read	mov edi, dword_4B7D7C
0x00403896	sub_402F80	dword_4B7D70	12	0x00	rapid_press_multiplicity	read	mov esi, dword_4B7D70
0x004038DB	sub_402F80	dword_4B7CE0	3	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7CE0
0x00403908	sub_402F80	dword_4B7CEC	3	0x0C	continuous_down_count	read	mov eax, dword_4B7CEC
0x00403947	sub_402F80	dword_4B7D00	5	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7D00
0x0040396D	sub_402F80	dword_4B7D0C	5	0x0C	continuous_down_count	read	mov eax, dword_4B7D0C
0x004039A6	sub_402F80	dword_4B7CF0	4	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7CF0
0x004039F8	sub_402F80	dword_4B7CFC	4	0x0C	continuous_down_count	read	mov eax, dword_4B7CFC
0x00403A2B	sub_402F80	dword_4B7D10	6	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7D10
0x00403A6F	sub_402F80	dword_4B7D1C	6	0x0C	continuous_down_count	read	mov eax, dword_4B7D1C
0x00405113	sub_4050E0	dword_4B7CB0	0	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7CB0
0x00405132	sub_4050E0	dword_4B7CC0	1	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7CC0
0x00405150	sub_4050E0	dword_4B7D70	12	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7D70
0x0040516F	sub_4050E0	dword_4B7CD0	2	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7CD0
0x0040518E	sub_4050E0	dword_4B7CE0	3	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7CE0
0x004051AC	sub_4050E0	dword_4B7CF0	4	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7CF0
0x004051CB	sub_4050E0	dword_4B7D00	5	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7D00
0x004051EA	sub_4050E0	dword_4B7D10	6	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7D10
0x00405208	sub_4050E0	dword_4B7D40	9	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7D40
0x00405227	sub_4050E0	dword_4B7D50	10	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7D50
0x00405246	sub_4050E0	dword_4B7D30	8	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7D30
0x00405264	sub_4050E0	dword_4B7D20	7	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7D20
0x004052A2	sub_4050E0	dword_4B7DC0	17	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7DC0
0x004052C0	sub_4050E0	dword_4B7DD0	18	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7DD0
0x004052EF	sub_4050E0	dword_4B7DA0	15	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7DA0
0x004052FF	sub_4050E0	dword_4B7D90	14	0x00	rapid_press_multiplicity	address_taken	push offset dword_4B7D90
0x00405324	sub_4050E0	dword_4B7DA0	15	0x00	rapid_press_multiplicity	write	mov dword_4B7DA0, edx
0x0040532F	sub_4050E0	dword_4B7DA4	15	0x04	release_timestamp	write	mov dword_4B7DA4, edx
0x00405335	sub_4050E0	dword_4B7DA8	15	0x08	rapid_press_chain_stage	write	mov dword_4B7DA8, edx
0x0040533B	sub_4050E0	dword_4B7DAC	15	0x0C	continuous_down_count	write	mov dword_4B7DAC, edx
0x00406D38	sub_406D30	dword_4B7CB0	0	0x00	rapid_press_multiplicity	address_taken	mov edi, offset dword_4B7CB0
0x00406EB0	sub_406EB0	dword_4B7D90	14	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7D90
0x00406EB9	sub_406EB0	dword_4B7D9C	14	0x0C	continuous_down_count	read	cmp dword_4B7D9C, 1
