stream_ordinal	map_index_ordinal	map_id	logical_context	context_index	container_header_offset_hex	payload_offset_hex	header_layout	compressed_size	original_destination_capacity	caller_written_size	actual_output_size	discarded_output_size	assembly_callsite	original_caller_policy	assembly_equivalent_return	lzo1x_safe_return	byte_exact_with_assembly	full_output_sha256	written_prefix_sha256	assembly_branch_hits
1	0	22	surface_grid	0	0x15221	0x15225	u32_compressed_before_payload,u32_post_payload_record_count	5223	43200	43200	43200	0	00426182	ignores_return_and_actual_output_size	0	0	1	5cb0f94a01d52cf7dbc02044f977faaf46048d89a66d7503682c329a00eb51bd	5cb0f94a01d52cf7dbc02044f977faaf46048d89a66d7503682c329a00eb51bd	end_marker:1;literal_run_short:6;match_10_to_1f_short:3;match_20_to_3f_extended:326;match_20_to_3f_short:630;match_40_to_ff:963;trailing_literal_0:1895;trailing_literal_1:18;trailing_literal_2:7;trailing_literal_3:1
2	0	22	cm_generation_chunk	0	0x96878	0x96A04	u32_compressed_in_8_byte_table_entry,sequential_payload	597552	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	3ca6f2496351f8bfae8532bd6d44b7951869f35a30037feb4795e314aae97e92	3ca6f2496351f8bfae8532bd6d44b7951869f35a30037feb4795e314aae97e92	end_marker:1;literal_run_extended:1235;literal_run_short:16610;match_10_to_1f_extended:65;match_10_to_1f_short:11387;match_20_to_3f_extended:259;match_20_to_3f_short:24096;match_40_to_ff:128961;trailing_literal_0:128198;trailing_literal_1:19321;trailing_literal_2:11538;trailing_literal_3:5710
3	0	22	cm_generation_chunk	1	0x96880	0x128834	u32_compressed_in_8_byte_table_entry,sequential_payload	630441	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	fdd5c5f24cfc1a49f36cde44994ebbb5510b8c11461a3eb8b54e1a287a935ec3	fdd5c5f24cfc1a49f36cde44994ebbb5510b8c11461a3eb8b54e1a287a935ec3	end_marker:1;literal_run_extended:1403;literal_run_short:20737;match_10_to_1f_extended:8;match_10_to_1f_short:7025;match_20_to_3f_extended:178;match_20_to_3f_short:21832;match_40_to_ff:133005;trailing_literal_0:122285;trailing_literal_1:19944;trailing_literal_2:13080;trailing_literal_3:6738
4	0	22	cm_generation_chunk	2	0x96888	0x1C26DD	u32_compressed_in_8_byte_table_entry,sequential_payload	671743	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	3af516cd3b7ec3299d50ead87622b0f6c3abc55bd677552e37ac42fee2869b32	3af516cd3b7ec3299d50ead87622b0f6c3abc55bd677552e37ac42fee2869b32	end_marker:1;literal_run_extended:1425;literal_run_short:23150;match_10_to_1f_extended:39;match_10_to_1f_short:12376;match_20_to_3f_extended:50;match_20_to_3f_short:21746;match_40_to_ff:130836;trailing_literal_0:119421;trailing_literal_1:22537;trailing_literal_2:15194;trailing_literal_3:7894
5	0	22	cm_generation_chunk	3	0x96890	0x2666DC	u32_compressed_in_8_byte_table_entry,sequential_payload	621469	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	445843402ac86202e99bd9464fb5441f47ccbe26fef27d75e60476757570d6c7	445843402ac86202e99bd9464fb5441f47ccbe26fef27d75e60476757570d6c7	end_marker:1;literal_run_extended:887;literal_run_short:18354;match_10_to_1f_extended:79;match_10_to_1f_short:13969;match_20_to_3f_extended:95;match_20_to_3f_short:22193;match_40_to_ff:136814;trailing_literal_0:132953;trailing_literal_1:20667;trailing_literal_2:13121;trailing_literal_3:6408
6	0	22	cm_generation_chunk	4	0x96898	0x2FE279	u32_compressed_in_8_byte_table_entry,sequential_payload	537506	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	ef3ea8208abe03bc27685660b348546e0439021757b97e98fa893f584964b979	ef3ea8208abe03bc27685660b348546e0439021757b97e98fa893f584964b979	end_marker:1;literal_run_extended:484;literal_run_short:11903;match_10_to_1f_extended:186;match_10_to_1f_short:17224;match_20_to_3f_extended:503;match_20_to_3f_short:34518;match_40_to_ff:109986;trailing_literal_0:128249;trailing_literal_1:18076;trailing_literal_2:11408;trailing_literal_3:4683
7	0	22	cm_generation_chunk	5	0x968A0	0x38161B	u32_compressed_in_8_byte_table_entry,sequential_payload	85697	1025768	123136	1024768	901632	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	08cae9ba1f8bc68f8a73749f755eb06c7991fa687c65d5d6109adcddcb3065c1	7e0405b036cb91ed0d5ea22c84530e92dec50ee2c82f64e65d19d237a54ec93c	end_marker:1;literal_run_extended:167;literal_run_short:2753;match_10_to_1f_extended:1;match_10_to_1f_short:1314;match_20_to_3f_extended:3;match_20_to_3f_short:3941;match_40_to_ff:15114;trailing_literal_0:15304;trailing_literal_1:2483;trailing_literal_2:1733;trailing_literal_3:852
8	1	10	surface_grid	0	0x3A0061	0x3A0065	u32_compressed_before_payload,u32_post_payload_record_count	3505	39560	39560	39560	0	00426182	ignores_return_and_actual_output_size	0	0	1	57a7b9b4eea98609fa2fc060637529d10bc22dec4ddf77afe9dd394022a84c42	57a7b9b4eea98609fa2fc060637529d10bc22dec4ddf77afe9dd394022a84c42	end_marker:1;literal_run_short:7;match_10_to_1f_extended:1;match_10_to_1f_short:1;match_20_to_3f_extended:310;match_20_to_3f_short:360;match_40_to_ff:557;trailing_literal_0:1222;trailing_literal_1:6
9	1	10	cm_generation_chunk	0	0x3BD4FE	0x3BD68A	u32_compressed_in_8_byte_table_entry,sequential_payload	842505	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	8b47cb0d6f066502e3860aeb24e077884168b8faf17e981f49fb988758574573	8b47cb0d6f066502e3860aeb24e077884168b8faf17e981f49fb988758574573	end_marker:1;literal_run_extended:4829;literal_run_short:34182;match_10_to_1f_extended:508;match_10_to_1f_short:17447;match_20_to_3f_extended:2;match_20_to_3f_short:22385;match_40_to_ff:95060;trailing_literal_0:92384;trailing_literal_1:20020;trailing_literal_2:14028;trailing_literal_3:8969
10	1	10	cm_generation_chunk	1	0x3BD506	0x48B193	u32_compressed_in_8_byte_table_entry,sequential_payload	641327	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	3c223b669cc3d06de9f25c66d5756f0a9ccf2e448b0fe8de227f832deeb11ab7	3c223b669cc3d06de9f25c66d5756f0a9ccf2e448b0fe8de227f832deeb11ab7	end_marker:1;literal_run_extended:1461;literal_run_short:19094;match_10_to_1f_extended:13;match_10_to_1f_short:12877;match_20_to_3f_extended:220;match_20_to_3f_short:22998;match_40_to_ff:132175;trailing_literal_0:124577;trailing_literal_1:21879;trailing_literal_2:14958;trailing_literal_3:6868
11	1	10	cm_generation_chunk	2	0x3BD50E	0x527AC2	u32_compressed_in_8_byte_table_entry,sequential_payload	595157	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	94e75b3ff86a698785182bc4e929ecd842971a93b3599aa2d943388cbcb7c321	94e75b3ff86a698785182bc4e929ecd842971a93b3599aa2d943388cbcb7c321	end_marker:1;literal_run_extended:998;literal_run_short:14971;match_10_to_1f_extended:65;match_10_to_1f_short:14086;match_20_to_3f_extended:245;match_20_to_3f_short:21761;match_40_to_ff:135849;trailing_literal_0:130050;trailing_literal_1:22441;trailing_literal_2:13249;trailing_literal_3:6265
12	1	10	cm_generation_chunk	3	0x3BD516	0x5B8F97	u32_compressed_in_8_byte_table_entry,sequential_payload	602927	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	96979119e074054edad1ce3b14f8feb34108b066544ba71a0702553260eebb7a	96979119e074054edad1ce3b14f8feb34108b066544ba71a0702553260eebb7a	end_marker:1;literal_run_extended:1386;literal_run_short:15973;match_10_to_1f_extended:42;match_10_to_1f_short:9825;match_20_to_3f_extended:145;match_20_to_3f_short:18795;match_40_to_ff:138408;trailing_literal_0:125996;trailing_literal_1:22244;trailing_literal_2:12611;trailing_literal_3:6363
13	1	10	cm_generation_chunk	4	0x3BD51E	0x64C2C6	u32_compressed_in_8_byte_table_entry,sequential_payload	534103	1025768	774656	1024768	250112	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	f7bd4e5d00343ae09fe4fb5fd3b93daf5f9e23ae1c0ed8e23fb1ed8536c2accf	761b362c75ae2c1fbbcaab801f5af889ba60a233e5d52e79df4a147f12c9f9c5	end_marker:1;literal_run_extended:1700;literal_run_short:17552;match_10_to_1f_extended:8;match_10_to_1f_short:10342;match_20_to_3f_extended:55;match_20_to_3f_short:16160;match_40_to_ff:99090;trailing_literal_0:89806;trailing_literal_1:18585;trailing_literal_2:11272;trailing_literal_3:5991
14	2	21	surface_grid	0	0x7057D1	0x7057D5	u32_compressed_before_payload,u32_post_payload_record_count	8507	74900	74900	74900	0	00426182	ignores_return_and_actual_output_size	0	0	1	f090b83c762b99c6c4b70dd7e19b63f88b9e8ed52fec3dc70645591fd5686999	f090b83c762b99c6c4b70dd7e19b63f88b9e8ed52fec3dc70645591fd5686999	end_marker:1;literal_run_short:11;match_10_to_1f_extended:1;match_10_to_1f_short:16;match_20_to_3f_extended:587;match_20_to_3f_short:872;match_40_to_ff:1663;trailing_literal_0:3082;trailing_literal_1:38;trailing_literal_2:13;trailing_literal_3:5
15	2	21	cm_generation_chunk	0	0x82D5BE	0x82D74A	u32_compressed_in_8_byte_table_entry,sequential_payload	583840	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	2bdd7f2060efe4ea6ba0c66e9b9a933b98331cc5f6ae9b3357eaac059b0f0c74	2bdd7f2060efe4ea6ba0c66e9b9a933b98331cc5f6ae9b3357eaac059b0f0c74	end_marker:1;literal_run_extended:1027;literal_run_short:14585;match_10_to_1f_extended:72;match_10_to_1f_short:7151;match_20_to_3f_extended:146;match_20_to_3f_short:30652;match_40_to_ff:131243;trailing_literal_0:131836;trailing_literal_1:19078;trailing_literal_2:13020;trailing_literal_3:5329
16	2	21	cm_generation_chunk	1	0x82D5C6	0x8BBFEA	u32_compressed_in_8_byte_table_entry,sequential_payload	699130	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	c510ca25ac92a41d023434f320542f1b0962afd2b727f65fc22b20be1709eb3a	c510ca25ac92a41d023434f320542f1b0962afd2b727f65fc22b20be1709eb3a	end_marker:1;literal_run_extended:3016;literal_run_short:26312;match_10_to_1f_extended:31;match_10_to_1f_short:6598;match_20_to_3f_extended:141;match_20_to_3f_short:19687;match_40_to_ff:117133;trailing_literal_0:106979;trailing_literal_1:17255;trailing_literal_2:13036;trailing_literal_3:6319
17	2	21	cm_generation_chunk	2	0x82D5CE	0x966AE4	u32_compressed_in_8_byte_table_entry,sequential_payload	660363	1025768	1024768	1024768	0	00426FDB	ignores_return_and_actual_output_size;writes_min_remaining_chunk_prefix	0	0	1	035d7674adc8864db7728df827ca64266ae4296384d1b2e2bc9e0818dfc40479	035d7674adc8864db7728df827ca64266ae4296384d1b2e2bc9e0818dfc40479	end_marker:1;literal_run_extended:1351;literal_run_short:23664;match_10_to_1f_extended:92;match_10_to_1f_short:12389;match_20_to_3f_extended:215;match_20_to_3f_short:29726;match_40_to_ff:116922;trailing_literal_0:118988;trailing_literal_1:18208;trailing_literal_2:15711;trailing_literal_3:6436
