metric	value
lmf_file_size	472447346
lmf_sha256	1fde9e3757a914a4235faa491733f06f236aa720ef8402522404636875833fc7
tail_index_offset	0x1C28E612
tail_index_records	310
active_maps	309
zero_sentinels	1
comparison_library_version	2.10
compressed_streams	1094
assembly_exact_input_streams	1094
lzo1x_safe_success_streams	1094
byte_exact_streams	1094
compressed_bytes	410310015
decompressed_bytes	838618552
caller_written_bytes	680474296
caller_discarded_output_bytes	158144256
concatenated_full_output_sha256	382a63d7b8179590f584ee34f6208c7a3d6ae062d24c34c66dbab5355e31f312
concatenated_written_prefix_sha256	6d7d1dc9faea2712dddb67fb0b18dd5f908cc5ad30f68e194ba8632eb8818c9a
covered_branch_rows	12
total_branch_rows	16
cm_generation_chunk_streams	769
cm_generation_chunk_compressed_bytes	402709179
cm_generation_chunk_decompressed_bytes	788046592
cm_generation_chunk_caller_written_bytes	629902336
cm_generation_chunk_discarded_output_bytes	158144256
cm_generation_chunk_concatenated_output_sha256	179efd2bdcc7dc759b8312be60165ae14f4c3a006af785f5bd33746642166404
indexed_object_streams	16
indexed_object_compressed_bytes	6887901
indexed_object_decompressed_bytes	40741028
indexed_object_caller_written_bytes	40741028
indexed_object_discarded_output_bytes	0
indexed_object_concatenated_output_sha256	51579e32f7b6ddb009231290f1f4dabc8e12720448714a01d2aa3757b2b062b8
surface_grid_streams	309
surface_grid_compressed_bytes	712935
surface_grid_decompressed_bytes	9830932
surface_grid_caller_written_bytes	9830932
surface_grid_discarded_output_bytes	0
surface_grid_concatenated_output_sha256	af55c092f97a3cbdd306ea4862992e167a35600d8d72df083a468731cef6d3a5
branch_end_marker_hits	1094
branch_literal_run_extended_hits	1437635
branch_literal_run_short_hits	13205165
branch_match_10_to_1f_extended_hits	172212
branch_match_10_to_1f_short_hits	10871355
branch_match_20_to_3f_extended_hits	344036
branch_match_20_to_3f_short_hits	17248955
branch_match_40_to_ff_hits	62561211
branch_trailing_literal_0_hits	68415769
branch_trailing_literal_1_hits	11212098
branch_trailing_literal_2_hits	7667219
branch_trailing_literal_3_hits	3901589
