index_ordinal	map_id	map_offset_hex	map_span	signature	name_cp950	name_raw_hex	header_offset_14_hex	header_offset_18_hex	header_offset_1c_hex	header_offset_20_hex	dimension_84_width	dimension_86_height	field_88_u16	field_8A_u16	dimension_8C_layers	raw_table_offset_hex	raw_table_size	surface_compressed_size	surface_output_size	post_surface_record_count	indexed_object_stream_count	cm_total_written_size	cm_chunk_output_size	cm_chunk_count	cm_payload_offset_hex	cm_payload_end_hex	map_trailing_bytes_after_cm	current_mcache_unit	current_mcache_declared_size	current_cm_file_size	current_cache_sizes_match
0	22	0x4	3761464	MSF2	未命名	a5bca952a657	0x963D2	0x96850	0x96854	0x96858	120	90	16	10247	2	0xA1	86404	5223	43200	3	0	5246976	1024768	6	0x96A04	0x3964DC	96				
1	10	0x39653C	3376193	MSF2	未命名	a5bca952a657	0x26EAB	0x26F9E	0x26FA2	0x26FA6	115	86	16	9518	1	0x3965D9	39564	3505	39560	6	0	4873728	1024768	5	0x3BD68A	0x6CE91D	96				
2	21	0x6CE97D	10997958	MSF2	a	61	0x15E65C	0x15EC1D	0x15EC21	0x15EC25	175	107	16	30895	3	0x6CEA15	224704	8507	74900	12	0	15818752	1024768	16	0x82D74A	0x114B9E3	96				
3	20	0x114BA43	13410661	MSF2	廣場1	bc73b3f531	0x1AFE69	0x1B044E	0x1B0452	0x1B0456	200	150	16	36983	4	0x114BADF	480004	11587	120000	21	0	18935808	1024768	19	0x12FC041	0x1E15B48	96				
4	23	0x1E15BA8	8731899	MSF2	a	61	0x166285	0x1667C0	0x1667C4	0x1667C8	100	158	16	28575	3	0x1E15C40	189604	7227	63200	10	0	14630912	1024768	15	0x1F7C518	0x2669843	96				
5	24	0x26698A3	2746479	MSF2	a	61	0x48EEC	0x4918B	0x4918F	0x49193	120	136	16	7239	1	0x266993B	65284	4178	65280	7	0	3706880	1024768	4	0x26B2BDE	0x29080B2	96	0	3706880	3706880	1
6	25	0x2908112	530119	MSF2	a	61	0xF6C1	0xF76D	0xF771	0xF775	64	48	16	1578	1	0x29081AA	12292	1273	12288	2	0	808448	1024768	1	0x2917A2F	0x2989779	96				
7	26	0x29897D9	461350	MSF2	a	61	0xEF07	0xEF99	0xEF9D	0xEFA1	64	48	16	1368	1	0x2989871	12292	1276	12288	2	0	700928	1024768	1	0x2998922	0x29FA19F	96				
8	27	0x29FA1FF	430510	MSF2	a	61	0x8CD5	0x8D36	0x8D3A	0x8D3E	64	48	16	1048	1	0x29FA297	12292	1115	12288	1	0	537088	1024768	1	0x2A030E5	0x2A6334D	96				
9	28	0x2A633AD	508782	MSF2	a	61	0xD74D	0xD80F	0xD813	0xD817	64	48	16	1425	1	0x2A63445	12292	1301	12288	3	0	730112	1024768	1	0x2A70D6C	0x2ADF6BB	96				
10	29	0x2ADF71B	460875	MSF2	a	61	0xDF3B	0xDFE6	0xDFEA	0xDFEE	64	48	16	1333	1	0x2ADF7B3	12292	1249	12288	2	0	683008	1024768	1	0x2AED8B1	0x2B4FF06	96				
