metric	value
comparison_api	lzo1x_decompress_safe
comparison_library_version	2.10
validated_tsw_frames	20091
compressed_bytes	558351505
decompressed_bytes	1378998573
byte_exact_frame_matches	20091
tsw_covered_branch_rows	12
total_branch_rows	16
tsw_uncovered_branch_rows	initial_literal_1_to_3;initial_literal_4_plus;short_match_after_literal_len3;short_match_after_match_len2
combined_covered_branch_rows	16
combined_uncovered_branch_rows	
all_char.tsw_concatenated_sha256	c6c401cfdd33d047ad16afb0e3af047f5f24a203a76fe2b0679c70e07235fff3
all_item.tsw_concatenated_sha256	27a624cd08659b0723839b8b4ae8673192346fea8455aca0cdd631c2b76c2402
all_magic.tsw_concatenated_sha256	0c797e28826a8da9cd18dcf265126b6b9ff86726520f509a07237dc89b8b59b1
all_map1.tsw_concatenated_sha256	888680220725bee08718b6203c8f63cad8f9ed84c09e6e4dc913e80bca101934
all_map2.tsw_concatenated_sha256	79c8f249ce2fb2a17e677f05078f88b70736ada3b554eec05bc5c8a4e453f1f8
all_sys.tsw_concatenated_sha256	45a68c036ed196e91414502c24b1ea12f826832c0a25e98929f7bb8628a27c17
