callee_address	callee_name_navigation_only	callee_code_origin	callee_module_candidate	boundary_kinds	caller_modules	caller_function_count	assembly_callsite_count	positive_stack_argument_hint_count	retn_pop_values_hex	assembly_cleanup_class	eax_consumed_before_clobber_heuristic	ownership_review_scope	review_priority	review_status
0x004014F0	sub_4014F0	game	rendering	game_cross_module	battle	1	2	5	0x0	plain_retn_caller_or_register_abi	2	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x004019A0	sub_4019A0	game	rendering	game_cross_module	battle;special_modes	4	10	4	0x0	plain_retn_caller_or_register_abi	10	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00401B70	sub_401B70	game	rendering	game_cross_module	asset_runtime;world_map	2	2	4	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00401C70	sub_401C70	game	rendering	game_cross_module	asset_runtime;battle	3	3	1	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00401E50	sub_401E50	game	rendering	game_cross_module	asset_runtime	1	1	2	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00402030	sub_402030	game	world_map	game_cross_module	runtime_platform	1	1	0	0x0	plain_retn_caller_or_register_abi	0	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x004020C0	sub_4020C0	game	world_map	game_cross_module	runtime_platform	1	1	0	0x0	plain_retn_caller_or_register_abi	0	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x004021D0	sub_4021D0	game	world_map	game_cross_module	story_scene	2	2	0	0x0	plain_retn_caller_or_register_abi	0	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00402200	sub_402200	game	world_map	game_cross_module	story_scene	2	3	0	0x0	plain_retn_caller_or_register_abi	0	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00402230	sub_402230	game	world_map	game_cross_module	story_scene	2	2	7	0x1C	callee_pops_0x1C_bytes	4	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00402F70	sub_402F70	game	world_map	game_cross_module	story_scene	1	1	1	0x4	callee_pops_0x4_bytes	0	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00402F80	sub_402F80	game	world_map	game_cross_module	runtime_platform	1	1	0	0x0	plain_retn_caller_or_register_abi	0	critical_abi;top_level_direct;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x004050E0	sub_4050E0	game	input_time_rng	game_cross_module	runtime_platform	1	1	0	0x0	plain_retn_caller_or_register_abi	0	critical_abi;top_level_direct;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00405430	sub_405430	game	world_map	game_cross_module	runtime_platform	1	1	0	0x0	plain_retn_caller_or_register_abi	0	top_level_direct;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00406D30	sub_406D30	game	special_modes	game_cross_module	runtime_platform;story_scene;world_map	4	7	0	0x0	plain_retn_caller_or_register_abi	0	top_level_direct;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00406E00	sub_406E00	game	special_modes	game_cross_module	runtime_platform	1	1	0	0x0	plain_retn_caller_or_register_abi	0	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00406E30	sub_406E30	game	special_modes	game_cross_module	runtime_platform	1	1	0	0x0	plain_retn_caller_or_register_abi	0	critical_abi;top_level_direct;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x004070A0	sub_4070A0	game	persistence	game_cross_module	special_modes	1	1	0	0x0	plain_retn_caller_or_register_abi	0	critical_abi;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00409600	sub_409600	game	persistence	game_cross_module	special_modes	1	3	2	0x0	plain_retn_caller_or_register_abi	0	critical_abi;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x004099C0	sub_4099C0	game	persistence	game_cross_module	special_modes	2	6	1	0x0	plain_retn_caller_or_register_abi	0	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00409A10	sub_409A10	game	persistence	game_cross_module	runtime_platform	1	1	0	0x0	plain_retn_caller_or_register_abi	0	top_level_direct;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00409B80	sub_409B80	game	persistence	game_cross_module	special_modes	1	1	0	0x0	plain_retn_caller_or_register_abi	0	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00409C10	sub_409C10	game	persistence	game_cross_module	runtime_platform	1	1	0	0x0	plain_retn_caller_or_register_abi	1	top_level_direct;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00409DD0	sub_409DD0	game	persistence	game_cross_module	special_modes	1	1	0	0x0	plain_retn_caller_or_register_abi	0	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x00409EC0	_WinMain@16	game	runtime_platform	external_to_game	external_crt	1	1	4	0x10	callee_pops_0x10_bytes	0	critical_abi	reviewed	manual_reviewed_existing_assembly_evidence
0x0040AE20	sub_40AE20	game	world_map	game_cross_module	special_modes;story_scene	4	12	1	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040AEC0	sub_40AEC0	game	world_map	game_cross_module	story_scene	2	5	1	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040AFF0	sub_40AFF0	game	story_scene	game_cross_module	battle	1	3	6	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040BAA0	sub_40BAA0	game	story_scene	game_cross_module	battle	1	1	4	0x0	plain_retn_caller_or_register_abi	2	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040BB20	sub_40BB20	game	story_scene	game_cross_module	battle	1	3	1	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040BB50	sub_40BB50	game	world_map	game_cross_module	story_scene	1	1	4	0x0	plain_retn_caller_or_register_abi	5	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040C020	sub_40C020	game	world_map	game_cross_module	story_scene	1	1	1	0x0	plain_retn_caller_or_register_abi	3	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040C060	sub_40C060	game	world_map	game_cross_module	story_scene	2	4	1	0x0	plain_retn_caller_or_register_abi	8	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040C0D0	sub_40C0D0	game	world_map	game_cross_module	asset_runtime;story_scene	4	47	2	0x0	plain_retn_caller_or_register_abi	34	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040C130	sub_40C130	game	world_map	game_cross_module	persistence;story_scene	2	2	7	0x0	plain_retn_caller_or_register_abi	0	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040CDD0	sub_40CDD0	game	audio_video	game_cross_module	runtime_platform	1	1	0	0x0	plain_retn_caller_or_register_abi	0	critical_abi;top_level_direct;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040CF10	sub_40CF10	game	audio_video	game_cross_module	runtime_platform;world_map	4	11	0	0x0	plain_retn_caller_or_register_abi	0	critical_abi;top_level_direct;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040CF40	sub_40CF40	game	audio_video	game_cross_module	world_map	1	1	1	0x0	plain_retn_caller_or_register_abi	0	cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040D0C0	sub_40D0C0	game	world_map	game_cross_module	story_scene	2	4	0	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040D160	sub_40D160	game	world_map	game_cross_module	story_scene	1	1	3	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040D200	sub_40D200	game	world_map	game_cross_module	persistence	1	1	2	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040D460	sub_40D460	game	world_map	game_cross_module	persistence;special_modes;story_scene	3	15	11	0x0	plain_retn_caller_or_register_abi	1	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040D560	sub_40D560	game	world_map	game_cross_module	special_modes;story_scene	4	5	2	0x0	plain_retn_caller_or_register_abi	2	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040D610	sub_40D610	game	world_map	game_cross_module	story_scene	1	1	1	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040D790	sub_40D790	game	world_map	game_cross_module	story_scene	1	1	7	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040DB40	sub_40DB40	game	world_map	game_cross_module	battle	1	2	0	0x0	plain_retn_caller_or_register_abi	6	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
0x0040DB60	sub_40DB60	game	world_map	game_cross_module	battle	1	1	1	0x0	plain_retn_caller_or_register_abi	0	module_candidate_manual;cross_module_boundary_a2	reviewed	manual_reviewed_current_assembly
