caller_address	caller_name_navigation_only	caller_code_origin	caller_module_candidate	callee_address	callee_name_navigation_only	callee_code_origin	callee_module_candidate	callsite_count	assembly_callsite_addresses	boundary_kind	review_status
0x004014F0	sub_4014F0	game	rendering	0x00487C10	_malloc	crt	external_crt	4	0x00401527;0x00401720;0x00401769;0x00401970	game_to_external	external_boundary_consumer_contract_review
0x004014F0	sub_4014F0	game	rendering	0x004885A0	sub_4885A0	crt	external_crt	1	0x00401740	game_to_external	external_boundary_consumer_contract_review
0x004019A0	sub_4019A0	game	rendering	0x00487C10	_malloc	crt	external_crt	2	0x00401A06;0x00401AC3	game_to_external	external_boundary_consumer_contract_review
0x00401C70	sub_401C70	game	rendering	0x00487C10	_malloc	crt	external_crt	2	0x00401CE8;0x00401E0D	game_to_external	external_boundary_consumer_contract_review
0x00401C70	sub_401C70	game	rendering	0x004885A0	sub_4885A0	crt	external_crt	3	0x00401DFF;0x00401E07;0x00401E2B	game_to_external	external_boundary_consumer_contract_review
0x00401E50	sub_401E50	game	rendering	0x00487C10	_malloc	crt	external_crt	2	0x00401EA6;0x00401FF2	game_to_external	external_boundary_consumer_contract_review
0x00401E50	sub_401E50	game	rendering	0x004885A0	sub_4885A0	crt	external_crt	2	0x00401FE6;0x00402012	game_to_external	external_boundary_consumer_contract_review
0x00402030	sub_402030	game	world_map	0x00487C10	_malloc	crt	external_crt	2	0x00402033;0x00402064	game_to_external	external_boundary_consumer_contract_review
0x004020C0	sub_4020C0	game	world_map	0x004885A0	sub_4885A0	crt	external_crt	2	0x004020D4;0x004020F5	game_to_external	external_boundary_consumer_contract_review
0x00402120	sub_402120	game	world_map	0x00487C10	_malloc	crt	external_crt	1	0x0040212F	game_to_external	external_boundary_consumer_contract_review
0x004021D0	sub_4021D0	game	world_map	0x00487C10	_malloc	crt	external_crt	1	0x004021D5	game_to_external	external_boundary_consumer_contract_review
0x00402200	sub_402200	game	world_map	0x004885A0	sub_4885A0	crt	external_crt	1	0x00402210	game_to_external	external_boundary_consumer_contract_review
0x00402520	sub_402520	game	world_map	0x00411F90	sub_411F90	game	runtime_platform	1	0x0040252E	game_cross_module	manual_reviewed_current_assembly
0x00402A90	sub_402A90	game	world_map	0x00487C10	_malloc	crt	external_crt	1	0x00402A95	game_to_external	external_boundary_consumer_contract_review
0x00402AC0	sub_402AC0	game	world_map	0x004885A0	sub_4885A0	crt	external_crt	1	0x00402AD0	game_to_external	external_boundary_consumer_contract_review
0x00402F80	sub_402F80	game	world_map	0x00406D30	sub_406D30	game	special_modes	3	0x00403072;0x004031A5;0x00403201	game_cross_module	manual_reviewed_current_assembly
