dependent_module	provider_or_owner_module	direct_function_pairs	static_callsite_count	written_owner_state_count	borrowed_owner_state_count	written_owner_states	borrowed_owner_states	relationship_evidence	reverse_dependency_present	cycle_component	review_status
asset_runtime	audio_video	7	15	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
asset_runtime	input_time_rng	7	44	0	1		current_frame_time_sample	direct_caller_to_callee;state_reader_to_owner	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
asset_runtime	rendering	24	39	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
asset_runtime	resource_io	10	13	0	1		win32_file_mapping_object	direct_caller_to_callee;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
asset_runtime	runtime_platform	7	8	1	1	process_lifecycle_flags	process_lifecycle_flags	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
asset_runtime	story_scene	6	6	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
asset_runtime	world_map	2	2	0	4		controlled_role_index;world_camera_and_player_x_component;world_camera_and_player_y_component;world_movement_step	direct_caller_to_callee;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
audio_video	asset_runtime	3	3	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
audio_video	rendering	2	3	0	1		directdraw_common_source_surface	direct_caller_to_callee;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
audio_video	resource_io	14	15	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
audio_video	runtime_platform	3	3	1	1	process_lifecycle_flags	process_lifecycle_flags	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
audio_video	story_scene	1	1	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
audio_video	world_map	0	0	0	1		controlled_role_index	state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
battle	asset_runtime	170	232	1	2	generic_action_record	act_stream_cache_nodes;generic_action_record	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
battle	audio_video	111	211	0	0			direct_caller_to_callee	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
battle	input_time_rng	34	106	0	0			direct_caller_to_callee	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
battle	persistence	1	1	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
battle	rendering	220	532	0	1		directdraw_common_source_surface	direct_caller_to_callee;state_reader_to_owner	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
battle	runtime_platform	3	5	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
battle	special_modes	4	5	1	1	item_node	item_node	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
battle	story_scene	12	22	1	1	global_integer_variables_64_element0_money	global_integer_variables_64_element0_money	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
battle	world_map	3	4	1	1	party_item_sentinel_heads_4	party_item_sentinel_heads_4	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
input_time_rng	audio_video	1	1	0	0			direct_caller_to_callee	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
input_time_rng	resource_io	2	4	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
input_time_rng	runtime_platform	0	0	0	1		main_window_handle	state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
input_time_rng	story_scene	2	2	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
persistence	asset_runtime	4	11	0	0			direct_caller_to_callee	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
persistence	audio_video	5	16	0	0			direct_caller_to_callee	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
persistence	battle	4	5	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
persistence	rendering	16	30	0	1		directdraw_common_source_surface	direct_caller_to_callee;state_reader_to_owner	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
persistence	resource_io	50	89	0	1		win32_file_mapping_object	direct_caller_to_callee;state_reader_to_owner	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
persistence	runtime_platform	2	3	1	0	special_mode_request_and_active_state		direct_caller_to_callee;state_writer_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
persistence	special_modes	7	12	0	1		item_node	direct_caller_to_callee;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
persistence	story_scene	4	24	3	2	global_integer_variables_64_element0_money;global_state_bitset_8192;talk_and_story_execution_state	global_integer_variables_64_element0_money;global_state_bitset_8192	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
persistence	world_map	5	5	0	2		controlled_role_index;party_item_sentinel_heads_4	direct_caller_to_callee;state_reader_to_owner	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
rendering	asset_runtime	14	35	0	2		generic_action_record;static_action_pool_4	direct_caller_to_callee;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
rendering	audio_video	1	2	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
rendering	input_time_rng	1	4	0	0			direct_caller_to_callee	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
rendering	resource_io	9	15	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
rendering	runtime_platform	2	2	0	1		main_window_handle	direct_caller_to_callee;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
rendering	story_scene	3	7	2	2	picpaint_action_lists;picture_action_list	picpaint_action_lists;picture_action_list	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
resource_io	asset_runtime	3	20	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
resource_io	audio_video	1	8	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
resource_io	input_time_rng	2	2	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
resource_io	rendering	6	13	0	1		directdraw_common_source_surface	direct_caller_to_callee;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
resource_io	runtime_platform	3	5	1	1	process_lifecycle_flags	process_lifecycle_flags	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
resource_io	special_modes	1	1	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
resource_io	story_scene	4	4	1	0	talk_and_story_execution_state		direct_caller_to_callee;state_writer_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
resource_io	world_map	1	1	2	0	map_cache_directory_entries;role_records_256_by_216		direct_caller_to_callee;state_writer_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
runtime_platform	asset_runtime	4	4	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
runtime_platform	audio_video	20	26	1	1	miles_audio_manager_object	miles_audio_manager_object	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
runtime_platform	battle	3	3	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
runtime_platform	input_time_rng	11	11	3	3	current_frame_time_sample;frame_interval_threshold_ms;previous_accepted_frame_time	current_frame_time_sample;frame_interval_threshold_ms;previous_accepted_frame_time	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
runtime_platform	persistence	3	3	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
runtime_platform	rendering	24	47	1	1	directdraw_common_source_surface	directdraw_common_source_surface	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
runtime_platform	resource_io	26	34	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
runtime_platform	special_modes	6	6	0	1		optional_text_input_object_pointer	direct_caller_to_callee;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
runtime_platform	story_scene	8	23	1	1	talk_and_story_execution_state	talk_and_story_execution_state	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
runtime_platform	world_map	24	24	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
special_modes	asset_runtime	44	113	0	0			direct_caller_to_callee	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
special_modes	audio_video	84	151	0	0			direct_caller_to_callee	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
special_modes	battle	27	36	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
special_modes	input_time_rng	16	24	0	0			direct_caller_to_callee	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
special_modes	persistence	6	12	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
special_modes	rendering	111	391	0	1		directdraw_common_source_surface	direct_caller_to_callee;state_reader_to_owner	no	cycle_01	aggregated_from_reviewed_A2_A3_evidence
special_modes	resource_io	12	12	0	0			direct_caller_to_callee	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
special_modes	runtime_platform	15	32	4	2	frame_execution_gate;platform_or_async_transition_frame_suppression;process_lifecycle_flags;special_mode_request_and_active_state	process_lifecycle_flags;special_mode_request_and_active_state	direct_caller_to_callee;state_writer_to_owner;state_reader_to_owner	yes	cycle_01	aggregated_from_reviewed_A2_A3_evidence
