address	ida_name_navigation_only	catalog_source	code_origin	module_candidate	candidate_confidence	assignment_basis	assembly_direct_callers_address_count	assembly_direct_callees_address_count	follow_up_module	manual_review_scope	review_status
0x00401010	unknown_libname_1	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401050	unknown_libname_3	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401090	unknown_libname_5	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x004010D0	unknown_libname_7	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401110	unknown_libname_9	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401150	unknown_libname_11	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401190	sub_401190	ida_export_catalog	game	asset_runtime	medium	address_cluster:early_asset_initializer;assembly_direct_call_graph:1_sites		0x00430C60:1	asset_runtime		mechanical_candidate_not_manually_reviewed
0x004011C0	unknown_libname_13	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x004011D0	sub_4011D0	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x004011E0:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x004011E0	unknown_libname_14	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x004011D0:1		runtime_platform		external_boundary_mechanical
0x00401200	unknown_libname_15	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401210	sub_401210	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x00401220:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x00401220	unknown_libname_16	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x00401210:1		runtime_platform		external_boundary_mechanical
0x00401240	unknown_libname_17	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401250	sub_401250	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x00401260:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x00401260	unknown_libname_18	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x00401250:1		runtime_platform		external_boundary_mechanical
0x00401280	unknown_libname_19	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401290	sub_401290	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x004012A0:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x004012A0	unknown_libname_20	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x00401290:1		runtime_platform		external_boundary_mechanical
0x004012C0	unknown_libname_21	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x004012D0	sub_4012D0	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x004012E0:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x004012E0	unknown_libname_22	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x004012D0:1		runtime_platform		external_boundary_mechanical
0x00401300	unknown_libname_23	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401310	sub_401310	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x00401320:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x00401320	unknown_libname_24	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x00401310:1		runtime_platform		external_boundary_mechanical
0x00401340	unknown_libname_25	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401350	sub_401350	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x00401360:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x00401360	unknown_libname_26	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x00401350:1		runtime_platform		external_boundary_mechanical
0x00401380	unknown_libname_27	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401390	sub_401390	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x004013A0:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x004013A0	unknown_libname_28	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x00401390:1		runtime_platform		external_boundary_mechanical
0x004013C0	unknown_libname_29	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x004013D0	sub_4013D0	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x004013E0:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x004013E0	unknown_libname_30	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x004013D0:1		runtime_platform		external_boundary_mechanical
0x00401400	unknown_libname_31	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401410	sub_401410	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x00401420:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x00401420	unknown_libname_32	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x00401410:1		runtime_platform		external_boundary_mechanical
0x00401440	unknown_libname_33	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401450	sub_401450	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x00401460:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x00401460	unknown_libname_34	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x00401450:1		runtime_platform		external_boundary_mechanical
0x00401480	unknown_libname_35	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x00401490	j_unknown_libname_36	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x004014A0	unknown_libname_36	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x004014B0	sub_4014B0	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt		0x004014C0:1;0x00487BA0:1	runtime_platform		external_boundary_mechanical
0x004014C0	unknown_libname_37	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt	0x004014B0:1		runtime_platform		external_boundary_mechanical
0x004014E0	unknown_libname_38	ida_export_catalog	crt	external_crt	mechanical_boundary	code_origin:crt			runtime_platform		external_boundary_mechanical
0x004014F0	sub_4014F0	ida_export_catalog	game	rendering	confirmed_boundary	manual_module_assembly_review;manual_a2_cross_module_boundary_review	0x004527E0:2	0x00487C10:4;0x004885A0:1	rendering	module_candidate_manual;cross_module_boundary_a2	manual_reviewed_current_assembly
0x004019A0	sub_4019A0	ida_export_catalog	game	rendering	confirmed_boundary	manual_module_assembly_review;manual_a2_cross_module_boundary_review	0x0043FDE0:4;0x004710D0:1;0x00479850:4;0x00484020:1	0x00487C10:2	rendering	module_candidate_manual;cross_module_boundary_a2	manual_reviewed_current_assembly
0x00401B70	sub_401B70	ida_export_catalog	game	rendering	confirmed_boundary	manual_module_assembly_review;manual_a2_cross_module_boundary_review	0x00401C70:1;0x0040AD10:1;0x00425BE0:1	0x004238B0:1	rendering	module_candidate_manual;cross_module_boundary_a2	manual_reviewed_current_assembly
0x00401C70	sub_401C70	ida_export_catalog	game	rendering	confirmed_boundary	manual_module_assembly_review;manual_a2_cross_module_boundary_review	0x00431760:1;0x00431C50:1;0x00451940:1	0x00401B70:1;0x004238B0:1;0x00487C10:2;0x004885A0:3	rendering	module_candidate_manual;cross_module_boundary_a2	manual_reviewed_current_assembly
0x00401E50	sub_401E50	ida_export_catalog	game	rendering	confirmed_boundary	manual_module_assembly_review;manual_a2_cross_module_boundary_review	0x0040AD10:1	0x004238B0:1;0x00487C10:2;0x004885A0:2	rendering	module_candidate_manual;cross_module_boundary_a2	manual_reviewed_current_assembly
0x00402030	sub_402030	ida_export_catalog	game	world_map	confirmed_boundary	address_cluster:early_gameplay_cluster;assembly_direct_call_graph:3_sites;manual_a2_cross_module_boundary_review	0x00424B90:1	0x00487C10:2	world_map	cross_module_boundary_a2	manual_reviewed_current_assembly
0x004020C0	sub_4020C0	ida_export_catalog	game	world_map	confirmed_boundary	address_cluster:early_gameplay_cluster;assembly_direct_call_graph:3_sites;manual_a2_cross_module_boundary_review	0x004251B0:1	0x004885A0:2	world_map	cross_module_boundary_a2	manual_reviewed_current_assembly
0x00402120	sub_402120	ida_export_catalog	game	world_map	medium	address_cluster:early_gameplay_cluster;assembly_direct_call_graph:5_sites	0x00402450:3;0x00402690:1	0x00487C10:1	world_map		mechanical_candidate_not_manually_reviewed
0x004021A0	sub_4021A0	ida_export_catalog	game	world_map	medium	address_cluster:early_gameplay_cluster;assembly_direct_call_graph:2_sites	0x00402410:2		world_map		mechanical_candidate_not_manually_reviewed
0x004021D0	sub_4021D0	ida_export_catalog	game	world_map	confirmed_boundary	address_cluster:early_gameplay_cluster;assembly_direct_call_graph:5_sites;manual_a2_cross_module_boundary_review	0x00406390:1;0x00406960:1;0x0042D920:1;0x0042DAF0:1	0x00487C10:1	world_map	cross_module_boundary_a2	manual_reviewed_current_assembly
