sequence	blt_address	owner	role	source	rectangle_contract	flags	result_policy
1	0x00408276	sub_4070A0	transient_save_or_load_commit	game_surface_0x004ACBA0	both NULL/full surfaces	0	ignored
2	0x00408D5E	sub_408CF0	steady_high_priority_commit	game_surface_0x004ACBA0	both NULL/full surfaces	DDBLT_WAIT(0x01000000)	ignored
3	0x0040EFAE	sub_40ED60	transient_game_ui_commit	game_surface_0x004ACBA0	both NULL/full surfaces	0	ignored
4	0x00411B05	sub_4118B0	media_check_status_commit	game_surface_0x004ACBA0	both NULL/full surfaces	DDBLT_WAIT(0x01000000)	ignored
5	0x00411C02	sub_4118B0	media_check_result_commit	game_surface_0x004ACBA0	both NULL/full surfaces	DDBLT_WAIT(0x01000000)	ignored
6	0x00412046	sub_411FA0	pause_overlay_commit	game_surface_0x004ACBA0	both NULL/full surfaces	0	HRESULT left in EAX; caller ignores
7	0x00412716	sub_4120B0	steady_world_commit	game_surface_0x004ACBA0	both NULL/full surfaces	DDBLT_WAIT(0x01000000)	ignored
8	0x0042A658	sub_427920	story_video_preclear_commit	game_surface_0x004ACBA0	both NULL/full surfaces	DDBLT_WAIT(0x01000000)	ignored
9	0x0042AD00	sub_427920	story_vm_conditional_commit	game_surface_0x004ACBA0	both NULL/full surfaces	0	ignored
10	0x0043A854	sub_43A610	steady_special_modes_1_3_4_5_6_commit	game_surface_0x004ACBA0	both NULL/full surfaces	DDBLT_WAIT(0x01000000)	ignored
11	0x0043BFF1	sub_43BFC0	special_transition_clear_commit	game_surface_0x004ACBA0	both NULL/full surfaces	0	ignored
12	0x00446A46	sub_446700	world_or_story_transition_clear_commit	game_surface_0x004ACBA0	both NULL/full surfaces	0	ignored
13	0x0044F765	sub_44EA60	steady_special_mode_2_shop_commit	game_surface_0x004ACBA0	both NULL/full surfaces	0	ignored
14	0x00452BE7	sub_4527E0	battle_transition_commit_loop_A	game_surface_0x004ACBA0	both NULL/full surfaces	0	ignored
15	0x00452D2F	sub_4527E0	battle_transition_commit_loop_B	game_surface_0x004ACBA0	both NULL/full surfaces	0	ignored
16	0x00452DE0	sub_4527E0	battle_snapshot_commit	battle_surface_0x005244C8	both NULL/full surfaces	0	ignored
17	0x004531CF	sub_4530A0	battle_random_wipe_commit	temporary_screen_surface	both NULL/full surfaces	0	ignored
18	0x0045350A	sub_453200	steady_battle_commit	game_surface_0x004ACBA0	both NULL/full surfaces	0	ignored
19	0x0045E898	sub_45E7D0	battle_vertical_displacement_part_1	game_surface_0x004ACBA0	dynamic source/destination rectangles from state/table	DDBLT_WAIT(0x01000000)	ignored
20	0x0045E946	sub_45E7D0	battle_vertical_displacement_part_2	game_surface_0x004ACBA0	dynamic exposed-band rectangles after black clear	DDBLT_WAIT(0x01000000)	ignored
21	0x00484A11	sub_484950	bink_video_commit	game_surface_0x004ACBA0	same RECT {0,0,639,479} for source and destination	DDBLT_WAIT(0x01000000)	branches over an explicit DDERR table; success advances video
