address	closure_disposition	target_owner	implementation_mapping	evidence	remaining_work
0x004014F0	implemented	rendering	legacy image command-stream encode/decode/pixel-conversion family	legacy-image-command-stream-004014f0-00401e50.md	none
0x004019A0	implemented	rendering	legacy image command-stream encode/decode/pixel-conversion family	legacy-image-command-stream-004014f0-00401e50.md	none
0x00401B70	implemented	rendering	legacy image command-stream encode/decode/pixel-conversion family	legacy-image-command-stream-004014f0-00401e50.md	none
0x00401C70	implemented	rendering	legacy image command-stream encode/decode/pixel-conversion family	legacy-image-command-stream-004014f0-00401e50.md	none
0x00401E50	implemented	rendering	legacy image command-stream encode/decode/pixel-conversion family	legacy-image-command-stream-004014f0-00401e50.md	none
0x0040DE50	implemented	rendering	legacy animated border/thumbnail/decorated-number helpers	legacy-drawing-helpers-0040de50-004117f0.md	none
0x0040E080	implemented	rendering	legacy animated border/thumbnail/decorated-number helpers	legacy-drawing-helpers-0040de50-004117f0.md	none
0x0040F340	implemented	rendering;platform_sdl3	LegacyTextRendererRuntime;SdlSmokeInitializationPorts;SdlDisplayLifecyclePorts;SmokeShutdownPorts	font-surface-and-glyph-rendering.md	none
0x004117F0	implemented	rendering	legacy animated border/thumbnail/decorated-number helpers	legacy-drawing-helpers-0040de50-004117f0.md	none
0x00411FA0	implemented	rendering;story_scene	legacy pause/action/packed-row/timed-message coordinators	legacy-pause-action-and-message-renderers-00411fa0-004153d0.md	none
0x00414B60	implemented	rendering;story_scene;world_map	LegacyMovingActionNode; update_draw_legacy_moving_actions; LegacyWorldFrameRuntimePorts	moving-actions-00414b60.md	none
0x00414CE0	implemented	rendering;story_scene;world_map	LegacyRoleHeadActionNode; update_draw_legacy_role_head_actions; LegacyWorldFrameRuntimePorts	role-head-actions-00414ce0.md	none
0x00414E50	implemented	rendering;story_scene	legacy pause/action/packed-row/timed-message coordinators	legacy-pause-action-and-message-renderers-00411fa0-004153d0.md	none
0x004153D0	implemented	rendering;story_scene	legacy pause/action/packed-row/timed-message coordinators	legacy-pause-action-and-message-renderers-00411fa0-004153d0.md	none
0x00416D30	implemented	rendering	LegacyFramebuffer;LegacyPixelConversionState;legacy pixel converters	legacy-framebuffer-geometry-00416d30.md;pixel-format-selection-and-cm-cache.md	none
0x00416D90	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00416F10	platform_adapted	rendering;platform_sdl3	LegacyFramebuffer stable owned storage	legacy-framebuffer-geometry-00416d30.md	none
0x00416F60	platform_adapted	rendering;platform_sdl3	LegacyFramebuffer stable owned storage	legacy-framebuffer-geometry-00416d30.md	none
0x00416F80	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00416FF0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00417050	implemented	rendering	legacy outline/fixed-tile/packed-row software helpers	legacy-outline-fixed-tile-and-packed-row-00417050-00417de0.md	none
0x004170E0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x004174D0	implemented	rendering	legacy outline/fixed-tile/packed-row software helpers	legacy-outline-fixed-tile-and-packed-row-00417050-00417de0.md	none
0x00417530	implemented	rendering	legacy outline/fixed-tile/packed-row software helpers	legacy-outline-fixed-tile-and-packed-row-00417050-00417de0.md	none
0x004175B0	implemented	rendering	legacy outline/fixed-tile/packed-row software helpers	legacy-outline-fixed-tile-and-packed-row-00417050-00417de0.md	none
0x00417650	implemented	rendering	legacy outline/fixed-tile/packed-row software helpers	legacy-outline-fixed-tile-and-packed-row-00417050-00417de0.md	none
0x004176D0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x004177D0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00417840	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00417950	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00417DE0	implemented	rendering	legacy outline/fixed-tile/packed-row software helpers	legacy-outline-fixed-tile-and-packed-row-00417050-00417de0.md	none
0x00417E40	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00417EC0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00417FF4	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x0041802D	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x00418066	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x0041809F	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x004180D8	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x00418111	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x0041814A	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x00418183	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x004181BC	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x004181F5	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x0041822E	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x00418267	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x0041829D	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x004182D3	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x00418309	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x0041830E	implemented_internal_branch	rendering	blit_legacy_copy_paths/raw_constant_vertical_fade	legacy-blitter-raw-constant-fade-00417ec0.md	none
0x00418350	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x004185C0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00418840	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00418EB0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00419570	unreachable_current_assets	rendering	explicit unsupported_routine boundary	software-blitter-dispatch-and-pixel-effects.md	preserve the original dangerous forced-state boundary; no normal-path implementation
0x0041A3B0	unreachable_current_assets	rendering	explicit unsupported_routine boundary	software-blitter-dispatch-and-pixel-effects.md	preserve the original dangerous forced-state boundary; no normal-path implementation
0x0041B280	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x0041B620	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x0041B9F0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x0041CCF0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x0041D010	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x0041D340	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x0041E5C0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x0041F8D0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x0041FEA0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00420490	implemented	rendering	legacy_frame_color signed-offset/pair/combine/grayscale helpers	frame-color-adjustment-and-combine.md	none
0x00420560	implemented	rendering	legacy_frame_color signed-offset/pair/combine/grayscale helpers	frame-color-adjustment-and-combine.md	none
0x00420600	implemented	rendering	legacy_frame_color signed-offset/pair/combine/grayscale helpers	frame-color-adjustment-and-combine.md	none
0x004206F0	implemented	rendering	legacy_frame_color signed-offset/pair/combine/grayscale helpers	frame-color-adjustment-and-combine.md	none
0x004207E0	implemented	rendering	legacy_frame_color signed-offset/pair/combine/grayscale helpers	frame-color-adjustment-and-combine.md	none
0x004208D0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00420D70	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00421230	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00421540	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00421850	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00421BE0	implemented	rendering	select_legacy_blitter;blit_legacy_copy_paths	software-blitter-dispatch-and-pixel-effects.md	none
0x00421FB0	implemented	rendering	legacy_frame_color signed-offset/pair/combine/grayscale helpers	frame-color-adjustment-and-combine.md	none
