address	closure_disposition	target_owner	implementation_mapping	evidence	remaining_work
0x0040F040	implemented	resource_io	LegacyResourceDatabases::initialize	resource-database-and-probe-0040f040-00412050.md	none
0x004118B0	transferred	audio_video	media_acquisition_request_and_app_prompt_port	swd3.exe.lst:0x004118B0..0x00411C8B	B5
0x00411D90	transferred	runtime_platform	WindowEventPorts::free_disk_space_mebibytes	swd3.exe.lst:0x00411D90..0x00411E18	platform_adapter
0x00412050	implemented	resource_io	legacy_exclusive_file_probe	resource-database-and-probe-0040f040-00412050.md	none
0x00423A10	implemented	resource_io	initialize_legacy_environment	legacy-environment-00423af0-00423fb0.md	none
0x00423AF0	implemented	resource_io	rewrite_legacy_environment	legacy-environment-00423af0-00423fb0.md	none
0x00423E00	implemented	resource_io	write_legacy_environment_binding_prefix	legacy-environment-00423af0-00423fb0.md	none
0x00423FB0	implemented	resource_io	load_legacy_environment	legacy-environment-00423af0-00423fb0.md	none
0x004242B0	platform_adapted	runtime_platform	resolve_data_directory_and_future_media_source_port	data-directory-compatibility.md	B5_or_integration
0x00425040	split_transferred	runtime_platform	StartupPorts::initialize_paths_and_directories_plus_owner_ports	swd3.exe.lst:0x00425040..0x00425142	owner_wiring
0x00425150	implemented	resource_io	legacy_select_or_create_directory	legacy-directory-selection-00425150.md	none
0x00425570	implemented	resource_io	validate_legacy_cm_cache	cm-cache-validation-00425570.md	none
0x004258E0	implemented	resource_io	write_legacy_environment_cache_session_marker	environment-cache-session-marker-00425570-004259b0.md	none
0x004259B0	implemented	resource_io	write_legacy_environment_cache_session_marker	environment-cache-session-marker-00425570-004259b0.md	none
0x00425A70	implemented	resource_io	legacy_cm_cache_total_size	cm-cache-total-size-00425a70.md	none
0x00425B50	transferred	world_map	world_state_reset	swd3.exe.lst:0x00425B50..0x00425BDA	B7
0x004267E0	implemented	resource_io	compress_legacy_save_block	legacy-lzo1x-compressors-00439120.md	none
0x00426820	implemented	resource_io	decompress_legacy_resource_block	legacy-lzo1x-wrapper-00426820.md	none
0x00438000	implemented	resource_io	LegacyFile::LegacyFile	legacy-file-object-00438000.md	none
0x00438030	implemented	resource_io	LegacyFile::~LegacyFile	legacy-file-object-00438000.md	none
0x004380B0	implemented	resource_io	LegacyFile::open	legacy-file-object-00438000.md	none
0x00438150	implemented	resource_io	LegacyFile::close	legacy-file-object-00438000.md	none
0x004381E0	implemented	resource_io	LegacyFile::create_read_only_mapping	legacy-file-object-00438000.md	none
0x00438230	implemented	resource_io	LegacyFile::close_mapping	legacy-file-object-00438000.md	none
0x00438290	implemented	resource_io	LegacyFile::map_view	legacy-file-object-00438000.md	none
0x004382E0	implemented	resource_io	LegacyFile::close_view	legacy-file-object-00438000.md	none
0x00438340	implemented	resource_io	LegacyFile::size	legacy-file-object-00438000.md	none
0x00438360	implemented	resource_io	LegacyFile::truncate_at_current_position	legacy-file-object-00438000.md	none
0x00438380	implemented	resource_io	LegacyFile::read	legacy-file-object-00438000.md	none
0x004383E0	implemented	resource_io	LegacyFile::write	legacy-file-object-00438000.md	none
0x00438440	implemented	resource_io	LegacyFile::seek_raw	legacy-file-object-00438000.md	none
0x004384A0	implemented	resource_io	LegacyFile::seek_current_one_based	legacy-file-object-00438000.md	none
0x004384B0	implemented	resource_io	LegacyFile::seek_begin_one_based	legacy-file-object-00438000.md	none
0x004384C0	implemented	resource_io	LegacyFile::seek_end_one_based	legacy-file-object-00438000.md	none
0x004384D0	implemented	resource_io	LegacyFile::current_position	legacy-file-object-00438000.md	none
0x00438520	implemented	resource_io	LegacyFile::write_exact	legacy-file-object-00438000.md	none
0x00438570	implemented	resource_io	LegacyFile::last_write_time	legacy-file-object-00438000.md	none
0x004385A0	implemented	resource_io	LegacyFile::write_u8	legacy-file-object-00438000.md	none
0x004385B0	implemented	resource_io	LegacyFile::write_u32	legacy-file-object-00438000.md	none
0x004385C0	implemented	resource_io	LegacyFile::read_u8_and_read_u32_shared_helper	legacy-file-object-00438000.md	none
0x00438600	implemented	resource_io	LegacyFile::read_u8	legacy-file-object-00438000.md	none
0x00438610	implemented	resource_io	LegacyFile::read_u32	legacy-file-object-00438000.md	none
0x00438620	implemented	resource_io	LegacyFile::set_system_error	legacy-file-object-00438000.md	none
0x00438640	implemented	resource_io	LegacyFile::error_message	legacy-file-object-00438000.md	none
0x00438650	implemented	resource_io	LegacyMemoryManager::LegacyMemoryManager_and_destructor	legacy-memory-manager-00438650.md	none
0x00438800	implemented	resource_io	LegacyMemoryManager::create_node	legacy-memory-manager-00438650.md	none
0x00438840	implemented	resource_io	LegacyMemoryManager::release_node	legacy-memory-manager-00438650.md	none
0x00438880	implemented	resource_io	LegacyMemoryManager::release_contained_block	legacy-memory-manager-00438650.md	none
0x004389A0	implemented	resource_io	LegacyMemoryManager::set_system_error	legacy-memory-manager-00438650.md	none
0x004389D0	implemented	resource_io	LegacyDbcsTextBuffer::LegacyDbcsTextBuffer	legacy-dbcs-text-buffer-004389d0.md	none
0x00438A60	implemented	resource_io	LegacyDbcsTextBuffer::result	legacy-dbcs-text-buffer-004389d0.md	none
0x00438A70	implemented	resource_io	LegacyDbcsTextBuffer::~LegacyDbcsTextBuffer	legacy-dbcs-text-buffer-004389d0.md	none
0x00438A80	implemented	resource_io	legacy_cp950_bounded_length	legacy-dbcs-text-buffer-004389d0.md	none
0x00438AC0	implemented	resource_io	LegacyDbcsTextBuffer::x	legacy-dbcs-text-buffer-004389d0.md	none
0x00438AD0	implemented	resource_io	LegacyDbcsTextBuffer::y	legacy-dbcs-text-buffer-004389d0.md	none
0x00438AE0	implemented	resource_io	LegacyDbcsTextBuffer::cursor_byte_offset	legacy-dbcs-text-buffer-004389d0.md	none
0x00438AF0	implemented	resource_io	LegacyDbcsTextBuffer::copy_to	legacy-dbcs-text-buffer-004389d0.md	none
0x00439120	implemented	resource_io	compress_legacy_lzo1x_14	legacy-lzo1x-compressors-00439120.md	none
0x00439210	implemented	resource_io	compress_legacy_lzo1x_impl_14	legacy-lzo1x-compressors-00439120.md	none
0x00439580	implemented	resource_io	compress_legacy_lzo1x_15	legacy-lzo1x-compressors-00439120.md	none
0x00439670	implemented	resource_io	compress_legacy_lzo1x_impl_15	legacy-lzo1x-compressors-00439120.md	none
0x004399E0	implemented	resource_io	decompress_legacy_lzo1x	common-decompressor-004399e0.md	none
0x00439C20	unreachable	resource_io	no_cpp_entry	unused-lzo1x-fast-decoder-00439c20.md	none
