offset_hex	absolute_address	declared_width_bytes	ida_symbol	readers	writers	read_writers	address_takers	instruction_reference_count
0000	004BABA8	1	unk_4BABA8				00405500:sub_405500,0040F3B0:sub_40F3B0,0040F6D0:sub_40F6D0,00427920:sub_427920,0042DAF0:sub_42DAF0,00448360:sub_448360	12
0004	004BABAC	4	dword_4BABAC	00402F80:sub_402F80,00404610:sub_404610,00404C00:sub_404C00,00405500:sub_405500,00406960:sub_406960,004070A0:sub_4070A0,0040AFF0:sub_40AFF0,0040D0C0:sub_40D0C0,0040F6D0:sub_40F6D0,00413CA0:sub_413CA0,00413FE0:sub_413FE0,00415EE0:sub_415EE0,00427920:sub_427920,0042D920:sub_42D920,0042DAF0:sub_42DAF0,0043BFC0:sub_43BFC0,00446700:sub_446700,00448360:sub_448360,00485750:sub_485750	004070A0:sub_4070A0,0040AFF0:sub_40AFF0,0040F6D0:sub_40F6D0			46
0008	004BABB0	4	dword_4BABB0	00402F80:sub_402F80,00404610:sub_404610,00404C00:sub_404C00,00405500:sub_405500,00406960:sub_406960,004070A0:sub_4070A0,0040AFF0:sub_40AFF0,0040E030:sub_40E030,0040F6D0:sub_40F6D0,00413CA0:sub_413CA0,00413FE0:sub_413FE0,00415EE0:sub_415EE0,00427920:sub_427920,0042D920:sub_42D920,0042DAF0:sub_42DAF0,0043BFC0:sub_43BFC0,00446700:sub_446700,00448360:sub_448360,00485750:sub_485750	004070A0:sub_4070A0,0040AFF0:sub_40AFF0,0040F6D0:sub_40F6D0			45
0010	004BABB8	4	dword_4BABB8	00402F80:sub_402F80,004050B0:sub_4050B0,00405500:sub_405500,0040F6D0:sub_40F6D0,004120B0:sub_4120B0,00427920:sub_427920,0042D920:sub_42D920,0042DAF0:sub_42DAF0,0042ED40:sub_42ED40,0043BFC0:sub_43BFC0,00446700:sub_446700,00448360:sub_448360	00405500:sub_405500,0040F6D0:sub_40F6D0,00427920:sub_427920	00427920:sub_427920	0040C020:sub_40C020	70
0014	004BABBC	4	dword_4BABBC	00402F80:sub_402F80				2
0018	004BABC0	4	dword_4BABC0	00405500:sub_405500	00405500:sub_405500,00427920:sub_427920			3
001C	004BABC4	2	word_4BABC4	00405500:sub_405500,0040D610:sub_40D610	00427920:sub_427920			3
001E	004BABC6	2	word_4BABC6	00402F80:sub_402F80,00427920:sub_427920	00427920:sub_427920			5
0020	004BABC8	2	word_4BABC8	00402F80:sub_402F80				2
0024	004BABCC	2	word_4BABCC	00402F80:sub_402F80,0040C060:sub_40C060,0040F6D0:sub_40F6D0,00427920:sub_427920,0042ED40:sub_42ED40				26
0026	004BABCE	2	word_4BABCE	00402F80:sub_402F80,00427920:sub_427920	00427920:sub_427920,0042ED40:sub_42ED40			6
0038	004BABE0	4	dword_4BABE0	00427920:sub_427920			0040F3B0:sub_40F3B0,00425B50:sub_425B50	3
003C	004BABE4	4	dword_4BABE4		00427920:sub_427920			2
0040	004BABE8	4	dword_4BABE8	004070A0:sub_4070A0,00427920:sub_427920,0042E790:sub_42E790,0042ED40:sub_42ED40,0043BFC0:sub_43BFC0,00446700:sub_446700	004070A0:sub_4070A0,00427920:sub_427920		00402F80:sub_402F80,0040F3B0:sub_40F3B0,0040F6D0:sub_40F6D0,00427920:sub_427920,0042ED40:sub_42ED40	31
0048	004BABF0	4	dword_4BABF0	004070A0:sub_4070A0,00427920:sub_427920,0042E790:sub_42E790,0042ED40:sub_42ED40	004070A0:sub_4070A0,00427920:sub_427920			19
004C	004BABF4	4	dword_4BABF4		00427920:sub_427920			3
0060	004BAC08	4	dword_4BAC08		0040F6D0:sub_40F6D0,00427920:sub_427920			2
006C	004BAC14	4	dword_4BAC14	00402F80:sub_402F80,00404C00:sub_404C00,00427920:sub_427920,0042D920:sub_42D920				6
0070	004BAC18	4	dword_4BAC18	00402F80:sub_402F80,00404610:sub_404610,00404C00:sub_404C00,0040E030:sub_40E030,00427920:sub_427920,0042D920:sub_42D920				8
0074	004BAC1C	4	dword_4BAC1C	00402F80:sub_402F80,00405500:sub_405500,00406960:sub_406960,004070A0:sub_4070A0,0040AFF0:sub_40AFF0,00427920:sub_427920,0042E790:sub_42E790,0042ED40:sub_42ED40,00448360:sub_448360	004070A0:sub_4070A0,00427920:sub_427920			27
0078	004BAC20	4	dword_4BAC20		00427920:sub_427920			3
007C	004BAC24	4	dword_4BAC24		0040F6D0:sub_40F6D0,00427920:sub_427920		00427920:sub_427920	3
0080	004BAC28	2	word_4BAC28	00427920:sub_427920				1
0082	004BAC2A	2	word_4BAC2A		00427920:sub_427920			1
0084	004BAC2C	2	word_4BAC2C	004120B0:sub_4120B0	0040F6D0:sub_40F6D0,00427920:sub_427920			9
0088	004BAC30	2	word_4BAC30	00427920:sub_427920	0040F6D0:sub_40F6D0,00427920:sub_427920			5
0098	004BAC40	2	word_4BAC40		00427920:sub_427920			1
