role_offset_hex	access_width_bytes	access_kind	instruction_address	owner_function	base_register	register_role_delta_hex	proof_anchor	proof_note	assembly_instruction
00		address	004054C0	00405430:sub_405430	ESI	+0x10	00405445	ESI 从第二条角色记录 +0x10 开始并按 0xD8 遍历；字段偏移需加上该基址偏移	004054C0                 lea     ecx, [esi-10h]
00		address	004054D2	00405430:sub_405430	ESI	+0x10	00405445	ESI 从第二条角色记录 +0x10 开始并按 0xD8 遍历；字段偏移需加上该基址偏移	004054D2                 lea     edx, [esi-10h]
04	4	read	0040356D	00402F80:sub_402F80	EBX	+0x0	00402FA8	角色索引先乘 0xD8，再由 0x004BABA8 形成精确角色基址；到 0x00403763 改写 EBX 前为止	0040356D                 mov     ecx, [ebx+4]
04	4	read	004035A3	00402F80:sub_402F80	EBX	+0x0	00402FA8	角色索引先乘 0xD8，再由 0x004BABA8 形成精确角色基址；到 0x00403763 改写 EBX 前为止	004035A3                 mov     ecx, [ebx+4]
04	4	read	0040360C	00402F80:sub_402F80	EBX	+0x0	00402FA8	角色索引先乘 0xD8，再由 0x004BABA8 形成精确角色基址；到 0x00403763 改写 EBX 前为止	0040360C                 mov     esi, [ebx+4]
04	4	read	0040361D	00402F80:sub_402F80	EBX	+0x0	00402FA8	角色索引先乘 0xD8，再由 0x004BABA8 形成精确角色基址；到 0x00403763 改写 EBX 前为止	0040361D                 mov     edx, [ebx+4]
04	1	read	0040559F	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	0040559F                 test    byte ptr [ebp+4], 0Fh
04	4	read	00405E00	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405E00                 mov     edx, [ebp+4]
04	4	write	0040603D	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	0040603D                 mov     [ebp+4], eax
04	4	read	00406046	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00406046                 mov     ecx, [ebp+4]
04	4	read	00406192	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00406192                 mov     ecx, [ebp+4]
04	1	read	0040D668	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D668                 mov     al, [esi+4]
04	1	read	0040D682	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D682                 mov     al, [esi+4]
04	4	read_write	0040D6AE	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D6AE                 sub     [esi+4], edx
04	1	read	0040D6B1	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D6B1                 mov     dl, [esi+4]
04	4	read	0040F2CC	0040F280:sub_40F280	ESI	+0x0	0040F281	函数参数直接装入 ESI；调用者传入角色记录，且 ESI 在函数内保持不变	0040F2CC                 mov     edx, [esi+4]
04	4	read	0041212C	004120B0:sub_4120B0	EBX	+0x0	00412121	主角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041212C                 mov     eax, [ebx+4]
04	4	write	00412134	004120B0:sub_4120B0	EBX	+0x0	00412121	主角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412134                 mov     [ebx+4], eax
04	4	read	00412278	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412278                 mov     eax, [esi+4]
04	4	write	00412280	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412280                 mov     [esi+4], eax
04	4	read	004122B3	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004122B3                 mov     eax, [esi+4]
04	4	read	0041256D	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041256D                 mov     edx, [esi+4]
04	4	write	00412572	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412572                 mov     [esi+4], edx
04	1	read	00412719	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	00412719                 test    byte ptr [ebx+4], 0Fh
04	4	read	004127A0	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	004127A0                 mov     eax, [ebx+4]
04	4	read	004127EA	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	004127EA                 mov     eax, [ebx+4]
04	4	read	0042738F	00427300:sub_427300	EDI	+0x1e	00427366	EDI 从第二条角色记录 +0x1E 开始并按 0xD8 遍历；字段偏移需减去该基址偏移	0042738F                 mov     ecx, [edi-1Ah]
04	4	read	00427538	00427300:sub_427300	EDI	+0x0	004274D2	候选角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址；到返回或 0x00427682 改写前为止	00427538                 mov     edx, [edi+4]
04	4	read	00427622	00427300:sub_427300	EDI	+0x0	004274D2	候选角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址；到返回或 0x00427682 改写前为止	00427622                 mov     edx, [edi+4]
04	4	read	00427813	00427300:sub_427300	ESI	+0x0	0042732D	主角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	00427813                 mov     ebp, [esi+4]
04	4	read	0042785C	00427300:sub_427300	ESI	+0x0	0042732D	主角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0042785C                 mov     edi, [esi+4]
08	4	read	004035CD	00402F80:sub_402F80	EBX	+0x0	00402FA8	角色索引先乘 0xD8，再由 0x004BABA8 形成精确角色基址；到 0x00403763 改写 EBX 前为止	004035CD                 mov     edx, [ebx+8]
08	4	read	004035F3	00402F80:sub_402F80	EBX	+0x0	00402FA8	角色索引先乘 0xD8，再由 0x004BABA8 形成精确角色基址；到 0x00403763 改写 EBX 前为止	004035F3                 mov     esi, [ebx+8]
08	4	read	00403633	00402F80:sub_402F80	EBX	+0x0	00402FA8	角色索引先乘 0xD8，再由 0x004BABA8 形成精确角色基址；到 0x00403763 改写 EBX 前为止	00403633                 mov     eax, [ebx+8]
08	4	read	00403641	00402F80:sub_402F80	EBX	+0x0	00402FA8	角色索引先乘 0xD8，再由 0x004BABA8 形成精确角色基址；到 0x00403763 改写 EBX 前为止	00403641                 mov     edx, [ebx+8]
08	1	read	004055A9	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	004055A9                 test    byte ptr [ebp+8], 0Fh
08	4	read	00405DFD	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405DFD                 mov     ecx, [ebp+8]
08	4	write	0040604C	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	0040604C                 mov     [ebp+8], eax
08	4	read	0040618F	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	0040618F                 mov     eax, [ebp+8]
08	1	read	0040D66F	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D66F                 test    [esi+8], bl
08	1	read	0040D6B8	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D6B8                 test    [esi+8], bl
08	4	read	0040D6CC	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D6CC                 mov     edx, [esi+8]
08	4	write	0040D6D3	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D6D3                 mov     [esi+8], edx
08	4	read	0040D6DA	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D6DA                 mov     edx, [esi+8]
08	4	read	0040F2C4	0040F280:sub_40F280	ESI	+0x0	0040F281	函数参数直接装入 ESI；调用者传入角色记录，且 ESI 在函数内保持不变	0040F2C4                 mov     ecx, [esi+8]
08	4	read	0041212F	004120B0:sub_4120B0	EBX	+0x0	00412121	主角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041212F                 mov     ebp, [ebx+8]
08	4	write	0041214D	004120B0:sub_4120B0	EBX	+0x0	00412121	主角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041214D                 mov     [ebx+8], ebp
08	4	read	0041227D	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041227D                 mov     ebx, [esi+8]
08	4	write	0041228B	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041228B                 mov     [esi+8], ebx
08	4	read	004122C7	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004122C7                 mov     eax, [esi+8]
08	4	read	00412577	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412577                 mov     edx, [esi+8]
08	4	write	0041257E	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041257E                 mov     [esi+8], edx
08	4	read	00412723	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	00412723                 mov     eax, [ebx+8]
08	4	read	004127B0	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	004127B0                 mov     eax, [ebx+8]
08	4	read	004127F5	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	004127F5                 mov     ecx, [ebx+8]
08	4	read	004273A0	00427300:sub_427300	EDI	+0x1e	00427366	EDI 从第二条角色记录 +0x1E 开始并按 0xD8 遍历；字段偏移需减去该基址偏移	004273A0                 mov     edx, [edi-16h]
08	4	read	0042752F	00427300:sub_427300	EDI	+0x0	004274D2	候选角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址；到返回或 0x00427682 改写前为止	0042752F                 mov     edx, [edi+8]
