file	block_ordinal	logical_context	container_header_offset_hex	payload_offset_hex	header_layout	compressed_size	declared_output_size	original_destination_capacity	assembly_callsite	original_caller_policy	assembly_equivalent_return	lzo1x_safe_return	actual_output_size	byte_exact_with_assembly	output_sha256	assembly_branch_hits
Save/0.sav	1	preview_state	0x962C	0x9634	u32_compressed,u32_declared	94	1024	full:fixed_global_unknown;preview:2*declared	00408371_full_load;0040976A_preview_load	full_load_ignores_return_and_actual_size;preview_ignores_both	0	0	1024	1	be1ed878c1b04de164eb87eb76cc9528f5ed942f93c1b9c41e110152fb2184ca	end_marker:1;literal_run_short:4;match_10_to_1f_short:1;match_20_to_3f_extended:10;match_20_to_3f_short:2;match_40_to_ff:3;trailing_literal_0:11;trailing_literal_1:2;trailing_literal_2:2
Save/0.sav	2	primary_state	0x9692	0x969A	u32_compressed,u32_declared	19185	30162	declared	00408439_full_load	ignores_return_and_actual_size	0	0	30162	1	cae8bc19c7865bbc47d0b7293f31e7a7d1066280a214dadbbf82cbe6b3f1d215	end_marker:1;literal_run_short:1144;match_10_to_1f_short:56;match_20_to_3f_short:839;match_40_to_ff:2762;trailing_literal_0:1746;trailing_literal_1:1151;trailing_literal_2:83;trailing_literal_3:676
Save/0.sav	3	u16_state	0xE1A7	0xE1AF	u32_compressed,u32_declared	1620	3326	2*declared	00408546_full_load;0040980B_preview_load	both_ignore_return_and_actual_size	0	0	3326	1	d2c1bd536a52ddb6d145f26034a7f374486e040f9a7ec9d5d9aee9400fbe0356	end_marker:1;literal_run_extended:3;literal_run_short:60;match_10_to_1f_short:1;match_20_to_3f_extended:3;match_20_to_3f_short:5;match_40_to_ff:332;trailing_literal_0:71;trailing_literal_1:238;trailing_literal_2:14;trailing_literal_3:17
Save/0.sav	4	embedded_fame	0xEA0B	0xEA15	u8_marker,u8_zero,u32_declared,u32_compressed	2552	7058	declared	00477F79_via_00408A7F	ignores_return_but_requires_actual_size_equal_declared	0	0	7058	1	eb5120ae40f3ba7ab0033f834a10c7f15441ad091b2fa68c628faed65b760879	end_marker:1;literal_run_short:5;match_10_to_1f_short:1;match_20_to_3f_short:499;match_40_to_ff:256;trailing_literal_0:259;trailing_literal_1:490;trailing_literal_2:4;trailing_literal_3:2
Save/0.sav	5	tail_pair	0xF491	0xF499	u32_compressed,u32_declared	13	104	0xA8	00408B0E_full_load	ignores_return_and_actual_size	0	0	104	1	39f37f8d1931b3bdf767e7510dd69509fbf23af1f7654933d0a4d291cbdd4418	end_marker:1;literal_run_short:1;match_10_to_1f_short:1;match_20_to_3f_extended:1;trailing_literal_0:1
Save/1.sav	1	preview_state	0x962C	0x9634	u32_compressed,u32_declared	88	1024	full:fixed_global_unknown;preview:2*declared	00408371_full_load;0040976A_preview_load	full_load_ignores_return_and_actual_size;preview_ignores_both	0	0	1024	1	7afd4316a52eb3fbbda1c0fc88f7e66e297ab532a9b78c8c25a078de58670616	end_marker:1;literal_run_short:4;match_10_to_1f_short:1;match_20_to_3f_extended:7;match_40_to_ff:8;trailing_literal_0:11;trailing_literal_1:2;trailing_literal_2:2
Save/1.sav	2	primary_state	0x968C	0x9694	u32_compressed,u32_declared	19186	30162	declared	00408439_full_load	ignores_return_and_actual_size	0	0	30162	1	30f2192398469bdfca5e82a64e9b2876d98c36454b58642adb984f5bd2b6da04	end_marker:1;literal_run_short:1145;match_10_to_1f_short:56;match_20_to_3f_short:837;match_40_to_ff:2764;trailing_literal_0:1746;trailing_literal_1:1151;trailing_literal_2:83;trailing_literal_3:676
Save/1.sav	3	u16_state	0xE1A2	0xE1AA	u32_compressed,u32_declared	1617	3322	2*declared	00408546_full_load;0040980B_preview_load	both_ignore_return_and_actual_size	0	0	3322	1	ea58e6e6b50ceca5975d028481ab35d7b55d2c95b81edb797586334ec9eb4d1f	end_marker:1;literal_run_extended:5;literal_run_short:59;match_10_to_1f_short:1;match_20_to_3f_extended:3;match_20_to_3f_short:5;match_40_to_ff:333;trailing_literal_0:72;trailing_literal_1:238;trailing_literal_2:14;trailing_literal_3:17
Save/1.sav	4	embedded_fame	0xEA03	0xEA0D	u8_marker,u8_zero,u32_declared,u32_compressed	2552	7058	declared	00477F79_via_00408A7F	ignores_return_but_requires_actual_size_equal_declared	0	0	7058	1	eb5120ae40f3ba7ab0033f834a10c7f15441ad091b2fa68c628faed65b760879	end_marker:1;literal_run_short:5;match_10_to_1f_short:1;match_20_to_3f_short:499;match_40_to_ff:256;trailing_literal_0:259;trailing_literal_1:490;trailing_literal_2:4;trailing_literal_3:2
Save/1.sav	5	tail_pair	0xF489	0xF491	u32_compressed,u32_declared	13	104	0xA8	00408B0E_full_load	ignores_return_and_actual_size	0	0	104	1	39f37f8d1931b3bdf767e7510dd69509fbf23af1f7654933d0a4d291cbdd4418	end_marker:1;literal_run_short:1;match_10_to_1f_short:1;match_20_to_3f_extended:1;trailing_literal_0:1
