metric	value
save_files	40
total_file_bytes	2508462
minimum_file_size	61723
maximum_file_size	63464
compressed_streams	200
comparison_library_version	2.10
assembly_exact_input_streams	200
assembly_exact_declared_output_streams	200
lzo1x_safe_success_streams	200
byte_exact_streams	200
compressed_bytes	941822
decompressed_bytes	1666172
concatenated_output_sha256	c7c88439df420d9125a939f7240918736ec84877eb6991c216fbb8a0357b415e
embedded_fame_streams	40
embedded_fame_compressed_bytes	99578
embedded_fame_decompressed_bytes	292498
embedded_fame_concatenated_output_sha256	987791c3b3051861e4dcbf12da3615d81239b21c6c22cbc74d8acd872bf0c208
preview_state_streams	40
preview_state_compressed_bytes	7125
preview_state_decompressed_bytes	40960
preview_state_concatenated_output_sha256	6063cc8194d06ea9a56ac40c63c0d22e656898263d4369ee1cece3486a95b025
primary_state_streams	40
primary_state_compressed_bytes	760955
primary_state_decompressed_bytes	1187582
primary_state_concatenated_output_sha256	c5f25c1601de5fbe040784aa1df8a155b245cf75c13cd4d397429b41cc02775f
tail_pair_streams	40
tail_pair_compressed_bytes	658
tail_pair_decompressed_bytes	4160
tail_pair_concatenated_output_sha256	ec3ad68582965932d71834bd56abedd0955c65bbfbf82f57d97e78e6d450dd21
u16_state_streams	40
u16_state_compressed_bytes	73506
u16_state_decompressed_bytes	140972
u16_state_concatenated_output_sha256	e346c8282f1dc5505d2c5e9dfb91520f1e05daae5d3be5fd18d4a863f64571d5
branch_end_marker_hits	200
branch_literal_run_extended_hits	385
branch_literal_run_short_hits	49022
branch_match_10_to_1f_short_hits	2074
branch_match_20_to_3f_extended_hits	536
branch_match_20_to_3f_short_hits	51989
branch_match_40_to_ff_hits	133404
branch_trailing_literal_0_hits	82025
branch_trailing_literal_1_hits	74147
branch_trailing_literal_2_hits	4474
branch_trailing_literal_3_hits	27157
