file	file_size	file_sha256	timestamp_ascii_12	preview_header_offset_hex	primary_state_header_offset_hex	primary_state_end_offset_hex	u16_state_header_offset_hex	u16_state_end_offset_hex	raw_0x84_offset_hex	raw_0x180_offset_hex	fame_outer_size_offset_hex	fame_outer_record_size	fame_marker_hex	fame_declared_output_size	fame_compressed_size	fame_group_1_record_count	fame_group_2_record_count	fame_group_3_record_count	fame_total_record_count	post_fame_raw_0x84_offset_hex	tail_block_header_offset_hex	tail_compressed_size	tail_declared_output_size	logical_end_offset_hex	ends_exactly_at_eof
Save/0.sav	62630	0edb78d72112bc52011851fb381d333c4cba5d96e5569735ce14b3274e246ded	201105162308	0x962C	0x9692	0xE18B	0xE1A7	0xE803	0xE803	0xE887	0xEA07	2562	0100	7058	2552	2	500	0	502	0xF40D	0xF491	13	104	0xF4A6	1
Save/1.sav	62622	30a27fd33e58d28abb699a8fe65a17e3436cf52af6382d01752f23466b76cbc3	201105171252	0x962C	0x968C	0xE186	0xE1A2	0xE7FB	0xE7FB	0xE87F	0xE9FF	2562	0100	7058	2552	2	500	0	502	0xF405	0xF489	13	104	0xF49E	1
Save1/0.sav	62195	10e57a13b6eb8364b6d9d305c6a0538794a643d5dbce26e6ac5d59cf739db0ff	200507281130	0x962C	0x9688	0xDFFC	0xE018	0xE64F	0xE64F	0xE6D3	0xE853	2563	0100	7044	2553	1	500	0	501	0xF25A	0xF2DE	13	104	0xF2F3	1
Save1/1.sav	62237	5ef80447167986312076070af73fbb7a2ffad3ad7a66a8c53bab1bb2cc432654	200507281146	0x962C	0x968C	0xE00F	0xE02B	0xE67A	0xE67A	0xE6FE	0xE87E	2562	0100	7058	2552	2	500	0	502	0xF284	0xF308	13	104	0xF31D	1
Save1/2.sav	62256	5006106a3550d610bd4b6388e2dccc6e7bd98b2f5bd913ce9cdf417a696ab381	200507281151	0x962C	0x968E	0xE01D	0xE039	0xE691	0xE691	0xE715	0xE895	2558	0100	7058	2548	2	500	0	502	0xF297	0xF31B	13	104	0xF330	1
Save1/3.sav	62284	c28734a0fe5f85ac43f7ecbbeb6de9d420de626b51a77895b2f4a0809704f731	200507281835	0x962C	0x9696	0xE02A	0xE046	0xE6A9	0xE6A9	0xE72D	0xE8AD	2562	0100	7058	2552	2	500	0	502	0xF2B3	0xF337	13	104	0xF34C	1
Save1/4.sav	62283	a7daa697dae9f3f208e1f3afffae415af84f902b095d466080d0ff1926fd4c29	200507281855	0x962C	0x969C	0xE01D	0xE039	0xE69A	0xE69A	0xE71E	0xE89E	2576	0100	7086	2566	4	500	0	504	0xF2B2	0xF336	13	104	0xF34B	1
Save1/5.sav	62290	c90a47947376f416a560108fc5584b0bc84f20716c4ec5a8c84c4455b73b5408	200507282154	0x962C	0x96AF	0xE055	0xE071	0xE716	0xE716	0xE79A	0xE91A	2459	0100	7128	2449	7	500	0	507	0xF2B9	0xF33D	13	104	0xF352	1
Save1/6.sav	62321	8fa30333274153c249793e8c60be3d7f0925237209190169e1a50ec4de663156	200507291044	0x962C	0x96C8	0xE031	0xE04D	0xE71C	0xE71C	0xE7A0	0xE920	2484	0100	7170	2474	7	500	3	510	0xF2D8	0xF35C	13	104	0xF371	1
Save1/7.sav	62333	8bc0dc87b24936b6583de572c7126d7120d252594b604813078266c02641b243	200507291143	0x962C	0x96C2	0xE028	0xE044	0xE712	0xE712	0xE796	0xE916	2506	0100	7184	2496	7	500	4	511	0xF2E4	0xF368	13	104	0xF37D	1
Save1/8.sav	62470	717e1ce0d58d06b40bd1d71bd3c43c0dacfd7dc946a9ba5add366052ca937dda	200507291456	0x962C	0x96D3	0xE096	0xE0B2	0xE7A3	0xE7A3	0xE827	0xE9A7	2498	0100	7184	2488	7	500	4	511	0xF36D	0xF3F1	13	104	0xF406	1
Save1/9.sav	62427	1602fefd8f217e876974770b5ff46fa1afaa6fe48bddf5630e0c533ad214bb93	200507291536	0x962C	0x96D6	0xE06E	0xE08A	0xE77A	0xE77A	0xE7FE	0xE97E	2496	0100	7184	2486	7	500	4	511	0xF342	0xF3C6	13	104	0xF3DB	1
Save1/10.sav	62512	550205c230ab827afd87de6269d622a17adfb0eabc7cca8bb255a1cd5e539792	200507300916	0x962C	0x96E7	0xE100	0xE11C	0xE81B	0xE81B	0xE89F	0xEA1F	2389	0100	7212	2379	9	500	4	513	0xF378	0xF3FC	44	104	0xF430	1
Save1/11.sav	62514	4724ec461f996f47aff94cca91163cea360fd086e44f07d4018af817a38d54e7	200507301047	0x962C	0x96EA	0xE0F8	0xE114	0xE825	0xE825	0xE8A9	0xEA29	2412	0100	7254	2402	12	500	4	516	0xF399	0xF41D	13	104	0xF432	1
