archive	record_ordinal	sound_id	name_bytes_hex	name_cp950	raw_size_field_hex	runtime_payload_size_bytes	raw_size_high_bits_hex	payload_offset_hex	stored_metadata_id	raw_type_field_hex	runtime_type_low2	reserved_24_hex	reserved_28_hex	nonempty	same_offset_view_count	view_kind
all.snd	1	1	6361743031	cat01	000085C6	34246	00000000	000203BC	1	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	2	2	6361743032	cat02	0000D97A	55674	00000000	00028982	2	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	3	3	646F673031	dog01	0000F00E	61454	00000000	000362FC	3	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	4	4	646F673032	dog02	00008F56	36694	00000000	0004530A	4	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	5	5	646F673033	dog03	0000EEDE	61150	00000000	0004E260	5	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	6	6	3133302D31	130-1	0000D4AE	54446	00000000	0005D13E	6	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	7	7	3133302D32	130-2	0000622E	25134	00000000	0006A5EC	7	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	8	8	3133302D33	130-3	00002F9E	12190	00000000	0007081A	8	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	9	9	3133302D34	130-4	0000920A	37386	00000000	000737B8	9	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	10	10	A5A8B8BF31	巨蛾1	00003983	14723	00000000	0007C9C2	10	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	11	11	A5A8B8BF32	巨蛾2	000051D5	20949	00000000	00080345	11	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	12	12	A6E6ABCD31	行屍1	00009376	37750	00000000	0008551A	12	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	13	13	A6E6ABCD32	行屍2	00008AB6	35510	00000000	0008E890	13	00000000	0	00000000	00000000	1	1	base_physical_block
all.snd	14	14	A8DCBEA731	侏儒1	0000451A	17690	00000000	00097346	14	00000000	0	00000000	00000000	1	1	base_physical_block
