source_format_tag	channels	sample_rate	byte_rate	block_align	bits_per_sample	source_marker_16_hex	returned_chunk_36_hex	entry_count
1	1	11025	11025	1	8	6461	64617461	9
1	1	11025	22050	2	16	6461	64617461	18
1	1	16000	16000	1	8	6461	64617461	1
1	1	22000	22000	1	8	6461	64617461	4
1	1	22000	44000	2	16	6461	64617461	3
1	1	22050	22050	1	8	6461	64617461	62
1	1	22050	44100	2	16	0000	00007461	2
1	1	22050	44100	2	16	6461	64617461	540
1	1	22255	22255	1	8	6461	64617461	4
1	1	44100	44100	1	8	6461	64617461	2
1	1	44100	88200	2	16	6461	64617461	2
1	2	22050	44100	2	8	6461	64617461	1
1	2	22050	88200	4	16	6461	64617461	5
1	2	44100	176400	4	16	6461	64617461	11
