archive	sound_id	name_cp950	payload_offset_hex	runtime_payload_size_bytes	runtime_type	loader_prefix_bytes	loader_allocation_bytes	source_format_tag	source_channels	source_sample_rate	source_byte_rate	source_block_align	source_bits_per_sample	source_marker_16_hex	returned_first4_hex	returned_chunk_36_hex	returned_riff_size_field	returned_data_size_field	bytes_after_declared_data	raw_payload_sha256	loader_return_sha256
all.snd	1	cat01	000203BC	34246	0	24	34270	1	1	22050	44100	2	16	6461	52494646	64617461	34246	34222	4	8a561d771938b125e16c095d68373c3bdcad153276a58b729d9ac10edb17e6a6	6c11d11b281d3ea422b4c630bc601aa9ab1746ece9abea4911d3fa358a762fc7
all.snd	2	cat02	00028982	55674	0	24	55698	1	1	22050	44100	2	16	6461	52494646	64617461	55674	55650	4	59fbcead9eed031208a83b6c820aef3dd722c4be241ce1d90ac5fc1bb4f229a8	92e8653054e948aafa2980eb1604aad65a6761f8f04a135beab585f56ac84ac4
all.snd	3	dog01	000362FC	61454	0	24	61478	1	1	22050	44100	2	16	6461	52494646	64617461	61454	61430	4	24159dfd5ba5bcf555849b955a6e4457cab50688ed0a6a64645b54dea4ddb29c	a56a5f149fea472fb36b67470c30b20e10287db2e59c64533471a37d5b02c1cd
all.snd	4	dog02	0004530A	36694	0	24	36718	1	1	22050	44100	2	16	6461	52494646	64617461	36694	36670	4	cfc010fdf759965f1371eb1e958534e84b0bcf195a67fae74cf91fb590911122	70b47c778401498218a66726d87935bacd0b71d9b414a63964d4ec2cabd284a4
all.snd	5	dog03	0004E260	61150	0	24	61174	1	1	22050	44100	2	16	6461	52494646	64617461	61150	61126	4	3643a9d747be9f2bd9ea1a76af3da3e4064bf3626c88d5016e7fe7157fe11564	7e0cb3cb7689a3336c0050a23d9613606ebe5f0136cfd702e289f0ea39f11c01
all.snd	6	130-1	0005D13E	54446	0	24	54470	1	1	22050	44100	2	16	6461	52494646	64617461	54446	54422	4	988d5e76e39c406b27f56b7358fdfc9563f0547a3cb7a6023ac05c65f2016d2b	828ff75f80bffa785e673088e5709b46d4be6c5a145b54f7aa6ddec5a4340b31
all.snd	7	130-2	0006A5EC	25134	0	24	25158	1	1	22050	44100	2	16	6461	52494646	64617461	25134	25110	4	8fbc48243774c0affc3476ad8d316e5de9771a1625514a3f440f725330d2efaa	96d3aac4e8f31715d890860a3e7abcc9f63db49726b025399863b6b02d70dab5
all.snd	8	130-3	0007081A	12190	0	24	12214	1	1	22050	44100	2	16	6461	52494646	64617461	12190	12166	4	39aefc68626ae73c6fed1aa54f1578588004d67587c376f18569aab91fd936c8	8ff05b6356e2d0d02678dec82d5726959713df5d9a1cded0b27d58b8885b0c9d
all.snd	9	130-4	000737B8	37386	0	24	37410	1	1	22050	44100	2	16	6461	52494646	64617461	37386	37362	4	56ede59f482c017d40d657639e35fde143f0de9727800841c6a34ee23c1b8ffa	c3ebd6e163b1db0ee9ab65b7cd05112d7c91347b7f009869bd894dfdba83ac5c
all.snd	10	巨蛾1	0007C9C2	14723	0	24	14747	1	1	22050	22050	1	8	6461	52494646	64617461	14723	14699	4	49fc44f1c3f219f40ca3df3bf072bab129abf533a8ec3301641afe5efbf34f52	c3ba8d2d545ab9b22a6cced861339514ed5d0be6ed4e18b832b9e6e57cfca729
all.snd	11	巨蛾2	00080345	20949	0	24	20973	1	1	22050	22050	1	8	6461	52494646	64617461	20949	20925	4	c0c33ecac6bfc78f495d6eea27354d7eb316b1f1b5daf46e212d09a72a3930f0	ee3f62900ad1cd51f761c62c0b72b9ad6bd1e8fd11786a74fe197ddf30eef6e7
all.snd	12	行屍1	0008551A	37750	0	24	37774	1	1	22050	44100	2	16	6461	52494646	64617461	37750	37726	4	1ec2640708f70dc519dd78d762978a8a69ee65916a89ad3009de61af9f506d7a	9145cfe78c0967cfbc7430095b27fcf97ac2c7d6d48a6d8707c375a8e9b868d0
all.snd	13	行屍2	0008E890	35510	0	24	35534	1	1	22050	44100	2	16	6461	52494646	64617461	35510	35486	4	cb95695c883e2ec4eb3e9badc38547f1eeccc2d0430ff7fba58b6658e0c8cace	7c03fe21868bc1ddd0c1b1351f024a0fbeff2b6669a606221807c5343c390b88
all.snd	14	侏儒1	00097346	17690	0	24	17714	1	1	22050	44100	2	16	6461	52494646	64617461	17690	17666	4	05ccf96583d0aafdc6586f89350e60848c153999a1b478e94f045161d80bf899	afb229addde8fa38f24851c80198cec545816c7b958f6b46dfd4c81fb980c01b
all.snd	15	侏儒2	0009B860	33642	0	24	33666	1	1	22050	44100	2	16	6461	52494646	64617461	33642	33618	4	e9c6826b15bf8c0bb86c22602de056867ad718bc7ba18791f74c9315bf3f1c2c	bd3aa894aaec93192d82f859028c67661c879872cb56da731cae23c3b995d678
all.snd	16	侏儒3	000A3BCA	4264	0	24	4288	1	1	11025	11025	1	8	6461	52494646	64617461	4264	4240	4	f124c8dd914b402c9ac643dfee5c9c35dbb3a60dcec968d4b356a21774a47fda	df34b81c2f614a89a40f7d0473dd7147c19f45bcba3cbf7e231421e90137b584
all.snd	17	侏儒3-1	000A4C72	7578	0	24	7602	1	1	22050	44100	2	16	6461	52494646	64617461	7578	7554	4	79eb636e661996507bac13650a9ef1e83e3e24c3097db71e95085286657b48a3	61a198453f81e6b4224bb11e3bfc998f935d78faf95b38d517e1aa042a1e4fe7
all.snd	18	幽靈1	000CD357	44154	0	24	44178	1	1	22050	44100	2	16	6461	52494646	64617461	44154	44130	4	ab26bb71f21b861c65636dc9e9f3993c88f54205e1722a30a0138b7010e7cff9	94a02619c46f9e7cd2acb8c06149cc5bff5a287bd1d962569ebe7a139a9be045
all.snd	19	毒蟾1	000A6A0C	9788	0	24	9812	1	1	22050	44100	2	16	6461	52494646	64617461	9788	9764	4	1f4d832fb0433954fafd430977c62b5331c4a05c75844d724fb04a53807026d4	14d02c3463760e5b569e4ed9e18c812c3359092f404e896cd7f85534aa906431
all.snd	20	毒蟾2	000A9048	10162	0	24	10186	1	1	22050	44100	2	16	6461	52494646	64617461	10162	10138	4	81fa8f55e7f47a843d0285b7659081f03d3a4242b855b8c582936a86dbf4fda7	5ea4cd1679915b4b87a7de3891e022c79280e0e842ca2d9b1d028c3f692702ab
all.snd	21	毒蟾3	000AB7FA	33552	0	24	33576	1	1	11025	22050	2	16	6461	52494646	64617461	33552	33528	4	b61b5f61eb25f109f3053d5e8c5f97d7b10e4f60242cc8e6f85371926d17a4f8	496110749ae9118ccc180da004058b8b80ccb194556cca123837bf823cc17c96
all.snd	22	蛇1	0040230A	20884	0	24	20908	1	1	22050	44100	2	16	6461	52494646	64617461	20884	20860	4	b09f0f1ee5717d8e9b7d9cc590538a627d43e09e94f755abbae386f181d59fc6	5885dbabb2177142e1a8b2e04c895510e33c03186bc0f732e43b4fd37c2d2230
all.snd	23	蛇2	0040749E	4322	0	24	4346	1	1	22050	44100	2	16	6461	52494646	64617461	4322	4298	4	f008bd6b238b3883c1c7e36ed1003d19f9a727fb4ddd3c528e6c9fe183d62a4a	d1e433985eebf414a188cd0955a888dba99c65408836d2ac4dd0cac5396aaf43
all.snd	24	蛇3	00408580	29166	0	24	29190	1	1	22050	44100	2	16	6461	52494646	64617461	29166	29142	4	1aa6a745ae1d77f9b1240ade37707e7328571eb6ae92c45a6cd0e5f1b4b8c0d2	86725bc83d8652d7683a6d29e8e6b46788b6d7c594331a2c78cbf71987f85f7e
all.snd	25	蜘蛛1-1	000B3B0A	18383	0	24	18407	1	1	22050	22050	1	8	6461	52494646	64617461	18383	18359	4	48042f101407eeeb51caee413129d772d88871abd1f7738ef8c3d06b000bec51	e526ca400724736263579f0ae8824a5bb09727cebbe54ff1966ade50eb1ba18b
all.snd	26	蜘蛛1-2	000B82D9	6903	0	24	6927	1	1	22050	22050	1	8	6461	52494646	64617461	6903	6879	4	146459d260c45768c477f95e61ad9a644bf0ff425374e547427a7d54be242577	d5579c6a1e1251072642f1902d53a9435c10d4f0b04dd920422b9f4021811695
all.snd	27	蜘蛛2	000B9DD0	4252	0	24	4276	1	1	22050	22050	1	8	6461	52494646	64617461	4252	4228	4	cb7280eb5f66a82c1c2e09b98c7308dba4132268f10edad51e0c5894106857f4	bee6f11983d21e9b627fd88803c9e3952150cc41866c7b9e703fa1be2828ad27
all.snd	28	蝙蝠1	000BAE6C	16622	0	24	16646	1	1	22050	22050	1	8	6461	52494646	64617461	16622	16598	4	945c6562e38e7db286c2338dc540df7752085198900af9e13b4799e974fa2a27	5788331b28b5a4f4c78260e80ea3e873c115d485bbd303d1caed9f48a933d85f
all.snd	29	蝙蝠2	000BEF5A	14308	0	24	14332	1	1	22050	22050	1	8	6461	52494646	64617461	14308	14284	4	e8156fb4fe97bf6f7f9103c806393ac2784c470ce5cf366f3c1dd2ecd7fe594b	1e87cf0e42267e3a9a000fc41dd5da418737a1a593c3265d6d37cc9cfeb561e3
all.snd	30	蝙蝠3	000C273E	44057	0	24	44081	1	1	22050	22050	1	8	6461	52494646	64617461	44057	44033	4	50aa873ee4c5c460367859f4b62f4608c4f242d63f0cd2456de54fff702f2540	da740e9dc9815cae151af7e26d06a3148c11d7a44a2eb6fbcb0f372f95275c52
all.snd	31	幽靈2	000D7FD1	50718	0	24	50742	1	1	22050	44100	2	16	6461	52494646	64617461	50718	50694	4	2a54ee4c56ff107f0a5a55a52b718ded7d864fa3da2f4e0b801dd7bd24b58840	bbfd15ad8fd0aed904bccf7d3ddcb825deccdb1641bdbf331f830fddcce64258
all.snd	32	法軍1-1	000E45EF	6442	0	24	6466	1	1	22050	44100	2	16	6461	52494646	64617461	6442	6418	4	6fe4a31b788235362a0974ba2ab4853caff9c0d9b004024c4b44fdb3adbb6b3f	f85a77e5d95811367a80cc575f2bece4bd8f24e39f1564127cf6848ec152276b
