slot_address	slot_name	indirect_callsites	callsite_count	guard_contract	call_phase	stack_argument_bytes_at_indirect_calls	return_use	assignment_count_in_sub_43B480	written_groups	missing_groups	missing_group_behavior	review_status
0x004FB808	dword_4FB808	0x0043A479	1	slot != 0	optional pre-update callback	0	ignored or overwritten before observation	2	G08;G09	G01;G02;G03;G04;G05;G06;G07	not written by listed groups; previous or dynamically installed value is retained	assembly_reviewed
0x004FC64C	dword_4FC64C	0x0043A47C	1	unconditional	base update callback	0	ignored or overwritten before observation	9	G01;G02;G03;G04;G05;G06;G07;G08;G09		written by every configuration group	assembly_reviewed
0x004FC838	dword_4FC838	0x0043A498;0x0043A4C2	2	(dword_4B7CB0 != 0 and dword_4B7CBC == 1);(dword_4FC908 == 0 and dword_4B7D40 != 0 and dword_4B7D4C == 1)	two overlay callbacks	0	ignored or overwritten before observation	9	G01;G02;G03;G04;G05;G06;G07;G08;G09		written by every configuration group	assembly_reviewed
0x004FC83C	dword_4FC83C	0x0043A4F0	1	dword_4B7CD0 != 0 and dword_4B7CDC == 1	conditional layer	0	ignored or overwritten before observation	9	G01;G02;G03;G04;G05;G06;G07;G08;G09		written by every configuration group	assembly_reviewed
0x004FBF7C	dword_4FBF7C	0x0043A507	1	dword_4B7D50 != 0 and dword_4B7D5C == 1	conditional layer	0	ignored or overwritten before observation	6	G01;G02;G03;G06;G08;G09	G04;G05;G07	not written by listed groups; previous or dynamically installed value is retained	assembly_reviewed
0x004FC828	dword_4FC828	0x0043A528	1	dword_4B7D10 != 0 and (dword_4B7D1C == 1 or ((dword_4B7D1C & 1) == 0 and dword_4B7D1C > 7))	conditional layer	0	ignored or overwritten before observation	9	G01;G02;G03;G04;G05;G06;G07;G08;G09		written by every configuration group	assembly_reviewed
0x004FC4E8	dword_4FC4E8	0x0043A549	1	dword_4B7CF0 != 0 and (dword_4B7CFC == 1 or ((dword_4B7CFC & 1) == 0 and dword_4B7CFC > 7))	conditional layer	0	ignored or overwritten before observation	9	G01;G02;G03;G04;G05;G06;G07;G08;G09		written by every configuration group	assembly_reviewed
0x004FBF78	dword_4FBF78	0x0043A56A	1	dword_4B7D30 != 0 and (dword_4B7D3C == 1 or ((dword_4B7D3C & 1) == 0 and dword_4B7D3C > 7))	conditional layer	0	ignored or overwritten before observation	9	G01;G02;G03;G04;G05;G06;G07;G08;G09		written by every configuration group	assembly_reviewed
0x004FBA10	dword_4FBA10	0x0043A58B	1	dword_4B7D20 != 0 and (dword_4B7D2C == 1 or ((dword_4B7D2C & 1) == 0 and dword_4B7D2C > 7))	conditional layer	0	ignored or overwritten before observation	9	G01;G02;G03;G04;G05;G06;G07;G08;G09		written by every configuration group	assembly_reviewed
0x004FBAC0	dword_4FBAC0	0x0043A5B3	1	dword_4B7CE0 != 0 and (dword_4B7CEC == 1 or (stale AL bit0 == 0 and dword_4B7CEC > 7))	conditional layer; bit test uses AL, not ECX	0	ignored or overwritten before observation	9	G01;G02;G03;G04;G05;G06;G07;G08;G09		written by every configuration group	assembly_reviewed
0x004FC788	dword_4FC788	0x0043A5DB	1	dword_4B7D00 != 0 and (dword_4B7D0C == 1 or (stale AL bit0 == 0 and dword_4B7D0C > 7))	conditional layer; bit test uses AL, not ECX	0	ignored or overwritten before observation	9	G01;G02;G03;G04;G05;G06;G07;G08;G09		written by every configuration group	assembly_reviewed
0x004FC3C0	dword_4FC3C0	0x0043A603	1	(dword_4B7CC0 != 0 and dword_4B7CCC == 1) or (dword_4B7D70 != 0 and dword_4B7D7C == 1)	combined conditional layer	0	ignored or overwritten before observation	9	G01;G02;G03;G04;G05;G06;G07;G08;G09		written by every configuration group	assembly_reviewed
0x004FBEC8	dword_4FBEC8	0x0043A6DB	1	word_4FC900 != 1	post-update callback in sub_43A610	0	ignored or overwritten before observation	9	G01;G02;G03;G04;G05;G06;G07;G08;G09		written by every configuration group	assembly_reviewed
