assignment_address	group_id	group_assignment_order	selector_contract	slot_address	slot_name	target_expression	target_address	target_name	target_class	abi_evidence_source	positive_stack_argument_hint_count	retn_pop_values_hex	cleanup_contract	indirect_call_stack_argument_bytes	indirect_return_use	review_status
0x0043B49F	G01	1	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FC64C	dword_4FC64C	offset sub_4455E0	0x004455E0	sub_4455E0	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B4A9	G01	2	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FC828	dword_4FC828	offset sub_445C90	0x00445C90	sub_445C90	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B4B3	G01	3	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FC4E8	dword_4FC4E8	offset sub_445E90	0x00445E90	sub_445E90	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B4BD	G01	4	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FBAC0	dword_4FBAC0	offset sub_446420	0x00446420	sub_446420	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B4C7	G01	5	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FC788	dword_4FC788	offset sub_446550	0x00446550	sub_446550	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B4D1	G01	6	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FBF78	dword_4FBF78	offset sub_446090	0x00446090	sub_446090	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B4DB	G01	7	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FBA10	dword_4FBA10	offset sub_446260	0x00446260	sub_446260	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B4E5	G01	8	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FC83C	dword_4FC83C	offset sub_446680	0x00446680	sub_446680	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B4EF	G01	9	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FBF7C	dword_4FBF7C	offset sub_4466A0	0x004466A0	sub_4466A0	assembly_proc_only_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B4F9	G01	10	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FC3C0	dword_4FC3C0	offset sub_446700	0x00446700	sub_446700	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B503	G01	11	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FC838	dword_4FC838	offset sub_446FE0	0x00446FE0	sub_446FE0	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B50D	G01	12	arg0 == 2 and word_4FB8A8 in [0x001E,0x0020]	0x004FBEC8	dword_4FBEC8	offset sub_447100	0x00447100	sub_447100	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B524	G02	1	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FC64C	dword_4FC64C	offset sub_4407F0	0x004407F0	sub_4407F0	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B52E	G02	2	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FC828	dword_4FC828	offset sub_440B20	0x00440B20	sub_440B20	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B538	G02	3	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FC4E8	dword_4FC4E8	offset sub_440C20	0x00440C20	sub_440C20	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B542	G02	4	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FBAC0	dword_4FBAC0	offset sub_440F00	0x00440F00	sub_440F00	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B54C	G02	5	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FC788	dword_4FC788	offset sub_440FB0	0x00440FB0	sub_440FB0	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B556	G02	6	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FBF78	dword_4FBF78	offset sub_440D20	0x00440D20	sub_440D20	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B560	G02	7	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FBA10	dword_4FBA10	offset sub_440E10	0x00440E10	sub_440E10	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B56A	G02	8	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FC83C	dword_4FC83C	offset sub_441060	0x00441060	sub_441060	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B574	G02	9	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FBF7C	dword_4FBF7C	offset nullsub_1	0x0044A240	nullsub_1	one_byte_null_stub	collapsed_one_byte_stub	0	0x0	one-byte null stub	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B57E	G02	10	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FC3C0	dword_4FC3C0	offset sub_441160	0x00441160	sub_441160	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B588	G02	11	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FC838	dword_4FC838	offset sub_441590	0x00441590	sub_441590	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
0x0043B592	G02	12	arg0 == 2 and word_4FB8A8 in [0x0024,0x0029]	0x004FBEC8	dword_4FBEC8	offset sub_441680	0x00441680	sub_441680	named_proc_callback	function_abi_candidates.tsv	0	0x0	plain_retn_caller_or_register_abi	0	ignored or overwritten before observation	assembly_reviewed_zero_stack_callback_contract
