audit_order	address	navigation_name	entry_family	candidate_confidence_navigation	direct_callers_navigation	direct_callees_navigation	prior_review_navigation	closure_status	closure_evidence	closure_rule
1	0x00406D30	sub_406D30	high_priority_dispatch	confirmed_boundary	0x00402F80:3;0x0040A0D0:1;0x0040A570:1;0x00427920:2;0x00446700:1;0x004490C0:2;0x0044BDA0:2	0x00409600:3;0x004099C0:3;0x00409B80:1;0x0040DC00:1	manual_reviewed_current_assembly	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
2	0x00406E00	sub_406E00	high_priority_dispatch	confirmed_boundary	0x004251B0:1	0x004099C0:3	manual_reviewed_current_assembly	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
3	0x00406E30	sub_406E30	high_priority_dispatch	confirmed_boundary	0x0040A570:1	0x00406EB0:1;0x00406F70:1;0x004070A0:1	manual_reviewed_current_assembly	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
4	0x00406EB0	sub_406EB0	high_priority_dispatch	medium	0x00406E30:1	0x004372D0:5;0x00437300:1	mechanical_candidate_not_manually_reviewed	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
5	0x00406F70	sub_406F70	high_priority_dispatch	medium	0x00406E30:1	0x0040DC50:1;0x0040DC80:1;0x0040DCB0:1	mechanical_candidate_not_manually_reviewed	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
6	0x0040F890	DialogFunc	shared_dialog_and_party_helpers	confirmed_boundary		0x004103C0:2;0x00410600:1;0x00410730:5;0x00411030:1;0x00430BE0:10;0x0043B9A0:2;0x0044A240:2;0x0044D2D0:2;0x0044D680:1;0x00477780:4;0x00477920:2;0x00477A20:2;0x00487C10:2;0x004885A0:8	manual_reviewed_current_assembly	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
7	0x004103C0	sub_4103C0	shared_dialog_and_party_helpers	confirmed_boundary	0x0040F890:2		manual_reviewed_current_assembly	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
8	0x00410490	sub_410490	shared_dialog_and_party_helpers	confirmed_boundary	0x00410730:3	0x00487C10:1;0x004885A0:1	manual_reviewed_current_assembly	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
9	0x00410600	sub_410600	shared_dialog_and_party_helpers	confirmed_boundary	0x0040F890:1	0x00487C10:1;0x004885A0:1	manual_reviewed_current_assembly	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
10	0x00410730	sub_410730	shared_dialog_and_party_helpers	confirmed_boundary	0x0040F890:5	0x00410490:3;0x004112B0:1;0x00477800:2;0x004779F0:1;0x00477B40:1	manual_reviewed_current_assembly	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
11	0x00411030	sub_411030	shared_dialog_and_party_helpers	confirmed_boundary	0x0040F890:1;0x00427920:3	0x00477290:1	manual_reviewed_current_assembly	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
12	0x004112B0	sub_4112B0	shared_dialog_and_party_helpers	confirmed_boundary	0x00410730:1;0x00427920:3		manual_reviewed_current_assembly	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
13	0x00411700	sub_411700	shared_dialog_and_party_helpers	confirmed_boundary	0x004490C0:1	0x004170E0:1;0x004239D0:1;0x004315D0:1;0x00436AD0:1;0x00438AC0:1;0x00438AD0:1;0x00438AE0:1;0x00438AF0:1;0x0043B110:1;0x00480AD0:1	manual_reviewed_current_assembly	pending_audit		ownership and call-graph fields are navigation only; close from full LST body
14	0x00439DE0	sub_439DE0	standard_modes_1_3_4_5_6	confirmed_boundary	0x0040F160:1;0x00424B90:1	0x0040DC00:18;0x0040DC50:1;0x00444FC0:1	manual_reviewed_current_assembly	platform_adapted	evidence/special-mode-global-initialization-00439de0.md	ownership and call-graph fields are navigation only; close from full LST body
15	0x00439FD0	sub_439FD0	standard_modes_1_3_4_5_6	confirmed_boundary	0x0040A570:1	0x0040DC00:4;0x00431960:3;0x0043A2A0:5;0x0043A470:1;0x0043A610:1;0x0043BA40:1;0x00485610:1	manual_reviewed_current_assembly	platform_adapted	evidence/special-mode-standard-dispatch-00439fd0.md	ownership and call-graph fields are navigation only; close from full LST body
16	0x0043A2A0	sub_43A2A0	standard_modes_1_3_4_5_6	medium	0x00439FD0:5	0x004239D0:1;0x00435660:3;0x00435670:3;0x0043A380:1;0x0043B480:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-selector-initialization-0043a2a0.md	ownership and call-graph fields are navigation only; close from full LST body
17	0x0043A380	sub_43A380	standard_modes_1_3_4_5_6	medium	0x0043A2A0:1	0x0040DC50:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-item-availability-0043a380.md	ownership and call-graph fields are navigation only; close from full LST body
