entry_target	effective_opcode_count	effective_opcodes	route_sources	first_instruction	interpretation_limit
0x00427B8F	8	1-6,89-90	main_table	mov [esp+60h+var_4C], 0FFFDh	shared first entry only; handler may redispatch on opcode or use different operands
0x00427E72	1	7	main_table	mov edx, dword_4A1360	single primary entry
0x00427E9A	1	8	main_table	xor edx, edx	single primary entry
0x00427EC2	1	9	main_table	mov edx, dword_4A1360	single primary entry
0x00427ED0	1	10	main_table	mov bx, [ebx+2]	single primary entry
0x00427FEB	1	11	main_table	mov bx, [ebx+2]	single primary entry
0x0042811F	1	12	main_table	mov bx, [ebx+2]	single primary entry
0x0042822A	1	13	main_table	mov bx, [ebx+2]	single primary entry
0x0042829C	1	14	main_table	mov ax, [ebx+2]	single primary entry
0x00428310	1	15	main_table	mov ecx, [ebx+2]	single primary entry
0x00428318	1	16	main_table	mov ax, [ebx+2]	single primary entry
0x004283AC	1	17	main_table	mov dx, [ebx+2]	single primary entry
0x0042845A	1	18	main_table	mov dx, [ebx+2]	single primary entry
0x004284C2	1	19	main_table	mov eax, dword_49E0C4	single primary entry
0x00428533	2	21-22	main_table	xor eax, eax	shared first entry only; handler may redispatch on opcode or use different operands
0x0042857F	1	23	main_table	xor edi, edi	single primary entry
0x004285ED	1	24	main_table	xor edx, edx	single primary entry
0x0042865B	1	25	main_table	xor ecx, ecx	single primary entry
0x00428679	1	26	main_table	xor ecx, ecx	single primary entry
0x004286C5	1	27	main_table	xor ecx, ecx	single primary entry
0x00428713	1	28	main_table	mov dx, [ebx+2]	single primary entry
0x0042890F	1	34	main_table	xor eax, eax	single primary entry
0x00428934	1	35	main_table	mov ecx, dword_4ACDB0	single primary entry
0x0042896C	1	36	main_table	mov ecx, dword_4BA42C	single primary entry
0x004289BE	1	37	main_table	mov eax, dword_4ACDB0	single primary entry
0x004289DE	1	38	main_table	mov bx, [ebx+2]	single primary entry
0x00428ADC	1	39	main_table	mov bx, [ebx+2]	single primary entry
0x00428BA0	1	40	main_table	mov dx, [ebx+2]	single primary entry
0x00428C9F	1	41	main_table	mov eax, dword_4CAE7C	single primary entry
0x00428D18	2	42-43	main_table	cmp word ptr [esp+60h+var_3C], 2Ah	shared first entry only; handler may redispatch on opcode or use different operands
0x00428DB8	1	44	main_table	mov bx, [ebx+2]	single primary entry
0x00428E52	1	45	main_table	mov bx, [ebx+2]	single primary entry
0x00428F7B	4	46-49	main_table	mov dx, [ebx+2]	shared first entry only; handler may redispatch on opcode or use different operands
0x00429066	3	50,70,73	main_table	mov ecx, dword_4A98C0	shared first entry only; handler may redispatch on opcode or use different operands
0x00429362	1	51	main_table	mov eax, dword_4A99F0	single primary entry
