audit_order	entry_target	explicit_opcode_count	effective_opcodes	shared_entry	dispatch_kinds	internal_refinement	encoding_classes_navigation	control_effects_navigation	manual_semantics_rows	manual_semantics_opcodes	modern_case_presence	modern_case_opcodes	asset_observed_rows	asset_observed_opcodes	candidate_port_modules_navigation	direct_call_targets_navigation	unresolved_edges_navigation	closure_status	closure_evidence	closure_proof	closure_rule
1	0x0042D230	1	0	no	default_exact_0		default_no_advance	beep_and_yield_same_ip	1/1	0	none		0/1		runtime_platform,story_scene	ds:MessageBeep|nullsub_1		platform_adapted	story-vm-default-invalid-0042d230.md	assembly_exact;unit_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
2	0x00427B8F	8	1-6,89-90	yes	main_table		byte_string_percent_q	sequential_after_delimiter	8/8	1-6,89-90	all	1-6,89-90	8/8	1-6,89-90	audio_video,runtime_platform,special_modes,story_scene,world_map	_AIL_serve@0|_malloc|ds:wsprintfA|nullsub_1|sub_40AFF0|sub_40BB20|sub_40C0D0		platform_adapted	story-vm-dialog-handler-00427b8f.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;external_dependency_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
3	0x00427E72	1	7	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	7	all	7	1/1	7	story_scene			assembly_exact	story-vm-dialog-flag-clear-00427e72.md	assembly_exact;unit_tested;real_asset_tested;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
4	0x00427E9A	1	8	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	8	all	8	1/1	8	story_scene			assembly_exact	story-vm-dialog-lifetime-00427e9a.md	assembly_exact;unit_tested;real_asset_tested;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
5	0x00427EC2	1	9	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	9	all	9	1/1	9	story_scene			assembly_exact	story-vm-dialog-flag-clear-00427ec2.md	assembly_exact;unit_tested;real_asset_tested;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
6	0x00427ED0	1	10	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	10	all	10	1/1	10	asset_runtime,runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_40D460|sub_42E740|sub_4321E0		platform_adapted	story-vm-role-base-variant-00427ed0.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
7	0x00427FEB	1	11	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	11	all	11	1/1	11	asset_runtime,runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_40D460|sub_42E740|sub_4321E0		platform_adapted	story-vm-role-variant-delta-00427feb.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
8	0x0042811F	1	12	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	12	all	12	0/1		runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_42DAF0		platform_adapted	story-vm-role-position-0042811f.md	assembly_exact;unit_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
9	0x0042822A	1	13	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	13	all	13	0/1		runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_42E280		platform_adapted	story-vm-role-step-0042822a.md	assembly_exact;unit_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
10	0x0042829C	1	14	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	14	all	14	1/1	14	story_scene,world_map	sub_40C0D0		platform_adapted	story-vm-role-action-wait-0042829c.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
11	0x00428310	1	15	no	main_table		absolute_stream_transfer_u32	sub_42E430_same_file_target_ip_zero	1/1	15	all	15	1/1	15	story_scene	sub_42E430		platform_adapted	story-vm-same-file-jump-00428310.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
12	0x00428318	1	16	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	16	all	16	1/1	16	story_scene,world_map	sub_40C0D0|sub_42E430		platform_adapted	story-vm-role-path-conditional-jump-00428318.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
13	0x004283AC	1	17	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	17	all	17	1/1	17	story_scene,world_map	sub_40C0D0|sub_42E430		platform_adapted	story-vm-role-path-prepared-jump-004283ac.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
