effective_opcode	entry_target	instruction_address	access	symbol	instruction	scope
0	0x0042D230	0x0042B09D	address_ref	unk_4A1738	push offset unk_4A1738	direct access in opcode-specific conservative CFG
0	0x0042D230	0x0042D238	read	dword_4CF6D8	mov ecx, dword_4CF6D8	direct access in opcode-specific conservative CFG
0	0x0042D230	0x0042D244	address_ref	unk_4A1430	push offset unk_4A1430	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427BFE	address_ref	byte_4A1BBC	push offset byte_4A1BBC	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427C03	address_ref	FileName	push offset FileName	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427C10	address_ref	FileName	push offset FileName	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427C2D	read	dword_4A135C	cmp word ptr dword_4A135C, 8000h	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427C42	read	dword_4A135C	mov ecx, dword_4A135C	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427C54	read	dword_4A135C	add ax, word ptr dword_4A135C+2	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427CAD	read	dword_4A1360	mov eax, dword_4A1360	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427CC1	read	dword_4A1360	mov eax, dword_4A1360	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427CC6	read	dword_4CF738	cmp dword_4CF738, edx	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427CCE	read	dword_4A1364	mov eax, dword_4A1364	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427CDE	read	dword_4A1360	mov eax, dword_4A1360	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427CF3	read	dword_4A1360	mov eax, dword_4A1360	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427D07	read	dword_4A1360	mov eax, dword_4A1360	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427D1B	read	dword_4A1360	mov eax, dword_4A1360	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427D50	read	dword_4CF73C	cmp dword_4CF73C, edx	direct access in opcode-specific conservative CFG
1	0x00427B8F	0x00427D65	read	dword_4CF734	mov ecx, dword_4CF734	direct access in opcode-specific conservative CFG
