effective_opcode	entry_target	reachable_instruction_count	direct_symbol_count	read_symbols	write_symbols	read_write_symbols	address_refs	call_sites	scope_limit
0	0x0042D230	12	3	dword_4CF6D8			unk_4A1430|unk_4A1738	0x0042B0A2:nullsub_1|0x0042D232:ds:MessageBeep	direct accesses only; callee effects excluded; ordinary branch feasibility over-approximated
1	0x00427B8F	189	13	dword_4B8860	word_4BABCE|word_4CF6B8	dword_4A135C|dword_4A1360|dword_4A1364|dword_4A9920|dword_4CF730|dword_4CF734|dword_4CF738|dword_4CF73C	FileName|byte_4A1BBC	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20	direct accesses only; callee effects excluded; ordinary branch feasibility over-approximated
2	0x00427B8F	189	13	dword_4B8860	word_4BABCE|word_4CF6B8	dword_4A135C|dword_4A1360|dword_4A1364|dword_4A9920|dword_4CF730|dword_4CF734|dword_4CF738|dword_4CF73C	FileName|byte_4A1BBC	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20	direct accesses only; callee effects excluded; ordinary branch feasibility over-approximated
3	0x00427B8F	189	13	dword_4B8860	word_4BABCE|word_4CF6B8	dword_4A135C|dword_4A1360|dword_4A1364|dword_4A9920|dword_4CF730|dword_4CF734|dword_4CF738|dword_4CF73C	FileName|byte_4A1BBC	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20	direct accesses only; callee effects excluded; ordinary branch feasibility over-approximated
4	0x00427B8F	189	13	dword_4B8860	word_4BABCE|word_4CF6B8	dword_4A135C|dword_4A1360|dword_4A1364|dword_4A9920|dword_4CF730|dword_4CF734|dword_4CF738|dword_4CF73C	FileName|byte_4A1BBC	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20	direct accesses only; callee effects excluded; ordinary branch feasibility over-approximated
5	0x00427B8F	189	13	dword_4B8860	word_4BABCE|word_4CF6B8	dword_4A135C|dword_4A1360|dword_4A1364|dword_4A9920|dword_4CF730|dword_4CF734|dword_4CF738|dword_4CF73C	FileName|byte_4A1BBC	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20	direct accesses only; callee effects excluded; ordinary branch feasibility over-approximated
6	0x00427B8F	189	13	dword_4B8860	word_4BABCE|word_4CF6B8	dword_4A135C|dword_4A1360|dword_4A1364|dword_4A9920|dword_4CF730|dword_4CF734|dword_4CF738|dword_4CF73C	FileName|byte_4A1BBC	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20	direct accesses only; callee effects excluded; ordinary branch feasibility over-approximated
7	0x00427E72	8	1			dword_4A1360			direct accesses only; callee effects excluded; ordinary branch feasibility over-approximated
8	0x00427E9A	9	2		dword_4A1364|dword_4CF738				direct accesses only; callee effects excluded; ordinary branch feasibility over-approximated
9	0x00427EC2	9	1			dword_4A1360			direct accesses only; callee effects excluded; ordinary branch feasibility over-approximated
