effective_opcode_dec	effective_opcode_hex	raw_word_aliases	dispatch_kind	table_index	slot_address	entry_target	explicit_entry_group_size	first_instruction	initial_behavior
0	0x0000	0x0000|0x4000|0x8000|0xC000	default_exact_0	n/a	n/a	0x0042D230	1	push 0	MessageBeep; diagnostic call; no advance; yield with return 1
1	0x0001	0x0001|0x4001|0x8001|0xC001	main_table	0	0x0042D4F4	0x00427B8F	8	mov [esp+60h+var_4C], 0FFFDh	entry target only; parameters/length/state pending semantic pass
2	0x0002	0x0002|0x4002|0x8002|0xC002	main_table	1	0x0042D4F8	0x00427B8F	8	mov [esp+60h+var_4C], 0FFFDh	entry target only; parameters/length/state pending semantic pass
3	0x0003	0x0003|0x4003|0x8003|0xC003	main_table	2	0x0042D4FC	0x00427B8F	8	mov [esp+60h+var_4C], 0FFFDh	entry target only; parameters/length/state pending semantic pass
4	0x0004	0x0004|0x4004|0x8004|0xC004	main_table	3	0x0042D500	0x00427B8F	8	mov [esp+60h+var_4C], 0FFFDh	entry target only; parameters/length/state pending semantic pass
5	0x0005	0x0005|0x4005|0x8005|0xC005	main_table	4	0x0042D504	0x00427B8F	8	mov [esp+60h+var_4C], 0FFFDh	entry target only; parameters/length/state pending semantic pass
6	0x0006	0x0006|0x4006|0x8006|0xC006	main_table	5	0x0042D508	0x00427B8F	8	mov [esp+60h+var_4C], 0FFFDh	entry target only; parameters/length/state pending semantic pass
7	0x0007	0x0007|0x4007|0x8007|0xC007	main_table	6	0x0042D50C	0x00427E72	1	mov edx, dword_4A1360	entry target only; parameters/length/state pending semantic pass
8	0x0008	0x0008|0x4008|0x8008|0xC008	main_table	7	0x0042D510	0x00427E9A	1	xor edx, edx	entry target only; parameters/length/state pending semantic pass
9	0x0009	0x0009|0x4009|0x8009|0xC009	main_table	8	0x0042D514	0x00427EC2	1	mov edx, dword_4A1360	entry target only; parameters/length/state pending semantic pass
10	0x000A	0x000A|0x400A|0x800A|0xC00A	main_table	9	0x0042D518	0x00427ED0	1	mov bx, [ebx+2]	entry target only; parameters/length/state pending semantic pass
11	0x000B	0x000B|0x400B|0x800B|0xC00B	main_table	10	0x0042D51C	0x00427FEB	1	mov bx, [ebx+2]	entry target only; parameters/length/state pending semantic pass
