effective_opcode	entry_target	encoding_class	sequential_length_rule	normal_fixed_length	operand_shape	control_effect	assembly_evidence	confidence	caveat
0	0x0042D230	default_no_advance	0	0	none	beep_and_yield_same_ip	0x0042D230-0x0042D249	assembly_confirmed	default error behavior, not a NOP
1	0x00427B8F	byte_string_percent_q	4 + byte_count_before_0x5125		byte string begins at +2; terminating bytes 25 51 are consumed	sequential_after_delimiter	0x00427DFF-0x00427E2A;0x00484814-0x00484850;0x0042BD51-0x0042BD92	assembly_confirmed	no bounds check; odd byte lengths are accepted
2	0x00427B8F	byte_string_percent_q	4 + byte_count_before_0x5125		byte string begins at +2; terminating bytes 25 51 are consumed	sequential_after_delimiter	0x00427DFF-0x00427E2A;0x00484814-0x00484850;0x0042BD51-0x0042BD92	assembly_confirmed	no bounds check; odd byte lengths are accepted
3	0x00427B8F	byte_string_percent_q	4 + byte_count_before_0x5125		byte string begins at +2; terminating bytes 25 51 are consumed	sequential_after_delimiter	0x00427DFF-0x00427E2A;0x00484814-0x00484850;0x0042BD51-0x0042BD92	assembly_confirmed	no bounds check; odd byte lengths are accepted
4	0x00427B8F	byte_string_percent_q	4 + byte_count_before_0x5125		byte string begins at +2; terminating bytes 25 51 are consumed	sequential_after_delimiter	0x00427DFF-0x00427E2A;0x00484814-0x00484850;0x0042BD51-0x0042BD92	assembly_confirmed	no bounds check; odd byte lengths are accepted
5	0x00427B8F	byte_string_percent_q	4 + byte_count_before_0x5125		byte string begins at +2; terminating bytes 25 51 are consumed	sequential_after_delimiter	0x00427DFF-0x00427E2A;0x00484814-0x00484850;0x0042BD51-0x0042BD92	assembly_confirmed	no bounds check; odd byte lengths are accepted
6	0x00427B8F	byte_string_percent_q	4 + byte_count_before_0x5125		byte string begins at +2; terminating bytes 25 51 are consumed	sequential_after_delimiter	0x00427DFF-0x00427E2A;0x00484814-0x00484850;0x0042BD51-0x0042BD92	assembly_confirmed	no bounds check; odd byte lengths are accepted
7	0x00427E72	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00427E84:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
8	0x00427E9A	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00427EB1:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
9	0x00427EC2	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00427E84:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
