effective_opcode	entry_target	working_operation	operand_layout	physical_length_rule	state_reads	state_writes	flow_and_timing	error_or_quirk	helper_calls	assembly_evidence	audit_status
0	0x0042D230	default_invalid_opcode	none	0	effective opcode; dword_4CF6D8 diagnostic context	none	no IP advance; ESI=0; AIL serve then yield/return 1	repeats the same invalid instruction on later frames; not a NOP	MessageBeep; nullsub_1 diagnostic	0x0042D230-0x0042D249	assembly_audited_business_name_neutral
1	0x00427B8F	text_action_mode0_odd_variant	mixed byte payload at +2; first u16 is context/role selector (FFF0=current state+24, FFFD=special); byte scan ends at 25 51 and consumes both bytes	4 + byte_count_before_0x5125	state+24/+26; role lookup and role fields; dword_4A135C/4A1360/4A1364; dword_4CF730/4CF734/4CF738/4CF73C; word_4CF6B8	allocated 0x4C action/dialog record; record mode=0; record flags include 0x10; selected role action status=1; dword_4A9920 increments; shared text globals reset to defaults	IP becomes byte immediately after 25 51; ESI=0; yield after queuing record	no bounds check for 25 51; odd byte count is accepted; FFF0 overwrites first payload u16 with state+24	sub_40C0D0; malloc(0x4C); sub_40AFF0; sub_40BB20; AIL_serve	0x00427B8F-0x00427E6D	assembly_audited_business_name_neutral
2	0x00427B8F	text_action_mode0_even_variant	mixed byte payload at +2; first u16 is context/role selector (FFF0=current state+24, FFFD=special); byte scan ends at 25 51 and consumes both bytes	4 + byte_count_before_0x5125	state+24/+26; role lookup and role fields; dword_4A135C/4A1360/4A1364; dword_4CF730/4CF734/4CF738/4CF73C; word_4CF6B8	allocated 0x4C action/dialog record; record mode=0; shared text globals reset to defaults	IP becomes byte immediately after 25 51; ESI=0; yield after queuing record	no bounds check for 25 51; odd byte count is accepted; FFF0 overwrites first payload u16 with state+24	sub_40C0D0; malloc(0x4C); sub_40AFF0; sub_40BB20; AIL_serve	0x00427B8F-0x00427E6D	assembly_audited_business_name_neutral
3	0x00427B8F	text_action_mode1_odd_variant	mixed byte payload at +2; first u16 is context/role selector (FFF0=current state+24, FFFD=special); byte scan ends at 25 51 and consumes both bytes	4 + byte_count_before_0x5125	state+24/+26; role lookup and role fields; dword_4A135C/4A1360/4A1364; dword_4CF730/4CF734/4CF738/4CF73C; word_4CF6B8	allocated 0x4C action/dialog record; record mode=1; record flags include 0x10; selected role action status=1; dword_4A9920 increments; shared text globals reset to defaults	IP becomes byte immediately after 25 51; ESI=0; yield after queuing record	no bounds check for 25 51; odd byte count is accepted; FFF0 overwrites first payload u16 with state+24	sub_40C0D0; malloc(0x4C); sub_40AFF0; sub_40BB20; AIL_serve	0x00427B8F-0x00427E6D	assembly_audited_business_name_neutral
4	0x00427B8F	text_action_mode1_even_variant	mixed byte payload at +2; first u16 is context/role selector (FFF0=current state+24, FFFD=special); byte scan ends at 25 51 and consumes both bytes	4 + byte_count_before_0x5125	state+24/+26; role lookup and role fields; dword_4A135C/4A1360/4A1364; dword_4CF730/4CF734/4CF738/4CF73C; word_4CF6B8	allocated 0x4C action/dialog record; record mode=1; shared text globals reset to defaults	IP becomes byte immediately after 25 51; ESI=0; yield after queuing record	no bounds check for 25 51; odd byte count is accepted; FFF0 overwrites first payload u16 with state+24	sub_40C0D0; malloc(0x4C); sub_40AFF0; sub_40BB20; AIL_serve	0x00427B8F-0x00427E6D	assembly_audited_business_name_neutral
5	0x00427B8F	text_action_mode1_flag40_odd_variant	mixed byte payload at +2; first u16 is context/role selector (FFF0=current state+24, FFFD=special); byte scan ends at 25 51 and consumes both bytes	4 + byte_count_before_0x5125	state+24/+26; role lookup and role fields; dword_4A135C/4A1360/4A1364; dword_4CF730/4CF734/4CF738/4CF73C; word_4CF6B8	allocated 0x4C action/dialog record; record mode=1; initial record flags=0x40 then include 0x10; selected role action status=1; dword_4A9920 increments; shared text globals reset to defaults	IP becomes byte immediately after 25 51; ESI=0; yield after queuing record	no bounds check for 25 51; odd byte count is accepted; FFF0 overwrites first payload u16 with state+24	sub_40C0D0; malloc(0x4C); sub_40AFF0; sub_40BB20; AIL_serve	0x00427B8F-0x00427E6D	assembly_audited_business_name_neutral
6	0x00427B8F	text_action_mode1_flag40_even_variant	mixed byte payload at +2; first u16 is context/role selector (FFF0=current state+24, FFFD=special); byte scan ends at 25 51 and consumes both bytes	4 + byte_count_before_0x5125	state+24/+26; role lookup and role fields; dword_4A135C/4A1360/4A1364; dword_4CF730/4CF734/4CF738/4CF73C; word_4CF6B8	allocated 0x4C action/dialog record; record mode=1; initial record flags=0x40; shared text globals reset to defaults	IP becomes byte immediately after 25 51; ESI=0; yield after queuing record	no bounds check for 25 51; odd byte count is accepted; FFF0 overwrites first payload u16 with state+24	sub_40C0D0; malloc(0x4C); sub_40AFF0; sub_40BB20; AIL_serve	0x00427B8F-0x00427E6D	assembly_audited_business_name_neutral
7	0x00427E72	clear_text_control_bit31	none	2	dword_4A1360	dword_4A1360 &= 0x7FFFFFFF	advance 2; ESI=1; continue in same call	none	none	0x00427E72-0x00427E95	assembly_audited_business_name_neutral
8	0x00427E9A	set_next_text_aux_value	+2 u16 value	4	none	dword_4CF738=1; dword_4A1364=value	advance 4; ESI=1; continue in same call	value is zero-extended	none	0x00427E9A-0x00427EBD	assembly_audited_business_name_neutral
9	0x00427EC2	clear_text_control_bit30	none	2	dword_4A1360	dword_4A1360 &= 0xBFFFFFFF	advance 2; ESI=1; continue in same call	none	none	0x00427EC2-0x00427ECE;0x00427E7E-0x00427E95	assembly_audited_business_name_neutral
