effective_opcode	entry_target	reachable_instruction_count	reaches_common_join	direct_return_sites	ip_mutation_sites	fixed_add_values	dynamic_or_absolute_sites	direct_calls	unresolved_edges	triage	scope_limit
0	0x0042D230	12	yes					0x0042B0A2:nullsub_1|0x0042D232:ds:MessageBeep		no_ip_mutation_reached	CFG over-approximation; conditional feasibility and semantics require assembly audit
1	0x00427B8F	189	yes		0x00427E26:absolute_write:mov [ebp+0], cx		0x00427E26	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
2	0x00427B8F	189	yes		0x00427E26:absolute_write:mov [ebp+0], cx		0x00427E26	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
3	0x00427B8F	189	yes		0x00427E26:absolute_write:mov [ebp+0], cx		0x00427E26	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
4	0x00427B8F	189	yes		0x00427E26:absolute_write:mov [ebp+0], cx		0x00427E26	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
5	0x00427B8F	189	yes		0x00427E26:absolute_write:mov [ebp+0], cx		0x00427E26	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
6	0x00427B8F	189	yes		0x00427E26:absolute_write:mov [ebp+0], cx		0x00427E26	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
7	0x00427E72	8	yes		0x00427E84:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
8	0x00427E9A	9	yes		0x00427EB1:fixed_add:add word ptr [ebp+0], 4	4				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
9	0x00427EC2	9	yes		0x00427E84:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
10	0x00427ED0	84	yes		0x00427F9C:fixed_add:add word ptr [ebp+0], 6|0x00428109:fixed_add:add word ptr [ebp+0], 6	6		0x00427EE9:sub_40C0D0|0x00427F2B:sub_42E740|0x00427F4D:sub_4321E0|0x00427F93:nullsub_1|0x004280FD:sub_40D460		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
