source_file	source_window_relative	source_ip	source_file_offset	source_opcode	edge_kind	branch_index	target_file	target_window_relative	target_ip	target_file_offset	resolution	detail	assembly_evidence
TALK1.DAT	4808	0	0x000014C8	1026	sequential	0	TALK1.DAT	4808	2	0x000014CA	enqueued	0x000014CA	opcode length rule
TALK1.DAT	4812	0	0x000014CC	1026	sequential	0	TALK1.DAT	4812	2	0x000014CE	enqueued	0x000014CE	opcode length rule
TALK1.DAT	4812	2	0x000014CE	21	conditional_transfer	0	TALK1.DAT	4848	0	0x000014F0	enqueued	0x000014F0	0x00428533-0x00428576
TALK1.DAT	4812	2	0x000014CE	21	sequential	0	TALK1.DAT	4812	10	0x000014D6	enqueued	0x000014D6	opcode length rule
TALK1.DAT	4812	10	0x000014D6	21	conditional_transfer	0	TALK1.DAT	333160	0	0x00051768	enqueued	0x00051768	0x00428533-0x00428576
TALK1.DAT	4812	10	0x000014D6	21	sequential	0	TALK1.DAT	4812	18	0x000014DE	enqueued	0x000014DE	opcode length rule
TALK1.DAT	4812	18	0x000014DE	21	conditional_transfer	0	TALK1.DAT	11700	0	0x00002FB4	enqueued	0x00002FB4	0x00428533-0x00428576
TALK1.DAT	4812	18	0x000014DE	21	sequential	0	TALK1.DAT	4812	26	0x000014E6	enqueued	0x000014E6	opcode length rule
TALK1.DAT	4812	26	0x000014E6	21	conditional_transfer	0	TALK1.DAT	74897	0	0x00012691	enqueued	0x00012691	0x00428533-0x00428576
TALK1.DAT	4812	26	0x000014E6	21	sequential	0	TALK1.DAT	4812	34	0x000014EE	enqueued	0x000014EE	opcode length rule
TALK1.DAT	4848	0	0x000014F0	1026	sequential	0	TALK1.DAT	4848	2	0x000014F2	enqueued	0x000014F2	opcode length rule
TALK1.DAT	4848	2	0x000014F2	76	sequential	0	TALK1.DAT	4848	8	0x000014F8	enqueued	0x000014F8	opcode length rule
TALK1.DAT	4848	8	0x000014F8	91	sequential	0	TALK1.DAT	4848	12	0x000014FC	enqueued	0x000014FC	opcode length rule
TALK1.DAT	4848	12	0x000014FC	91	sequential	0	TALK1.DAT	4848	16	0x00001500	enqueued	0x00001500	opcode length rule
TALK1.DAT	4848	16	0x00001500	90	sequential	0	TALK1.DAT	4848	72	0x00001538	enqueued	0x00001538	opcode length rule
