file	window_relative	ip	file_offset	raw_word	effective_opcode	decoded_length	encoding_class	outgoing_edges	root_slots
TALK1.DAT	4808	0	0x000014C8	0x0402	1026	2	fixed_control	1	1
TALK1.DAT	4808	2	0x000014CA	0xFFFF	16383	2	terminator	0	
TALK1.DAT	4812	0	0x000014CC	0x0402	1026	2	fixed_control	1	2
TALK1.DAT	4812	2	0x000014CE	0x0015	21	8	fixed_raw_operands	2	
TALK1.DAT	4812	10	0x000014D6	0x0015	21	8	fixed_raw_operands	2	
TALK1.DAT	4812	18	0x000014DE	0x0015	21	8	fixed_raw_operands	2	
TALK1.DAT	4812	26	0x000014E6	0x0015	21	8	fixed_raw_operands	2	
TALK1.DAT	4812	34	0x000014EE	0xFFFF	16383	2	terminator	0	
TALK1.DAT	4848	0	0x000014F0	0x0402	1026	2	fixed_control	1	
TALK1.DAT	4848	2	0x000014F2	0x004C	76	6	fixed_raw_operands	1	
TALK1.DAT	4848	8	0x000014F8	0x005B	91	4	fixed_raw_operands	1	
TALK1.DAT	4848	12	0x000014FC	0x005B	91	4	fixed_raw_operands	1	
TALK1.DAT	4848	16	0x00001500	0x005A	90	56	byte_string_percent_q	1	
TALK1.DAT	4848	72	0x00001538	0x000E	14	4	fixed_raw_operands	1	
TALK1.DAT	4848	76	0x0000153C	0xFFFF	16383	2	terminator	0	
TALK1.DAT	4926	0	0x0000153E	0x0402	1026	2	fixed_control	1	3
TALK1.DAT	4926	2	0x00001540	0x0015	21	8	fixed_raw_operands	2	
TALK1.DAT	4926	10	0x00001548	0x0015	21	8	fixed_raw_operands	2	
TALK1.DAT	4926	18	0x00001550	0x0015	21	8	fixed_raw_operands	2	
TALK1.DAT	4926	26	0x00001558	0x0015	21	8	fixed_raw_operands	2	
TALK1.DAT	4926	34	0x00001560	0x0015	21	8	fixed_raw_operands	2	
TALK1.DAT	4926	42	0x00001568	0x0015	21	8	fixed_raw_operands	2	
TALK1.DAT	4926	50	0x00001570	0x000F	15	6	absolute_stream_transfer_u32	1	
TALK1.DAT	4982	0	0x00001576	0x0402	1026	2	fixed_control	1	
TALK1.DAT	4982	2	0x00001578	0xFFFF	16383	2	terminator	0	
TALK1.DAT	4986	0	0x0000157A	0x0402	1026	2	fixed_control	1	
TALK1.DAT	4986	2	0x0000157C	0x005B	91	4	fixed_raw_operands	1	
TALK1.DAT	4986	6	0x00001580	0x005A	90	50	byte_string_percent_q	1	
TALK1.DAT	4986	56	0x000015B2	0x000E	14	4	fixed_raw_operands	1	
TALK1.DAT	4986	60	0x000015B6	0xFFFF	16383	2	terminator	0	
TALK1.DAT	5048	0	0x000015B8	0x0402	1026	2	fixed_control	1	
TALK1.DAT	5048	2	0x000015BA	0x005B	91	4	fixed_raw_operands	1	
TALK1.DAT	5048	6	0x000015BE	0x005A	90	60	byte_string_percent_q	1	
TALK1.DAT	5048	66	0x000015FA	0x000E	14	4	fixed_raw_operands	1	
TALK1.DAT	5048	70	0x000015FE	0xFFFF	16383	2	terminator	0	
TALK1.DAT	5120	0	0x00001600	0x0402	1026	2	fixed_control	1	
TALK1.DAT	5120	2	0x00001602	0x0019	25	4	fixed_raw_operands	1	
TALK1.DAT	5120	6	0x00001606	0x0019	25	4	fixed_raw_operands	1	
TALK1.DAT	5120	10	0x0000160A	0x008D	141	6	fixed_raw_operands	1	
TALK1.DAT	5120	16	0x00001610	0x0089	137	2	fixed_raw_operands	1	
TALK1.DAT	5120	18	0x00001612	0x000A	10	6	fixed_raw_operands	1	
TALK1.DAT	5120	24	0x00001618	0x0014	20	10	counted_records_6byte	1	
TALK1.DAT	5120	34	0x00001622	0x0078	120	10	fixed_raw_operands	1	
TALK1.DAT	5120	44	0x0000162C	0x0053	83	16	fixed_raw_operands	1	
TALK1.DAT	5120	60	0x0000163C	0x0051	81	10	fixed_raw_operands	1	
TALK1.DAT	5120	70	0x00001646	0x0050	80	2	fixed_raw_operands	1	
TALK1.DAT	5120	72	0x00001648	0x0008	8	4	fixed_raw_operands	1	
TALK1.DAT	5120	76	0x0000164C	0x0007	7	2	fixed_raw_operands	1	
TALK1.DAT	5120	78	0x0000164E	0x0004	4	48	byte_string_percent_q	1	
TALK1.DAT	5120	126	0x0000167E	0x000E	14	4	fixed_raw_operands	1	
TALK1.DAT	5120	130	0x00001682	0x0054	84	6	fixed_raw_operands	1	
TALK1.DAT	5120	136	0x00001688	0x0052	82	6	fixed_raw_operands	1	
TALK1.DAT	5120	142	0x0000168E	0x0053	83	16	fixed_raw_operands	1	
TALK1.DAT	5120	158	0x0000169E	0x0051	81	10	fixed_raw_operands	1	
TALK1.DAT	5120	168	0x000016A8	0x0050	80	2	fixed_raw_operands	1	
TALK1.DAT	5120	170	0x000016AA	0x0008	8	4	fixed_raw_operands	1	
TALK1.DAT	5120	174	0x000016AE	0x0007	7	2	fixed_raw_operands	1	
TALK1.DAT	5120	176	0x000016B0	0x0004	4	96	byte_string_percent_q	1	
TALK1.DAT	5120	272	0x00001710	0x000E	14	4	fixed_raw_operands	1	
TALK1.DAT	5120	276	0x00001714	0x0054	84	6	fixed_raw_operands	1	
TALK1.DAT	5120	282	0x0000171A	0x0052	82	6	fixed_raw_operands	1	
TALK1.DAT	5120	288	0x00001720	0x000B	11	6	fixed_raw_operands	1	
TALK1.DAT	5120	294	0x00001726	0x000B	11	6	fixed_raw_operands	1	
TALK1.DAT	5120	300	0x0000172C	0x0043	67	4	fixed_raw_operands	1	
TALK1.DAT	5120	304	0x00001730	0x0053	83	16	fixed_raw_operands	1	
TALK1.DAT	5120	320	0x00001740	0x0051	81	10	fixed_raw_operands	1	
TALK1.DAT	5120	330	0x0000174A	0x0050	80	2	fixed_raw_operands	1	
TALK1.DAT	5120	332	0x0000174C	0x0008	8	4	fixed_raw_operands	1	
TALK1.DAT	5120	336	0x00001750	0x0007	7	2	fixed_raw_operands	1	
TALK1.DAT	5120	338	0x00001752	0x0004	4	94	byte_string_percent_q	1	
TALK1.DAT	5120	432	0x000017B0	0x000E	14	4	fixed_raw_operands	1	
TALK1.DAT	5120	436	0x000017B4	0x0054	84	6	fixed_raw_operands	1	
TALK1.DAT	5120	442	0x000017BA	0x0052	82	6	fixed_raw_operands	1	
TALK1.DAT	5120	448	0x000017C0	0x0053	83	16	fixed_raw_operands	1	
TALK1.DAT	5120	464	0x000017D0	0x0051	81	10	fixed_raw_operands	1	
TALK1.DAT	5120	474	0x000017DA	0x0050	80	2	fixed_raw_operands	1	
TALK1.DAT	5120	476	0x000017DC	0x0008	8	4	fixed_raw_operands	1	
TALK1.DAT	5120	480	0x000017E0	0x0007	7	2	fixed_raw_operands	1	
TALK1.DAT	5120	482	0x000017E2	0x0004	4	64	byte_string_percent_q	1	
TALK1.DAT	5120	546	0x00001822	0x000E	14	4	fixed_raw_operands	1	
TALK1.DAT	5120	550	0x00001826	0x0054	84	6	fixed_raw_operands	1	
TALK1.DAT	5120	556	0x0000182C	0x0052	82	6	fixed_raw_operands	1	
TALK1.DAT	5120	562	0x00001832	0x0043	67	4	fixed_raw_operands	1	
TALK1.DAT	5120	566	0x00001836	0x0053	83	16	fixed_raw_operands	1	
TALK1.DAT	5120	582	0x00001846	0x0051	81	10	fixed_raw_operands	1	
TALK1.DAT	5120	592	0x00001850	0x0050	80	2	fixed_raw_operands	1	
TALK1.DAT	5120	594	0x00001852	0x0008	8	4	fixed_raw_operands	1	
TALK1.DAT	5120	598	0x00001856	0x0007	7	2	fixed_raw_operands	1	
TALK1.DAT	5120	600	0x00001858	0x0004	4	102	byte_string_percent_q	1	
TALK1.DAT	5120	702	0x000018BE	0x000E	14	4	fixed_raw_operands	1	
TALK1.DAT	5120	706	0x000018C2	0x0054	84	6	fixed_raw_operands	1	
