file	file_offset	payload_offset	raw_word	effective_opcode	decoded_length	encoding_class	length_detail	entry_probe_hits
TALK1.DAT	0x000014C8	0x000012C8	0x0402	1026	2	fixed_control		1
TALK1.DAT	0x000014CA	0x000012CA	0xFFFF	16383	2	terminator		1
TALK1.DAT	0x000014CC	0x000012CC	0x0402	1026	2	fixed_control		1
TALK1.DAT	0x000014CE	0x000012CE	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x000014D6	0x000012D6	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x000014DE	0x000012DE	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x000014E6	0x000012E6	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x000014EE	0x000012EE	0xFFFF	16383	2	terminator		1
TALK1.DAT	0x0000153E	0x0000133E	0x0402	1026	2	fixed_control		1
TALK1.DAT	0x00001540	0x00001340	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00001548	0x00001348	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00001550	0x00001350	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00001558	0x00001358	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00001560	0x00001360	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00001568	0x00001368	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00001570	0x00001370	0x000F	15	6	absolute_stream_transfer_u32		1
TALK1.DAT	0x00002536	0x00002336	0x0402	1026	2	fixed_control		1
TALK1.DAT	0x00002538	0x00002338	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002540	0x00002340	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002548	0x00002348	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002550	0x00002350	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002558	0x00002358	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002560	0x00002360	0x0016	22	8	fixed_raw_operands		1
TALK1.DAT	0x00002568	0x00002368	0x005B	91	4	fixed_raw_operands		1
TALK1.DAT	0x0000256C	0x0000236C	0x0069	105	2	fixed_raw_operands		1
TALK1.DAT	0x0000256E	0x0000236E	0x0001	1	20	byte_string_percent_q	byte_count=16	1
TALK1.DAT	0x00002582	0x00002382	0x000E	14	4	fixed_raw_operands		1
TALK1.DAT	0x00002586	0x00002386	0x0402	1026	2	fixed_control		1
TALK1.DAT	0x00002588	0x00002388	0xFFFF	16383	2	terminator		1
TALK1.DAT	0x00002606	0x00002406	0x0402	1026	2	fixed_control		1
TALK1.DAT	0x00002608	0x00002408	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002610	0x00002410	0x000F	15	6	absolute_stream_transfer_u32		1
TALK1.DAT	0x0000261A	0x0000241A	0x0402	1026	2	fixed_control		1
TALK1.DAT	0x0000261C	0x0000241C	0xFFFF	16383	2	terminator		1
TALK1.DAT	0x0000261E	0x0000241E	0x0402	1026	2	fixed_control		1
TALK1.DAT	0x00002620	0x00002420	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002628	0x00002428	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002630	0x00002430	0x005B	91	4	fixed_raw_operands		1
TALK1.DAT	0x00002634	0x00002434	0x0059	89	56	byte_string_percent_q	byte_count=52	1
TALK1.DAT	0x0000266C	0x0000246C	0x000E	14	4	fixed_raw_operands		1
TALK1.DAT	0x00002670	0x00002470	0x0059	89	48	byte_string_percent_q	byte_count=44	1
TALK1.DAT	0x000026A0	0x000024A0	0x000E	14	4	fixed_raw_operands		1
TALK1.DAT	0x000026A4	0x000024A4	0xFFFF	16383	2	terminator		1
TALK1.DAT	0x00002760	0x00002560	0x0402	1026	2	fixed_control		1
TALK1.DAT	0x00002762	0x00002562	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x0000276A	0x0000256A	0xFFFF	16383	2	terminator		1
TALK1.DAT	0x0000276C	0x0000256C	0x0402	1026	2	fixed_control		1
TALK1.DAT	0x0000276E	0x0000256E	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002776	0x00002576	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x0000277E	0x0000257E	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002786	0x00002586	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x0000278E	0x0000258E	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002796	0x00002596	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x0000279E	0x0000259E	0x005B	91	4	fixed_raw_operands		1
TALK1.DAT	0x000027A2	0x000025A2	0x005A	90	32	byte_string_percent_q	byte_count=28	1
TALK1.DAT	0x000027C2	0x000025C2	0x000E	14	4	fixed_raw_operands		1
TALK1.DAT	0x000027C6	0x000025C6	0xFFFF	16383	2	terminator		1
TALK1.DAT	0x00002A48	0x00002848	0x0402	1026	2	fixed_control		1
TALK1.DAT	0x00002A4A	0x0000284A	0x0015	21	8	fixed_raw_operands		1
TALK1.DAT	0x00002A52	0x00002852	0x0015	21	8	fixed_raw_operands		1
