effective_opcode	encoding_class	unique_physical_records	entry_probe_instances	files	coverage
0	default_no_advance	0	0		not_seen_in_linear_prefix_probe
1	byte_string_percent_q	294	294	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
2	byte_string_percent_q	125	125	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
3	byte_string_percent_q	3	3	TALK1.DAT	seen
4	byte_string_percent_q	2187	2199	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
5	byte_string_percent_q	4	4	TALK1.DAT,TALK4.DAT	seen
6	byte_string_percent_q	559	559	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
7	fixed_raw_operands	2781	2781	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
8	fixed_raw_operands	2832	2832	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
9	fixed_raw_operands	1537	1537	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
10	fixed_raw_operands	1693	1702	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
11	fixed_raw_operands	1234	1242	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
12	fixed_raw_operands	0	0		not_seen_in_linear_prefix_probe
13	fixed_raw_operands	0	0		not_seen_in_linear_prefix_probe
14	fixed_raw_operands	2894	2927	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
15	absolute_stream_transfer_u32	68	68	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
16	fixed_raw_operands	3	3	TALK2.DAT	seen
17	fixed_raw_operands	83	83	TALK1.DAT,TALK2.DAT	seen
18	fixed_raw_operands	301	301	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
19	fixed_raw_operands	1	1	TALK2.DAT	seen
20	counted_records_6byte	423	427	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
21	fixed_raw_operands	1066	1066	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
22	fixed_raw_operands	248	248	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
23	u16_list_ff00_then_u32_target	10	10	TALK1.DAT,TALK2.DAT,TALK3.DAT	seen
24	u16_list_ff00_then_u32_target	0	0		not_seen_in_linear_prefix_probe
25	fixed_raw_operands	635	639	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
26	fixed_raw_operands	312	314	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
27	fixed_raw_operands	647	647	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
28	fixed_raw_operands	45	45	TALK1.DAT,TALK2.DAT,TALK3.DAT,TALK4.DAT	seen
29	fixed_shared_numeric	9	9	TALK1.DAT,TALK2.DAT	seen
30	fixed_shared_numeric	22	22	TALK1.DAT,TALK2.DAT	seen
31	fixed_shared_numeric	0	0		not_seen_in_linear_prefix_probe
32	fixed_shared_numeric	8	8	TALK1.DAT,TALK2.DAT	seen
33	fixed_shared_numeric	5	5	TALK1.DAT,TALK2.DAT	seen
34	fixed_raw_operands	0	0		not_seen_in_linear_prefix_probe
