structure	base_or_entry	size_bytes	offset_hex	width_bytes	semantic_name	status	evidence
role_record	004BABA8	216	0004	4	world_x	confirmed	00402F80,00427300
role_record	004BABA8	216	0008	4	world_y	confirmed	00402F80,00427300
role_record	004BABA8	216	000C	4	current_map_cell_pointer	confirmed	0040F280,004120B0
role_record	004BABA8	216	0010	4	role_status_flags	bits-pending	00402F80,00427300
role_record	004BABA8	216	0014	4	talk_data_offset_or_zero	name-pending-p5	00427300,00427920
role_record	004BABA8	216	0018	4	path_command_word_index	confirmed	00405500,00427920
role_record	004BABA8	216	001C	2	path_data_number	confirmed	00405430,00405500,0040D610,00427920
role_record	004BABA8	216	001E	2	talk_file_number	confirmed	00402F80,00427300,00427920
role_record	004BABA8	216	0020	2	talk_initial_instruction_offset	confirmed	00402F80,00427300,00427920
role_record	004BABA8	216	0022	2	path_wait_countdown	confirmed	00405500
role_record	004BABA8	216	0024	2	role_guid	confirmed	00402F80,0040C020,00427300
role_record	004BABA8	216	0026	2	interaction_gate_unknown	business-name-pending	00402F80,00427300
role_record	004BABA8	216	0034	4	path_payload_associated_value	business-name-pending	00405500
role_record	004BABA8	216	0038	4	owned_path_payload_pointer	ownership-confirmed	00405500,0040F3B0,00425B50,00427920
role_record	004BABA8	216	003C	4	active_unknown_3c	business-name-pending	00427920
role_record	004BABA8	216	0040	152	embedded_action_subrecord	confirmed-range	004037D1,00427AD0,004321E0
role_record	004BABA8	216	0048	4	current_action_or_movement_state	enum-pending	00402F80,00427300
role_record	004BABA8	216	004C	4	previous_action_or_movement_state	enum-pending	00402F80
role_record	004BABA8	216	0060	4	one_shot_override_for_action_08_or_minus_one	consumer-confirmed	0040F80D,0040F814,0040F822
role_record	004BABA8	216	006C	4	x_anchor_offset_units_8	confirmed	00402F80,00427300
role_record	004BABA8	216	0070	4	y_anchor_offset_units_8	confirmed	00402F80,00427300
role_record	004BABA8	216	0074	4	direction_0_to_7	confirmed	00402F80,00427300
role_record	004BABA8	216	0078	4	previous_direction_related_state	confirmed-width	00427300,004321E0
role_record	004BABA8	216	007C	4	one_shot_override_for_action_34_or_minus_one	consumer-confirmed	0040F817,0040F81E,0040F825
role_record	004BABA8	216	0080	2	packed_ap_count_and_current_index	cross-frame-rule-confirmed	0042B54A,004321E0
role_record	004BABA8	216	0082	2	act_command_word_cursor	confirmed	004321E0
role_record	004BABA8	216	0084	2	action_wait_countdown	confirmed	00402F80,004120B0,00427300,004321E0
role_record	004BABA8	216	0086	2	ds_wait_value	producer-confirmed	004321E0
role_record	004BABA8	216	0088	2	wait_override_valid_low15	producer-and-mask-confirmed	0040F6D0,00429FCB,0042AE80,004321E0
role_record	004BABA8	216	008A	2	render_hit_object_key_a	business-name-pending	00427300,00431A20,004321E0
role_record	004BABA8	216	008C	2	render_hit_object_key_b	business-name-pending	00427300,00431A20,004321E0
role_record	004BABA8	216	0094	4	selected_act_command_stream_pointer	borrowed-pointer-confirmed	0043243E,0043245D
role_record	004BABA8	216	0098	2	vw_command_parameter	producer-confirmed-consumer-pending	004329A7
role_record	004BABA8	216	00C8	1	action_byte_c8	business-name-pending	004321E0
