archive	group	record_ordinal	lookup_resource_id	is_nonempty	stored_metadata_id	name_big5_best_effort	name_raw_hex	block_size_bytes	block_offset_hex	block_end_hex	index_unknown_20	index_unknown_24	index_unknown_28	block_value_00	frame_count	storage_bpp	palette_bytes	descriptor_table_offset_hex	payloads_reach_exact_block_end
all_char.tsw	0	1	1	1	1	543-l	3534332D6C	6955	00CE910E	00CEAC39	0	0	0	6921	4	8	512	00CE931A	1
all_char.tsw	0	2	2	1	2	down	646F776E	6221	0004989D	0004B0EA	0	0	0	19066	4	8	512	00049AA9	1
all_char.tsw	0	3	3	1	3	543-r	3534332D72	6842	00CEAC39	00CEC6F3	0	0	0	6808	4	8	512	00CEAE45	1
all_char.tsw	0	4	4	1	4	fire_24_m	666972655F32345F6D	33682	000203BC	0002874E	0	0	0	204886	1	16	0	000203C8	1
all_char.tsw	0	5	5	1	5	fire_24	666972655F3234	45548	0002874E	0003393A	0	0	0	204886	1	16	0	0002875A	1
all_char.tsw	0	6	6	1	6	fire_32_m	666972655F33325F6D	42995	0003393A	0003E12D	0	0	0	204886	1	16	0	00033946	1
all_char.tsw	0	7	7	1	7	fire_32	666972655F3332	46960	0003E12D	0004989D	0	0	0	204886	1	16	0	0003E139	1
all_char.tsw	0	8	8	1	8	fire-n	666972652D6E	43041	0004B0EA	0005590B	0	0	0	204886	1	16	0	0004B0F6	1
all_char.tsw	0	9	9	1	9	lolo	6C6F6C6F	2365	0005590B	00056248	0	0	0	6998	1	16	0	00055917	1
all_char.tsw	0	10	10	1	10	lolo2	6C6F6C6F32	2303	00056248	00056B47	0	0	0	6998	1	16	0	00056254	1
all_char.tsw	0	11	11	1	11	woman	776F6D616E	8076	00056B47	00058AD3	0	0	0	32342	1	16	0	00056B53	1
all_char.tsw	0	12	12	1	12	woman2	776F6D616E32	8067	00058AD3	0005AA56	0	0	0	32342	1	16	0	00058ADF	1
all_char.tsw	0	13	13	1	13	woman3	776F6D616E33	9594	0005AA56	0005CFD0	0	0	0	32342	1	16	0	0005AA62	1
all_char.tsw	0	14	14	1	14	115-1	3131352D31	18668	003DF040	003E392C	0	0	0	18538	8	8	512	003DF24C	1
all_char.tsw	0	15	15	1	15	smoke-24	736D6F6B652D3234	21991	000611E7	000667CE	0	0	0	86138	4	16	0	000611F3	1
all_char.tsw	0	16	16	1	16	smoke-32	736D6F6B652D3332	16919	0005CFD0	000611E7	0	0	0	86138	4	16	0	0005CFDC	1
all_char.tsw	0	17	17	1	17	big_pic	6269675F706963	111970	000667CE	00081D30	0	0	0	267874	2	8	512	000669DA	1
