archive	group	record_ordinal	lookup_resource_id	stored_metadata_id	variant_index	block_offset_hex	payload_relative_offset_hex	payload_absolute_offset_hex	compressed_size_bytes	declared_decompressed_size_bytes	metadata_0c	descriptor_10_trailing_span_bytes	metadata_14	metadata_18	metadata_1c	width	height	storage_bpp	frame_extent_end_relative_hex	frame_extent_contiguous_with_previous
all_char.tsw	0	1	1	1	0	00CE910E	0000029C	00CE93AA	1566	2235	0	0	0	0	0	47	95	8	000008BA	1
all_char.tsw	0	1	1	1	1	00CE910E	000008BA	00CE99C8	1535	2171	0	0	0	0	0	47	95	8	00000EB9	1
all_char.tsw	0	1	1	1	2	00CE910E	00000EB9	00CE9FC7	1566	2235	0	0	0	0	0	47	95	8	000014D7	1
all_char.tsw	0	1	1	1	3	00CE910E	000014D7	00CEA5E5	1620	2272	0	0	0	0	0	47	95	8	00001B2B	1
all_char.tsw	0	2	2	2	0	0004989D	0000029C	00049B39	1407	2831	0	0	0	0	0	48	96	8	0000081B	1
all_char.tsw	0	2	2	2	1	0004989D	0000081B	0004A0B8	1372	3008	0	0	0	0	0	48	96	8	00000D77	1
all_char.tsw	0	2	2	2	2	0004989D	00000D77	0004A614	1402	2831	0	0	0	0	0	48	96	8	000012F1	1
all_char.tsw	0	2	2	2	3	0004989D	000012F1	0004AB8E	1372	3008	0	0	0	0	0	48	96	8	0000184D	1
all_char.tsw	0	3	3	3	0	00CEAC39	0000029C	00CEAED5	1545	2235	0	0	0	0	0	47	95	8	000008A5	1
all_char.tsw	0	3	3	3	1	00CEAC39	000008A5	00CEB4DE	1514	2171	0	0	0	0	0	47	95	8	00000E8F	1
all_char.tsw	0	3	3	3	2	00CEAC39	00000E8F	00CEBAC8	1545	2235	0	0	0	0	0	47	95	8	00001498	1
all_char.tsw	0	3	3	3	3	00CEAC39	00001498	00CEC0D1	1570	2272	0	0	0	0	0	47	95	8	00001ABA	1
all_char.tsw	0	4	4	4	0	000203BC	00000030	000203EC	23058	206730	23154	10576	102400	2	0	320	320	16	00008392	1
all_char.tsw	0	5	5	5	0	0002874E	00000030	0002877E	34924	206730	35020	10576	102400	1	0	320	320	16	0000B1EC	1
all_char.tsw	0	6	6	6	0	0003393A	00000030	0003396A	30959	206730	31055	11988	102400	2	0	320	320	16	0000A7F3	1
all_char.tsw	0	7	7	7	0	0003E12D	00000030	0003E15D	34924	206730	35020	11988	102400	1	0	320	320	16	0000B770	1
all_char.tsw	0	8	8	8	0	0004B0EA	00000030	0004B11A	30971	206730	31067	12022	102400	2	0	320	320	16	0000A821	1
all_char.tsw	0	9	9	9	0	0005590B	00000030	0005593B	1439	2876	1535	878	3456	1	0	48	72	16	0000093D	1
all_char.tsw	0	10	10	10	0	00056248	00000030	00056278	1377	2876	1473	878	3456	2	0	48	72	16	000008FF	1
all_char.tsw	0	11	11	11	0	00056B47	00000030	00056B77	4741	12386	4837	3287	16128	1	0	112	144	16	00001F8C	1
all_char.tsw	0	12	12	12	0	00058AD3	00000030	00058B03	4732	12386	4828	3287	16128	2	0	112	144	16	00001F83	1
all_char.tsw	0	13	13	13	0	0005AA56	00000030	0005AA86	5797	12384	5893	3749	16128	2	0	112	144	16	0000257A	1
all_char.tsw	0	14	14	14	0	003DF040	0000032C	003DF36C	2203	2432	0	0	0	0	0	65	65	8	00000BC7	1
all_char.tsw	0	14	14	14	1	003DF040	00000BC7	003DFC07	2234	2473	0	0	0	0	0	65	65	8	00001481	1
all_char.tsw	0	14	14	14	2	003DF040	00001481	003E04C1	2248	2492	0	0	0	0	0	65	65	8	00001D49	1
all_char.tsw	0	14	14	14	3	003DF040	00001D49	003E0D89	2248	2492	0	0	0	0	0	65	65	8	00002611	1
all_char.tsw	0	14	14	14	4	003DF040	00002611	003E1651	2248	2492	0	0	0	0	0	65	65	8	00002ED9	1
all_char.tsw	0	14	14	14	5	003DF040	00002ED9	003E1F19	2234	2473	0	0	0	0	0	65	65	8	00003793	1
all_char.tsw	0	14	14	14	6	003DF040	00003793	003E27D3	2203	2432	0	0	0	0	0	65	65	8	0000402E	1
all_char.tsw	0	14	14	14	7	003DF040	0000402E	003E306E	2238	2424	0	0	0	0	0	65	65	8	000048EC	1
all_char.tsw	0	15	15	15	0	000611E7	0000009C	00061283	3181	7906	3493	2100	10752	2	0	96	112	16	0000153D	1
