address	ida_name_navigation_only	closure_disposition	implementation_mapping	evidence	verification	remaining
0x00402030	sub_402030	platform_adapted	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	platform_adapted	RAII ownership boundary; original return is unobserved; original runtime differential
0x004020C0	sub_4020C0	platform_adapted	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	platform_adapted	RAII ownership boundary; original return is unobserved; original runtime differential
0x00402120	sub_402120	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x004021A0	sub_4021A0	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x004021D0	sub_4021D0	platform_adapted	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	platform_adapted	RAII ownership boundary; original return is unobserved; original runtime differential
0x00402200	sub_402200	platform_adapted	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	platform_adapted	RAII ownership boundary; original return is unobserved; original runtime differential
0x00402230	sub_402230	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402390	sub_402390	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x004023C0	sub_4023C0	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x004023E0	sub_4023E0	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402410	sub_402410	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402450	sub_402450	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402520	sub_402520	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402560	sub_402560	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402690	sub_402690	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402940	sub_402940	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402960	sub_402960	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402980	sub_402980	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x004029C0	sub_4029C0	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402A90	sub_402A90	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402AC0	sub_402AC0	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402AE0	sub_402AE0	assembly_exact	legacy_world_pathfinding.cpp;legacy_world_direction_adjustment.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402F70	sub_402F70	assembly_exact	legacy_world_pathfinding.cpp	world-pathfinding-00402030-00402f70.md	assembly_exact	original runtime differential
0x00402F80	sub_402F80	pending_audit	legacy_world_player_control.cpp;legacy_world_facing_talk.cpp;legacy_world_direction_input.cpp;legacy_world_direction_adjustment.cpp;legacy_world_collision_talk.cpp;legacy_world_player_motion.cpp;legacy_random_encounter.cpp;main.cpp	world-player-control-00402f80.md	partial_implementation_reaudited	hidden debug hotkeys; control/Talk-list arbitration; random-encounter runtime wiring; complete entry-to-exit audit
0x004040B0	sub_4040B0	assembly_exact	legacy_world_direction_adjustment.cpp	world-direction-adjustment-004040b0.md	assembly_exact;unit_tested	original runtime differential
0x00404510	sub_404510	assembly_exact	legacy_world_direction_adjustment.cpp	world-direction-adjustment-004040b0.md	assembly_exact;unit_tested	original runtime differential
0x00404610	sub_404610	assembly_exact	legacy_movement_collision.cpp	movement-collision-00404610.md	assembly_exact;unit_tested	original runtime differential
0x00404C00	sub_404C00	assembly_exact	legacy_world_facing_role_query.cpp	world-player-control-00402f80.md	assembly_exact;unit_tested	original runtime differential
0x00404FD0	sub_404FD0	assembly_exact	legacy_role_spatial_query.cpp	role-spatial-query-00404fd0.md	assembly_exact;unit_tested	original runtime differential
0x004050B0	sub_4050B0	assembly_exact	legacy_role_spatial_query.cpp	role-spatial-query-00404fd0.md	assembly_exact;unit_tested	original runtime differential
0x00405430	sub_405430	assembly_exact	legacy_world_path_script.cpp;main.cpp	world-path-script-00405500-00406709.md	assembly_exact	original runtime differential
0x00405500	sub_405500	platform_adapted	legacy_world_path_script.cpp	world-path-script-00405500-00406709.md	assembly_exact;asset_verified;platform_adapted	dynamic-label ownership boundary; opcode 36 undefined first-use stack branch isolated; original runtime differential
0x00406390	sub_406390	assembly_exact	legacy_world_path_requests.cpp	world-path-requests-00406390-00406960.md	assembly_exact	original runtime differential
0x00406580	sub_406580	assembly_exact	legacy_world_path_script.cpp	world-path-script-00405500-00406709.md	assembly_exact;asset_verified	original runtime differential
0x00406710	sub_406710	assembly_exact	legacy_world_path_script.cpp	world-path-script-00405500-00406709.md	assembly_exact;asset_verified	original runtime differential
0x00406770	sub_406770	assembly_exact	legacy_world_path_script.cpp	world-path-script-00405500-00406709.md	assembly_exact	original runtime differential
0x00406960	sub_406960	platform_adapted	legacy_world_path_requests.cpp	world-path-requests-00406390-00406960.md	assembly_exact;platform_adapted	undefined failed-path byte read isolated; original runtime differential
0x0040AD10	sub_40AD10	platform_adapted	legacy_world_special_frame_loader.cpp	world-special-tsw-frame-0040ad10.md	assembly_exact;asset_verified;platform_adapted	RAII/file bounds; original count-equal directory overrun isolated; original runtime differential
0x0040AE20	sub_40AE20	assembly_exact	legacy_world_role_surface_occupancy.cpp	world-role-surface-occupancy-0040ae20.md	assembly_exact;unit_tested	original runtime differential
0x0040AEC0	sub_40AEC0	assembly_exact	legacy_world_role_surface_occupancy.cpp	world-role-surface-occupancy-0040ae20.md	assembly_exact;unit_tested	original runtime differential
0x0040BB50	sub_40BB50	assembly_exact	legacy_world_direction_adjustment.cpp	world-direction-adjustment-004040b0.md	assembly_exact;unit_tested	original runtime differential
0x0040C020	sub_40C020	assembly_exact	legacy_world_role_lookup.cpp	world-role-lookup-0040c020.md	assembly_exact;unit_tested	original runtime differential
0x0040C060	sub_40C060	platform_adapted	legacy_world_role_lookup.cpp	world-role-lookup-0040c020.md	assembly_exact;platform_adapted;unit_tested	original invalid-index MessageBox and out-of-array reads isolated; original runtime differential
0x0040C0D0	sub_40C0D0	assembly_exact	legacy_world_role_lookup.cpp	world-role-lookup-0040c020.md	assembly_exact;unit_tested	original runtime differential
0x0040C100	sub_40C100	assembly_exact	legacy_world_role_lookup.cpp	world-role-lookup-0040c020.md	assembly_exact;unit_tested	original runtime differential
0x0040C130	sub_40C130	platform_adapted	legacy_world_runtime_session.cpp:load_legacy_world_runtime_session;main.cpp:load_initial_world	maps-world-load-0040c130-0040f160.md	assembly_exact;asset_verified;platform_adapted	Win32 exit/progress/audio/resource teardown transferred to owning modules; original runtime differential
0x0040D060	sub_40D060	platform_adapted	legacy_maps_world_database.cpp:apply_legacy_maps_role_defaults	world-maps-role-helpers-0040d060-0040d60f.md	assembly_exact;unit_tested;platform_adapted	bounded decoded defaults directory isolates unterminated scan; original runtime differential
0x0040D0C0	sub_40D0C0	assembly_exact	legacy_world_player_motion.cpp:recenter_legacy_world_camera	world-maps-role-helpers-0040d060-0040d60f.md	assembly_exact;unit_tested	original runtime differential
0x0040D160	sub_40D160	assembly_exact	legacy_world_player_motion.cpp:calculate_legacy_world_camera_rect	world-maps-role-helpers-0040d060-0040d60f.md	assembly_exact;unit_tested	story_scene caller integration transferred; original runtime differential
0x0040D200	sub_40D200	platform_adapted	legacy_world_role_preload.cpp:preload_legacy_world_roles_before_load	world-maps-role-helpers-0040d060-0040d60f.md	assembly_exact;asset_verified;platform_adapted	bounded role/PATH/object spans isolate invalid global counts and pointers; original runtime differential
0x0040D3C0	sub_40D3C0	platform_adapted	legacy_maps_world_database.cpp:synchronize_legacy_maps_role_source_record	world-maps-role-helpers-0040d060-0040d60f.md	assembly_exact;unit_tested;platform_adapted	service-disabled unterminated scan isolated; original runtime differential
0x0040D460	sub_40D460	platform_adapted	legacy_maps_world_database.cpp:patch_legacy_maps_role_source_record	world-maps-role-helpers-0040d060-0040d60f.md	assembly_exact;unit_tested;platform_adapted	bounded mutable payload isolates invalid source writes; original runtime differential
0x0040D560	sub_40D560	platform_adapted	legacy_maps_world_database.cpp:load_legacy_maps_role_source_record	world-maps-role-helpers-0040d060-0040d60f.md	assembly_exact;unit_tested;platform_adapted	bounded decoded source directory isolates unterminated scan; story_scene/special_modes caller integration transferred; original runtime differential
0x0040D610	sub_40D610	platform_adapted	legacy_world_role_transfer.cpp:transfer_legacy_world_role	world-role-transfer-0040d610-0040d785.md	assembly_exact;unit_tested;platform_adapted	bounded roles, object slots, party capacity, path cursor, surface and spatial chains isolate original invalid-state overflow, overread and nontermination; original runtime differential
0x0040D790	sub_40D790	platform_adapted	legacy_world_role_map_update.cpp:apply_legacy_world_role_map_update	world-role-map-update-0040d790-0040d9d2.md	assembly_exact;unit_tested;asset_verified;platform_adapted	fixed eight-slot stale-hit and tail-copy behavior retained; bounded roles, surfaces, spatial chains and MAPS directory isolate original overflow, overread and nontermination; opcode 66 dispatch integration transferred to story VM; original runtime differential
0x0040D9E0	sub_40D9E0	platform_adapted	legacy_random_encounter.cpp:load_legacy_encounter_regions	random-encounter-0040d9e0-0040db39.md	assembly_exact;unit_tested;asset_verified;platform_adapted	reversed vector preserves head insertion; explicit map id and bounded source isolate allocation, missing terminator and truncated records; original runtime differential
0x0040DA60	sub_40DA60	platform_adapted	legacy_random_encounter.cpp:select_legacy_random_encounter	random-encounter-0040d9e0-0040db39.md	assembly_exact;unit_tested;asset_verified;platform_adapted	explicit state and bounded tables isolate invalid group, candidate offset, payload and original divide-by-zero state; original runtime differential
0x0040DB40	sub_40DB40	platform_adapted	legacy_world_interaction.cpp:count_legacy_world_choice_hotspots	world-choice-hotspot-chain-0040db40-0040dbc0.md	assembly_exact;unit_tested;platform_adapted	bounded ordered span isolates cyclic raw chains; original runtime differential
0x0040DB60	sub_40DB60	platform_adapted	legacy_world_interaction.cpp:find_legacy_world_choice_hotspot	world-choice-hotspot-chain-0040db40-0040dbc0.md	assembly_exact;unit_tested;platform_adapted	bounded ordered span isolates cyclic raw chains and invalid output pointers; battle caller integration transferred; original runtime differential
0x0040DBC0	sub_40DBC0	platform_adapted	legacy_dialog_runtime.cpp:clear_legacy_dialog_choice_chain;main.cpp:step_world_interaction	world-choice-hotspot-chain-0040db40-0040dbc0.md	assembly_exact;unit_tested;platform_adapted	RAII vectors replace raw nodes and five-dword sentinel; runtime-platform and battle caller cleanup transferred; original runtime differential
0x0040DC30	sub_40DC30	platform_adapted	legacy_world_map_business.cpp:find_legacy_world_map_event	world-utility-helpers-0040dc30-0040dd40.md	assembly_exact;unit_tested;platform_adapted	bounded ordered span isolates cyclic or dangling raw chains; original runtime differential
0x0040DD10	sub_40DD10	assembly_exact	legacy_world_player_motion.cpp:set_legacy_world_movement_step;legacy_world_frame_coordinator.hpp:LegacyWorldFrameCoordinatorState	world-utility-helpers-0040dc30-0040dd40.md	assembly_exact;unit_tested	original runtime differential
0x0040DD40	sub_40DD40	assembly_exact	legacy_world_role_transfer.cpp:reset_legacy_world_object_slot	world-utility-helpers-0040dc30-0040dd40.md	assembly_exact;unit_tested	original runtime differential
0x0040DD60	sub_40DD60	platform_adapted	legacy_maps_world_database.cpp:materialize_legacy_maps_party_attribute_record	maps-party-attributes-0040dd60.md	assembly_exact;unit_tested;asset_verified;platform_adapted	bounded MAPS source isolates truncated four-record directory; original runtime differential
0x0040E030	sub_40E030	assembly_exact	legacy_world_facing.cpp:measure_legacy_world_controlled_role_direction	world-facing-wrapper-0040e030-00411f00.md	assembly_exact;unit_tested	original runtime differential
0x0040E0B0	sub_40E0B0	platform_adapted	legacy_world_story_vm.cpp:initialize_legacy_world_story_vm;legacy_world_cursor.cpp:LegacyWorldCursorState/prime_legacy_world_cursor_state;legacy_world_dialog_runtime.cpp:prime_legacy_world_dialog_runtime;legacy_world_frame_coordinator.cpp:LegacyWorldFrameCoordinatorState;legacy_world_frame_runtime.cpp:LegacyWorldFrameEffectState;main.cpp	world-global-initialization-0040e0b0.md	assembly_exact;unit_tested;asset_verified;platform_adapted	battle/audio/item lifecycle transferred to owning modules; RAII and bounded-container adaptation; original runtime differential
0x0040ED60	sub_40ED60	platform_adapted	legacy_world_load_progress.cpp;main.cpp	world-load-progress-0040ed60.md	assembly_exact;unit_tested;platform_adapted	owned framebuffer and presentation ports replace DirectDraw lock/present boundary; invalid framebuffer and abnormal progress writes isolated; original runtime differential
0x0040EFD0	sub_40EFD0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x0040F160	sub_40F160	platform_adapted	legacy_resource_databases.cpp:reload_maps_payload;legacy_world_runtime_session.cpp:load_legacy_world_runtime_session	maps-world-load-0040c130-0040f160.md	assembly_exact;asset_verified;platform_adapted	RAII buffer ownership and checked file I/O isolate malformed files; original runtime differential
0x0040F280	sub_40F280	platform_adapted	legacy_world_runtime_session.cpp:assemble_maps_roles;legacy_world_map_business.cpp:bind_legacy_world_role_cells	maps-world-load-0040c130-0040f160.md	assembly_exact;asset_verified;platform_adapted	checked role/cell indices isolate invalid pointers; original runtime differential
0x0040F3B0	sub_40F3B0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x0040F410	sub_40F410	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x0040F500	sub_40F500	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x0040F540	sub_40F540	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x0040F570	sub_40F570	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x0040F5A0	sub_40F5A0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x0040F5E0	sub_40F5E0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x0040F630	sub_40F630	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x0040F670	sub_40F670	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x0040F690	sub_40F690	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x0040F6D0	sub_40F6D0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00411490	sub_411490	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00411530	sub_411530	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00411620	sub_411620	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00411D00	sub_411D00	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00411E20	sub_411E20	assembly_exact	legacy_world_facing.cpp:measure_legacy_world_facing	world-facing-wrapper-0040e030-00411f00.md	assembly_exact;unit_tested	original runtime differential
0x00411F00	sub_411F00	assembly_exact	legacy_world_facing.cpp:measure_legacy_world_facing	world-facing-wrapper-0040e030-00411f00.md	assembly_exact;unit_tested	original runtime differential
0x004120B0	sub_4120B0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00412930	sub_412930	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00412BE0	sub_412BE0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00412D30	sub_412D30	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00413220	sub_413220	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00413370	sub_413370	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00413870	sub_413870	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00413910	sub_413910	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00413CA0	sub_413CA0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00413EA0	sub_413EA0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00413F00	sub_413F00	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00413FE0	sub_413FE0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00414570	sub_414570	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x004145F0	sub_4145F0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x004146F0	sub_4146F0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x004147E0	sub_4147E0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x004148F0	sub_4148F0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x004149B0	sub_4149B0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x004151F0	sub_4151F0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00425B50	sub_425B50	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00425BE0	sub_425BE0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00426840	sub_426840	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00426DF0	sub_426DF0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x004270F0	sub_4270F0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00427140	sub_427140	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x004272C0	sub_4272C0	pending_audit			not_inherited	independent LST-to-C++ closure audit required
0x00427300	sub_427300	pending_audit			not_inherited	independent LST-to-C++ closure audit required
