opcode	lst_entry	operand_layout	cursor_contract	call_exit_contract	observable_effects	dependencies	implementation	verification
0	0x00405EB1	none	set path_word_index=0	return	reset current PATH cursor	none	implemented	assembly_exact; asset_verified
1	0x00405EAD	none	set path_data_id=0 and path_word_index=0	return	disable current PATH script	none	implemented	assembly_exact; current asset unused
2	0x00405EBC	u16 base_variant	advance 2 words	update action then return	write action+0x08; updater failure is diagnostic only	action updater	implemented	assembly_exact; asset_verified
3	0x00405F15	u16 variant_delta	advance 2 words	update action then return	write action+0x34; updater failure is diagnostic only	action updater	implemented	assembly_exact; asset_verified
4	0x0040556E	u16 wait	advance 2 words	continue same call	set path wait counter	none	implemented	assembly_exact; asset_verified
5	0x00405F6E	none	decrement wait or advance 1 word	return	one-frame wait/yield	none	implemented	assembly_exact; asset_verified
6	0x00405F93	none	decrement wait or advance 1 word	update action then return	one-frame wait/yield plus action update	action updater	implemented	assembly_exact; current asset unused
7	0x0040557B	u16 tile_x; u16 tile_y	advance 3 words	continue same call	request role path	0x00406390 path request	implemented	assembly_exact; asset_verified
8	0x0040559F	none	unaligned/active leaves IP; completion advances 1 word	return while blocked/active; continue on completion	advance movement slot; clear role flag 0x04000000 on completion	0x00406580 movement update	implemented	assembly_exact; asset_verified
9	0x004055EF	u16 clock_threshold	advance 2 words only when threshold<=clock	return when comparison false; otherwise continue after optional action update	query shared PATH clock; action update only when role flag 0x1000 set	shared clock; action updater	implemented	assembly_exact; asset_verified
10	0x00405660	u16 clock_threshold; u32 target	jump when threshold<=low16(clock), otherwise advance 4 words	continue same call	conditional absolute PATH transfer	0x00406710 transfer; shared clock	implemented	assembly_exact; asset_verified
11	0x0040568B	u16 clock_value	advance exactly 1 word	continue same call	set shared PATH clock; clamp values above 1000 to zero	shared clock	implemented	assembly_exact; current asset unused
12	0x004056B6	u32 target	set signed cursor to target	continue same call	unconditional PATH transfer	0x00406710 transfer	implemented	assembly_exact; asset_verified
13	0x004056D1	u16 flag; u32 target	jump when flag set, otherwise advance 4 words	continue same call	query story flag	story flags; 0x00406710 transfer	implemented	assembly_exact; asset_verified
14	0x004056D1	u16 flag; u32 target	jump when flag clear, otherwise advance 4 words	continue same call	query inverted story flag	story flags; 0x00406710 transfer	implemented	assembly_exact; asset_verified
15	0x0040572C	u16 flag list; FFFF; u32 target	jump for empty/all-set list; otherwise advance count+4 words	continue same call	all-flags-set branch	story flags; 0x00406710 transfer	implemented	assembly_exact; current asset unused
16	0x0040578D	u16 flag list; FFFF; u32 target	jump for any-set nonempty list; otherwise advance count+4 words	continue same call	any-flag-set branch	story flags; 0x00406710 transfer	implemented	assembly_exact; current asset unused
17	0x004057EE	u16 flag	advance 2 words	continue same call	set story flag	story flags	implemented	assembly_exact; asset_verified
18	0x004057EE	u16 flag	advance 2 words	continue same call	clear story flag	story flags	implemented	assembly_exact; asset_verified
19	0x00405831	u16 index; u16 value	advance 3 words	continue same call	assign one of 64 PATH variables; invalid index returns without advance	64-word shared PATH variables	implemented	assembly_exact; current asset unused
20	0x00405831	u16 index; u16 value	advance 3 words	continue same call	add and clamp variable to 1000; invalid index returns without advance	64-word shared PATH variables	implemented	assembly_exact; current asset unused
21	0x00405831	u16 index; u16 value	advance 3 words	continue same call	subtract and clamp signed-negative result to zero; invalid index returns without advance	64-word shared PATH variables	implemented	assembly_exact; current asset unused
22	0x00405831	u16 index; u16 value; u32 target	jump when variable>=value, otherwise advance 5 words	continue same call	conditional PATH transfer; invalid index returns without advance	64-word variables; 0x00406710 transfer	implemented	assembly_exact; current asset unused
23	0x00405831	u16 index; u16 value; u32 target	jump when variable<=value, otherwise advance 5 words	continue same call	conditional PATH transfer; invalid index returns without advance	64-word variables; 0x00406710 transfer	implemented	assembly_exact; current asset unused
24	0x004059BE	u16 role_selector; u16 path_data_id	advance current role 3 words; self-target switches immediately to new script	continue same call	resolve role; normalize/reset matching movement slot; assign target PATH ID and zero target cursor	role lookup; surface occupancy; spatial relocation; object slots	implemented	assembly_exact; asset_verified
25	0x00405B6A	u16 delta; u32 target	jump when clock>origin+delta, otherwise advance 4 words	continue same call	conditional elapsed-clock transfer	shared clock/origin; 0x00406710 transfer	implemented	assembly_exact; current asset unused
26	0x00405BC2	none	advance 1 word	continue same call	copy shared PATH clock to origin	shared clock/origin	implemented	assembly_exact; current asset unused
27	0x00405BE1	u16 role_selector	advance 2 words	continue same call	clear role flags 0xC000 and clear surface occupancy	role lookup; surface occupancy	implemented	assembly_exact; current asset unused
28	0x00405C37	u16 role_selector	advance 2 words	continue same call	set role flags 0xC000	role lookup	implemented	assembly_exact; current asset unused
29	0x00406026	u16 tile_x; u16 tile_y	advance 3 words	update action; relocate role; return	clear occupancy; move current role; rebuild cell pointer; mark occupancy	surface occupancy; action updater; spatial relocation	implemented	assembly_exact; asset_verified
30	0x004060D6	none	leave IP unchanged	return	prepare/randomize role movement object slot	0x00406770; CRT RNG; secondary RNG; direction probe	implemented	assembly_exact; current asset unused
31	0x00406109	u16 action_id; u16 base_variant; u16 variant_delta	advance 4 words	update action then return	apply each non-FFFF action field	action updater	implemented	assembly_exact; asset_verified
32	0x0040618F	u16 sound_id	advance 2 words	play positional sound then return	request sound at current role world coordinates	0x00485750 audio boundary	implemented	assembly_exact; current asset unused
33	0x00405C7D	u16 role_selector	advance 2 words after successful lookup/alignment	continue same call	follow target cell; request path; set lag flag when radial-distance delta exceeds 128	role lookup; path request; camera target	implemented	assembly_exact; current asset unused
